geo,time,children_per_woman_total_fertility
afg,1995,7.83
afg,1996,7.86
afg,1997,7.87
afg,1998,7.85
afg,1999,7.81
afg,2000,7.73
afg,2001,7.62
afg,2002,7.48
afg,2003,7.32
afg,2004,7.14
afg,2005,6.93
afg,2006,6.7
afg,2007,6.46
afg,2008,6.2
afg,2009,5.93
afg,2010,5.66
afg,2011,5.4
afg,2012,5.14
afg,2013,4.9
afg,2014,4.68
afg,2015,4.47
alb,1800,4.6
alb,1801,4.6
alb,1802,4.6
alb,1803,4.6
alb,1804,4.6
alb,1805,4.6
alb,1806,4.6
alb,1807,4.6
alb,1808,4.6
alb,1809,4.6
alb,1810,4.6
alb,1811,4.6
alb,1812,4.6
alb,1813,4.6
alb,1814,4.6
alb,1815,4.6
alb,1816,4.6
alb,1817,4.6
alb,1818,4.6
alb,1819,4.6
alb,1820,4.6
alb,1821,4.6
alb,1822,4.6
alb,1823,4.6
alb,1824,4.6
alb,1825,4.6
alb,1826,4.6
alb,1827,4.6
alb,1828,4.6
alb,1829,4.6
alb,1830,4.6
alb,1831,4.6
alb,1832,4.6
alb,1833,4.6
alb,1834,4.6
alb,1835,4.6
alb,1836,4.6
alb,1837,4.6
alb,1838,4.6
alb,1839,4.6
alb,1840,4.6
alb,1841,4.6
alb,1842,4.6
alb,1843,4.6
alb,1844,4.6
alb,1845,4.6
alb,1846,4.6
alb,1847,4.6
alb,1848,4.6
alb,1849,4.6
alb,1850,4.6
alb,1851,4.6
alb,1852,4.6
alb,1853,4.6
alb,1854,4.6
alb,1855,4.6
alb,1856,4.6
alb,1857,4.6
alb,1858,4.6
alb,1859,4.6
alb,1860,4.6
alb,1861,4.6
alb,1862,4.6
alb,1863,4.6
alb,1864,4.6
alb,1865,4.6
alb,1866,4.6
alb,1867,4.6
alb,1868,4.6
alb,1869,4.6
alb,1870,4.6
alb,1871,4.6
alb,1872,4.6
alb,1873,4.6
alb,1874,4.6
alb,1875,4.6
alb,1876,4.6
alb,1877,4.6
alb,1878,4.6
alb,1879,4.6
alb,1880,4.6
alb,1881,4.6
alb,1882,4.6
alb,1883,4.6
alb,1884,4.6
alb,1885,4.6
alb,1886,4.6
alb,1887,4.6
alb,1888,4.6
alb,1889,4.6
alb,1890,4.6
alb,1891,4.6
alb,1892,4.6
alb,1893,4.6
alb,1894,4.6
alb,1895,4.6
alb,1896,4.6
alb,1897,4.6
alb,1898,4.6
alb,1899,4.6
alb,1900,4.6
alb,1901,4.6
alb,1902,4.6
alb,1903,4.6
alb,1904,4.6
alb,1905,4.6
alb,1906,4.6
alb,1907,4.6
alb,1908,4.6
alb,1909,4.6
alb,1910,4.6
alb,1911,4.6
alb,1912,4.6
alb,1913,4.6
alb,1914,4.6
alb,1915,4.6
alb,1916,4.6
alb,1917,4.6
alb,1918,4.6
alb,1919,4.6
alb,1920,4.6
alb,1921,4.6
alb,1922,4.6
alb,1923,4.6
alb,1924,4.6
alb,1925,4.6
alb,1926,4.42
alb,1927,4.25
alb,1928,4.07
alb,1929,3.89
alb,1930,3.72
alb,1931,3.54
alb,1932,3.36
alb,1933,3.57
alb,1934,3.77
alb,1935,3.98
alb,1936,4.19
alb,1937,4.39
alb,1938,4.6
alb,1939,3.74
alb,1940,4.19
alb,1941,3.75
alb,1942,4.41
alb,1943,4.58
alb,1944,4.76
alb,1945,4.93
alb,1946,5.1
alb,1947,5.28
alb,1948,5.45
alb,1949,5.63
alb,1950,5.8
alb,1951,5.9
alb,1952,6.07
alb,1953,6.21
alb,1954,6.31
alb,1955,6.37
alb,1956,6.4
alb,1957,6.39
alb,1958,6.35
alb,1959,6.28
alb,1960,6.19
alb,1961,6.08
alb,1962,5.96
alb,1963,5.83
alb,1964,5.71
alb,1965,5.59
alb,1966,5.48
alb,1967,5.38
alb,1968,5.27
alb,1969,5.16
alb,1970,5.05
alb,1971,4.93
alb,1972,4.81
alb,1973,4.68
alb,1974,4.54
alb,1975,4.39
alb,1976,4.24
alb,1977,4.09
alb,1978,3.95
alb,1979,3.81
alb,1980,3.68
alb,1981,3.56
alb,1982,3.46
alb,1983,3.37
alb,1984,3.3
alb,1985,3.23
alb,1986,3.18
alb,1987,3.13
alb,1988,3.08
alb,1989,3.02
alb,1990,2.97
alb,1991,2.92
alb,1992,2.87
alb,1993,2.82
alb,1994,2.77
alb,1995,2.72
alb,1996,2.67
alb,1997,2.61
alb,1998,2.54
alb,1999,2.47
alb,2000,2.38
alb,2001,2.29
alb,2002,2.2
alb,2003,2.1
alb,2004,2
alb,2005,1.92
alb,2006,1.85
alb,2007,1.8
alb,2008,1.76
alb,2009,1.74
alb,2010,1.74
alb,2011,1.75
alb,2012,1.76
alb,2013,1.77
alb,2014,1.78
alb,2015,1.78
dza,1800,6.99
dza,1801,6.99
dza,1802,6.99
dza,1803,6.99
dza,1804,6.99
dza,1805,6.99
dza,1806,6.99
dza,1807,6.99
dza,1808,6.99
dza,1809,6.99
dza,1810,6.99
dza,1811,6.99
dza,1812,6.99
dza,1813,6.99
dza,1814,6.99
dza,1815,6.99
dza,1816,6.99
dza,1817,6.99
dza,1818,6.99
dza,1819,6.99
dza,1820,6.99
dza,1821,6.99
dza,1822,6.99
dza,1823,6.99
dza,1824,6.99
dza,1825,6.99
dza,1826,6.99
dza,1827,6.99
dza,1828,6.99
dza,1829,6.99
dza,1830,6.99
dza,1831,6.99
dza,1832,6.99
dza,1833,6.99
dza,1834,6.99
dza,1835,6.99
dza,1836,6.99
dza,1837,6.99
dza,1838,6.99
dza,1839,6.99
dza,1840,6.99
dza,1841,6.99
dza,1842,6.99
dza,1843,6.99
dza,1844,6.99
dza,1845,6.99
dza,1846,6.99
dza,1847,6.99
dza,1848,6.99
dza,1849,6.99
dza,1850,6.99
dza,1851,6.99
dza,1852,6.99
dza,1853,6.99
dza,1854,6.99
dza,1855,6.99
dza,1856,6.99
dza,1857,6.99
dza,1858,6.99
dza,1859,6.99
dza,1860,6.99
dza,1861,6.99
dza,1862,6.99
dza,1863,6.99
dza,1864,6.99
dza,1865,6.99
dza,1866,6.99
dza,1867,6.99
dza,1868,6.99
dza,1869,6.99
dza,1870,6.99
dza,1871,6.99
dza,1872,6.99
dza,1873,6.99
dza,1874,6.99
dza,1875,6.99
dza,1876,6.99
dza,1877,6.99
dza,1878,6.99
dza,1879,6.99
dza,1880,6.99
dza,1881,6.99
dza,1882,6.99
dza,1883,6.99
dza,1884,6.99
dza,1885,6.99
dza,1886,6.99
dza,1887,6.99
dza,1888,6.99
dza,1889,6.99
dza,1890,6.99
dza,1891,6.99
dza,1892,6.99
dza,1893,6.99
dza,1894,6.99
dza,1895,6.99
dza,1896,6.99
dza,1897,6.99
dza,1898,6.99
dza,1899,6.99
dza,1900,6.99
dza,1901,6.99
dza,1902,6.99
dza,1903,6.99
dza,1904,6.99
dza,1905,6.99
dza,1906,6.99
dza,1907,6.99
dza,1908,6.99
dza,1909,6.99
dza,1910,6.99
dza,1911,6.99
dza,1912,6.99
dza,1913,6.99
dza,1914,6.99
dza,1915,6.99
dza,1916,6.99
dza,1917,6.99
dza,1918,6.99
dza,1919,6.99
dza,1920,6.99
dza,1921,6.99
dza,1922,6.99
dza,1923,6.99
dza,1924,6.99
dza,1925,6.99
dza,1926,7.02
dza,1927,7.05
dza,1928,7.07
dza,1929,7.1
dza,1930,7.12
dza,1931,7.15
dza,1932,7.18
dza,1933,7.2
dza,1934,7.23
dza,1935,7.26
dza,1936,7.28
dza,1937,7.31
dza,1938,7.33
dza,1939,7.36
dza,1940,7.39
dza,1941,7.41
dza,1942,7.44
dza,1943,7.46
dza,1944,7.49
dza,1945,7.52
dza,1946,7.54
dza,1947,7.57
dza,1948,7.59
dza,1949,7.62
dza,1950,7.65
dza,1951,7.65
dza,1952,7.65
dza,1953,7.65
dza,1954,7.65
dza,1955,7.65
dza,1956,7.65
dza,1957,7.65
dza,1958,7.65
dza,1959,7.65
dza,1960,7.65
dza,1961,7.65
dza,1962,7.65
dza,1963,7.65
dza,1964,7.65
dza,1965,7.66
dza,1966,7.66
dza,1967,7.66
dza,1968,7.66
dza,1969,7.65
dza,1970,7.64
dza,1971,7.62
dza,1972,7.59
dza,1973,7.55
dza,1974,7.49
dza,1975,7.42
dza,1976,7.34
dza,1977,7.24
dza,1978,7.14
dza,1979,7.02
dza,1980,6.89
dza,1981,6.74
dza,1982,6.58
dza,1983,6.39
dza,1984,6.19
dza,1985,5.98
dza,1986,5.75
dza,1987,5.51
dza,1988,5.26
dza,1989,5.01
dza,1990,4.76
dza,1991,4.5
dza,1992,4.24
dza,1993,3.97
dza,1994,3.71
dza,1995,3.45
dza,1996,3.21
dza,1997,2.99
dza,1998,2.79
dza,1999,2.63
dza,2000,2.51
dza,2001,2.44
dza,2002,2.41
dza,2003,2.41
dza,2004,2.45
dza,2005,2.51
dza,2006,2.58
dza,2007,2.66
dza,2008,2.73
dza,2009,2.78
dza,2010,2.82
dza,2011,2.83
dza,2012,2.82
dza,2013,2.8
dza,2014,2.76
dza,2015,2.71
ago,1800,6.93
ago,1801,6.93
ago,1802,6.93
ago,1803,6.93
ago,1804,6.93
ago,1805,6.93
ago,1806,6.93
ago,1807,6.94
ago,1808,6.94
ago,1809,6.94
ago,1810,6.94
ago,1811,6.94
ago,1812,6.94
ago,1813,6.94
ago,1814,6.94
ago,1815,6.94
ago,1816,6.94
ago,1817,6.94
ago,1818,6.94
ago,1819,6.94
ago,1820,6.94
ago,1821,6.95
ago,1822,6.95
ago,1823,6.95
ago,1824,6.95
ago,1825,6.95
ago,1826,6.95
ago,1827,6.95
ago,1828,6.95
ago,1829,6.95
ago,1830,6.95
ago,1831,6.95
ago,1832,6.95
ago,1833,6.95
ago,1834,6.95
ago,1835,6.96
ago,1836,6.96
ago,1837,6.96
ago,1838,6.96
ago,1839,6.96
ago,1840,6.96
ago,1841,6.96
ago,1842,6.96
ago,1843,6.96
ago,1844,6.96
ago,1845,6.96
ago,1846,6.96
ago,1847,6.96
ago,1848,6.96
ago,1849,6.97
ago,1850,6.97
ago,1851,6.97
ago,1852,6.97
ago,1853,6.97
ago,1854,6.97
ago,1855,6.97
ago,1856,6.97
ago,1857,6.97
ago,1858,6.97
ago,1859,6.97
ago,1860,6.97
ago,1861,6.97
ago,1862,6.97
ago,1863,6.98
ago,1864,6.98
ago,1865,6.98
ago,1866,6.98
ago,1867,6.98
ago,1868,6.98
ago,1869,6.98
ago,1870,6.98
ago,1871,6.98
ago,1872,6.98
ago,1873,6.98
ago,1874,6.98
ago,1875,6.98
ago,1876,6.98
ago,1877,6.99
ago,1878,6.99
ago,1879,6.99
ago,1880,6.99
ago,1881,6.99
ago,1882,6.99
ago,1883,6.99
ago,1884,6.99
ago,1885,6.99
ago,1886,6.99
ago,1887,6.99
ago,1888,6.99
ago,1889,6.99
ago,1890,6.99
ago,1891,7
ago,1892,7
ago,1893,7
ago,1894,7
ago,1895,7
ago,1896,7
ago,1897,7
ago,1898,7
ago,1899,7
ago,1900,7
ago,1901,7
ago,1902,7
ago,1903,7
ago,1904,7
ago,1905,7.01
ago,1906,7.01
ago,1907,7.01
ago,1908,7.01
ago,1909,7.01
ago,1910,7.01
ago,1911,7.01
ago,1912,7.01
ago,1913,7.01
ago,1914,7.01
ago,1915,7.01
ago,1916,7.01
ago,1917,7.01
ago,1918,7.01
ago,1919,7.02
ago,1920,7.02
ago,1921,7.02
ago,1922,7.02
ago,1923,7.02
ago,1924,7.02
ago,1925,7.02
ago,1926,7.02
ago,1927,7.01
ago,1928,7.01
ago,1929,7
ago,1930,7
ago,1931,7
ago,1932,6.99
ago,1933,6.99
ago,1934,6.99
ago,1935,6.98
ago,1936,6.98
ago,1937,6.97
ago,1938,6.97
ago,1939,6.97
ago,1940,6.96
ago,1941,6.96
ago,1942,6.96
ago,1943,6.95
ago,1944,6.95
ago,1945,6.94
ago,1946,6.94
ago,1947,6.94
ago,1948,6.93
ago,1949,6.93
ago,1950,6.93
ago,1951,6.94
ago,1952,6.98
ago,1953,7.02
ago,1954,7.06
ago,1955,7.1
ago,1956,7.14
ago,1957,7.19
ago,1958,7.23
ago,1959,7.28
ago,1960,7.32
ago,1961,7.35
ago,1962,7.39
ago,1963,7.41
ago,1964,7.43
ago,1965,7.43
ago,1966,7.42
ago,1967,7.4
ago,1968,7.38
ago,1969,7.34
ago,1970,7.3
ago,1971,7.26
ago,1972,7.23
ago,1973,7.21
ago,1974,7.19
ago,1975,7.19
ago,1976,7.19
ago,1977,7.19
ago,1978,7.19
ago,1979,7.2
ago,1980,7.2
ago,1981,7.2
ago,1982,7.2
ago,1983,7.21
ago,1984,7.21
ago,1985,7.21
ago,1986,7.21
ago,1987,7.2
ago,1988,7.19
ago,1989,7.18
ago,1990,7.17
ago,1991,7.14
ago,1992,7.12
ago,1993,7.09
ago,1994,7.05
ago,1995,7.02
ago,1996,6.98
ago,1997,6.95
ago,1998,6.91
ago,1999,6.88
ago,2000,6.84
ago,2001,6.81
ago,2002,6.78
ago,2003,6.74
ago,2004,6.7
ago,2005,6.66
ago,2006,6.6
ago,2007,6.52
ago,2008,6.43
ago,2009,6.33
ago,2010,6.22
ago,2011,6.1
ago,2012,5.98
ago,2013,5.86
ago,2014,5.75
ago,2015,5.65
atg,1800,5
atg,1801,5
atg,1802,4.99
atg,1803,4.99
atg,1804,4.99
atg,1805,4.98
atg,1806,4.98
atg,1807,4.97
atg,1808,4.97
atg,1809,4.97
atg,1810,4.96
atg,1811,4.96
atg,1812,4.96
atg,1813,4.95
atg,1814,4.95
atg,1815,4.94
atg,1816,4.94
atg,1817,4.94
atg,1818,4.93
atg,1819,4.93
atg,1820,4.93
atg,1821,4.92
atg,1822,4.92
atg,1823,4.92
atg,1824,4.91
atg,1825,4.91
atg,1826,4.9
atg,1827,4.9
atg,1828,4.9
atg,1829,4.89
atg,1830,4.89
atg,1831,4.89
atg,1832,4.88
atg,1833,4.88
atg,1834,4.87
atg,1835,4.87
atg,1836,4.87
atg,1837,4.86
atg,1838,4.86
atg,1839,4.86
atg,1840,4.85
atg,1841,4.85
atg,1842,4.84
atg,1843,4.84
atg,1844,4.84
atg,1845,4.83
atg,1846,4.83
atg,1847,4.83
atg,1848,4.82
atg,1849,4.82
atg,1850,4.82
atg,1851,4.81
atg,1852,4.81
atg,1853,4.8
atg,1854,4.8
atg,1855,4.8
atg,1856,4.79
atg,1857,4.79
atg,1858,4.79
atg,1859,4.78
atg,1860,4.78
atg,1861,4.77
atg,1862,4.77
atg,1863,4.77
atg,1864,4.76
atg,1865,4.76
atg,1866,4.76
atg,1867,4.75
atg,1868,4.75
atg,1869,4.75
atg,1870,4.74
atg,1871,4.74
atg,1872,4.73
atg,1873,4.73
atg,1874,4.73
atg,1875,4.72
atg,1876,4.72
atg,1877,4.72
atg,1878,4.71
atg,1879,4.71
atg,1880,4.7
atg,1881,4.7
atg,1882,4.7
atg,1883,4.69
atg,1884,4.69
atg,1885,4.69
atg,1886,4.68
atg,1887,4.68
atg,1888,4.67
atg,1889,4.67
atg,1890,4.67
atg,1891,4.66
atg,1892,4.66
atg,1893,4.66
atg,1894,4.65
atg,1895,4.65
atg,1896,4.65
atg,1897,4.64
atg,1898,4.64
atg,1899,4.63
atg,1900,4.63
atg,1901,4.63
atg,1902,4.62
atg,1903,4.62
atg,1904,4.62
atg,1905,4.61
atg,1906,4.61
atg,1907,4.6
atg,1908,4.6
atg,1909,4.6
atg,1910,4.59
atg,1911,4.59
atg,1912,4.59
atg,1913,4.58
atg,1914,4.58
atg,1915,4.58
atg,1916,4.57
atg,1917,4.57
atg,1918,4.56
atg,1919,4.56
atg,1920,4.56
atg,1921,4.55
atg,1922,4.55
atg,1923,4.55
atg,1924,4.54
atg,1925,4.54
atg,1926,4.53
atg,1927,4.53
atg,1928,4.53
atg,1929,4.52
atg,1930,4.52
atg,1931,4.52
atg,1932,4.51
atg,1933,4.51
atg,1934,4.51
atg,1935,4.5
atg,1936,4.5
atg,1937,4.49
atg,1938,4.49
atg,1939,4.49
atg,1940,4.48
atg,1941,4.48
atg,1942,4.48
atg,1943,4.47
atg,1944,4.47
atg,1945,4.46
atg,1946,4.46
atg,1947,4.46
atg,1948,4.45
atg,1949,4.45
atg,1950,4.45
atg,1951,4.46
atg,1952,4.5
atg,1953,4.52
atg,1954,4.53
atg,1955,4.53
atg,1956,4.53
atg,1957,4.51
atg,1958,4.49
atg,1959,4.46
atg,1960,4.43
atg,1961,4.39
atg,1962,4.34
atg,1963,4.3
atg,1964,4.25
atg,1965,4.19
atg,1966,4.13
atg,1967,4.04
atg,1968,3.94
atg,1969,3.82
atg,1970,3.68
atg,1971,3.52
atg,1972,3.33
atg,1973,3.12
atg,1974,2.91
atg,1975,2.7
atg,1976,2.51
atg,1977,2.36
atg,1978,2.24
atg,1979,2.16
atg,1980,2.12
atg,1981,2.1
atg,1982,2.1
atg,1983,2.1
atg,1984,2.1
atg,1985,2.09
atg,1986,2.08
atg,1987,2.07
atg,1988,2.06
atg,1989,2.06
atg,1990,2.06
atg,1991,2.07
atg,1992,2.1
atg,1993,2.13
atg,1994,2.17
atg,1995,2.21
atg,1996,2.25
atg,1997,2.28
atg,1998,2.3
atg,1999,2.32
atg,2000,2.32
atg,2001,2.31
atg,2002,2.29
atg,2003,2.27
atg,2004,2.25
atg,2005,2.22
atg,2006,2.2
atg,2007,2.18
atg,2008,2.16
atg,2009,2.15
atg,2010,2.13
atg,2011,2.12
atg,2012,2.1
atg,2013,2.09
atg,2014,2.08
atg,2015,2.06
arg,1800,6.8
arg,1801,6.8
arg,1802,6.8
arg,1803,6.8
arg,1804,6.8
arg,1805,6.8
arg,1806,6.8
arg,1807,6.8
arg,1808,6.8
arg,1809,6.8
arg,1810,6.8
arg,1811,6.8
arg,1812,6.8
arg,1813,6.8
arg,1814,6.8
arg,1815,6.8
arg,1816,6.8
arg,1817,6.8
arg,1818,6.8
arg,1819,6.8
arg,1820,6.8
arg,1821,6.8
arg,1822,6.8
arg,1823,6.8
arg,1824,6.8
arg,1825,6.8
arg,1826,6.8
arg,1827,6.8
arg,1828,6.8
arg,1829,6.8
arg,1830,6.8
arg,1831,6.8
arg,1832,6.8
arg,1833,6.8
arg,1834,6.8
arg,1835,6.8
arg,1836,6.8
arg,1837,6.8
arg,1838,6.8
arg,1839,6.8
arg,1840,6.8
arg,1841,6.8
arg,1842,6.8
arg,1843,6.8
arg,1844,6.8
arg,1845,6.8
arg,1846,6.8
arg,1847,6.8
arg,1848,6.8
arg,1849,6.8
arg,1850,6.8
arg,1851,6.8
arg,1852,6.8
arg,1853,6.8
arg,1854,6.8
arg,1855,6.8
arg,1856,6.8
arg,1857,6.8
arg,1858,6.8
arg,1859,6.8
arg,1860,6.8
arg,1861,6.8
arg,1862,6.8
arg,1863,6.8
arg,1864,6.8
arg,1865,6.8
arg,1866,6.8
arg,1867,6.8
arg,1868,6.8
arg,1869,6.8
arg,1870,6.73
arg,1871,6.65
arg,1872,6.58
arg,1873,6.58
arg,1874,6.57
arg,1875,6.57
arg,1876,6.57
arg,1877,6.57
arg,1878,6.56
arg,1879,6.56
arg,1880,6.56
arg,1881,6.56
arg,1882,6.55
arg,1883,6.47
arg,1884,6.39
arg,1885,6.3
arg,1886,6.22
arg,1887,6.14
arg,1888,6.09
arg,1889,6.04
arg,1890,5.99
arg,1891,5.94
arg,1892,5.9
arg,1893,6.26
arg,1894,6.63
arg,1895,7
arg,1896,6.48
arg,1897,5.96
arg,1898,5.96
arg,1899,5.95
arg,1900,5.95
arg,1901,5.94
arg,1902,5.94
arg,1903,5.88
arg,1904,5.82
arg,1905,5.76
arg,1906,5.7
arg,1907,5.64
arg,1908,5.56
arg,1909,5.49
arg,1910,5.41
arg,1911,5.33
arg,1912,5.25
arg,1913,5.28
arg,1914,5.3
arg,1915,5.23
arg,1916,5.15
arg,1917,5.08
arg,1918,5.01
arg,1919,4.94
arg,1920,4.86
arg,1921,4.79
arg,1922,4.72
arg,1923,4.65
arg,1924,4.57
arg,1925,4.5
arg,1926,4.43
arg,1927,4.36
arg,1928,4.26
arg,1929,4.17
arg,1930,4.07
arg,1931,3.98
arg,1932,3.89
arg,1933,3.8
arg,1934,3.71
arg,1935,3.62
arg,1936,3.53
arg,1937,3.44
arg,1938,3.44
arg,1939,3.43
arg,1940,3.43
arg,1941,3.42
arg,1942,3.42
arg,1943,3.37
arg,1944,3.33
arg,1945,3.29
arg,1946,3.24
arg,1947,3.2
arg,1948,3.19
arg,1949,3.18
arg,1950,3.16
arg,1951,3.16
arg,1952,3.16
arg,1953,3.15
arg,1954,3.15
arg,1955,3.14
arg,1956,3.14
arg,1957,3.13
arg,1958,3.12
arg,1959,3.12
arg,1960,3.11
arg,1961,3.1
arg,1962,3.09
arg,1963,3.08
arg,1964,3.07
arg,1965,3.06
arg,1966,3.05
arg,1967,3.05
arg,1968,3.05
arg,1969,3.06
arg,1970,3.07
arg,1971,3.1
arg,1972,3.15
arg,1973,3.2
arg,1974,3.26
arg,1975,3.32
arg,1976,3.37
arg,1977,3.39
arg,1978,3.39
arg,1979,3.37
arg,1980,3.33
arg,1981,3.27
arg,1982,3.21
arg,1983,3.16
arg,1984,3.12
arg,1985,3.09
arg,1986,3.07
arg,1987,3.06
arg,1988,3.04
arg,1989,3.02
arg,1990,2.99
arg,1991,2.96
arg,1992,2.92
arg,1993,2.88
arg,1994,2.83
arg,1995,2.77
arg,1996,2.72
arg,1997,2.66
arg,1998,2.6
arg,1999,2.54
arg,2000,2.48
arg,2001,2.42
arg,2002,2.38
arg,2003,2.34
arg,2004,2.31
arg,2005,2.29
arg,2006,2.27
arg,2007,2.25
arg,2008,2.24
arg,2009,2.23
arg,2010,2.22
arg,2011,2.2
arg,2012,2.19
arg,2013,2.18
arg,2014,2.16
arg,2015,2.15
arm,1800,7.8
arm,1801,7.8
arm,1802,7.81
arm,1803,7.81
arm,1804,7.81
arm,1805,7.82
arm,1806,7.82
arm,1807,7.82
arm,1808,7.83
arm,1809,7.83
arm,1810,7.83
arm,1811,7.83
arm,1812,7.84
arm,1813,7.84
arm,1814,7.84
arm,1815,7.85
arm,1816,7.85
arm,1817,7.85
arm,1818,7.86
arm,1819,7.86
arm,1820,7.86
arm,1821,7.87
arm,1822,7.87
arm,1823,7.87
arm,1824,7.88
arm,1825,7.88
arm,1826,7.88
arm,1827,7.89
arm,1828,7.89
arm,1829,7.89
arm,1830,7.89
arm,1831,7.9
arm,1832,7.9
arm,1833,7.9
arm,1834,7.91
arm,1835,7.91
arm,1836,7.91
arm,1837,7.92
arm,1838,7.92
arm,1839,7.92
arm,1840,7.93
arm,1841,7.93
arm,1842,7.93
arm,1843,7.94
arm,1844,7.94
arm,1845,7.94
arm,1846,7.95
arm,1847,7.95
arm,1848,7.95
arm,1849,7.95
arm,1850,7.96
arm,1851,7.96
arm,1852,7.96
arm,1853,7.97
arm,1854,7.97
arm,1855,7.97
arm,1856,7.98
arm,1857,7.98
arm,1858,7.98
arm,1859,7.99
arm,1860,7.99
arm,1861,7.99
arm,1862,8
arm,1863,8
arm,1864,8
arm,1865,8.01
arm,1866,8.01
arm,1867,8.01
arm,1868,8.01
arm,1869,8.02
arm,1870,8.02
arm,1871,8.02
arm,1872,8.03
arm,1873,8.03
arm,1874,8.03
arm,1875,8.04
arm,1876,8.04
arm,1877,8.04
arm,1878,8.05
arm,1879,8.05
arm,1880,8.05
arm,1881,8.06
arm,1882,8.06
arm,1883,8.06
arm,1884,8.07
arm,1885,8.07
arm,1886,8.07
arm,1887,8.07
arm,1888,8.08
arm,1889,8.08
arm,1890,8.08
arm,1891,8.09
arm,1892,8.09
arm,1893,8.09
arm,1894,8.1
arm,1895,8.1
arm,1896,8.09
arm,1897,8.08
arm,1898,8.07
arm,1899,8.06
arm,1900,8.05
arm,1901,8.04
arm,1902,8.03
arm,1903,8.02
arm,1904,8.01
arm,1905,8
arm,1906,7.99
arm,1907,7.98
arm,1908,7.97
arm,1909,7.96
arm,1910,7.95
arm,1911,7.94
arm,1912,7.93
arm,1913,7.92
arm,1914,7.91
arm,1915,7.9
arm,1916,7.89
arm,1917,7.88
arm,1918,7.87
arm,1919,7.86
arm,1920,7.85
arm,1921,7.84
arm,1922,7.83
arm,1923,7.82
arm,1924,7.81
arm,1925,7.8
arm,1926,7.65
arm,1927,7.5
arm,1928,7.34
arm,1929,7.19
