Institution ID,Number of Pell grant recipients,Number of undergraduates
106111,257,319
106148,2605,8283
106245,4152,10311
106263,298,821
106281,73,76
106306,769,1082
106315,61,61
106324,48,52
106342,277,600
106351,131,178
106360,55,71
106397,4939,20350
106412,1903,2724
106449,1465,4643
106458,4696,10168
106467,4600,10089
106485,2479,3830
106494,55,81
106546,544,910
106625,1538,2401
106704,3781,9604
106713,377,832
106795,611,1600
106810,93,210
106829,218,279
106883,609,1464
106892,391,440
106908,342,671
106980,2274,3769
106999,913,1443
107044,1147,4360
107071,1782,3365
107080,246,1373
107099,41,73
107123,77,119
107141,640,2010
107211,24,37
107220,232,482
107275,23,24
107293,85,126
107318,1152,1980
107327,839,1672
107363,79,82
107442,57,93
107460,1423,2315
107488,56,262
107512,414,1532
107521,522,1412
107549,1104,1557
107558,225,576
107585,1428,2125
107600,485,666
107619,784,1980
107637,1082,1845
107655,46,65
107664,6849,11938
107725,926,1496
107743,409,1051
107789,65,148
107831,61,132
107840,39,52
107877,298,566
107974,896,1757
107983,1476,2865
107992,585,1817
108065,13,25
108092,3715,7352
108232,4701,11082
108250,382,577
108348,65,79
108649,210,267
108667,1252,5682
108807,2627,10837
108852,92,221
108977,128,155
109040,2065,2923
109208,8885,31088
109332,276,393
109350,7025,13746
109651,611,1657
109721,530,758
109730,178,181
109785,1779,6224
109819,6772,17344
109907,1558,3153
109934,160,293
110060,192,256
110097,1346,4338
110185,283,661
110194,252,317
110219,774,1315
110246,6063,12290
110316,53,93
110334,3359,13559
110361,2357,4934
110370,479,1478
110404,106,997
110413,723,2804
110422,3492,17680
110468,61,189
110486,4324,7400
110495,4400,7621
110510,9310,16055
110529,9046,20542
110538,5962,15316
110547,6743,11503
110556,10663,19719
110565,13150,32379
110574,5117,11562
110583,14698,31053
110592,11677,18111
110608,15244,31442
110617,12940,25624
110635,8344,25774
110644,11029,25666
110653,9597,22216
110662,10127,27941
110671,10456,18539
110680,9691,22676
110705,7208,18977
110714,7124,15978
110875,100,163
110918,19,35
110945,833,1164
111009,246,605
111054,171,345
111081,317,950
111188,366,973
111434,1042,6655
111461,3658,16049
111513,160,306
111638,497,939
111708,294,445
111717,472,747
111726,210,460
111744,198,281
111762,83,215
111771,127,272
111799,65,156
111887,9750,20719
111896,802,4549
111920,3367,13224
111939,6557,17804
111948,1156,5681
111966,56,108
112075,435,1738
112084,472,729
112172,3823,11750
112181,50,154
112190,7778,30139
112260,147,1264
112288,415,585
112367,196,1584
112385,1645,9380
112394,156,391
112446,325,667
112455,11,72
112561,769,2667
112570,174,359
112686,1706,7510
112826,1976,6899
113096,3430,14143
113111,1066,5280
113193,1656,9834
113218,2189,8431
113236,4149,15647
113333,3789,23847
113397,1972,2453
113449,190,350
113537,0,24
113573,4122,9075
113582,118,204
113634,2821,20329
113698,512,1584
113856,10096,36974
113908,851,1142
113980,6027,23405
114044,132,201
114071,520,676
114080,418,528
114123,211,661
114266,2931,9295
114354,1190,3743
114390,265,750
114415,136,293
114433,496,1546
114460,243,403
114628,2,105
114716,1318,15247
114761,76,113
114789,8265,21630
114813,1382,2399
114859,4878,19624
114938,1555,6669
114947,36,386
115001,6550,15978
115010,351,524
115083,181,521
115126,3414,12332
115296,4044,17755
115357,41,54
115393,2704,8380
115409,103,784
115454,1060,1343
115472,1787,2011
115490,1302,1716
115515,913,1239
115533,1272,1672
115658,159,224
115728,411,890
115755,3934,7621
115773,610,808
115861,4330,7706
115931,377,428
116226,52,317
116350,266,443
116439,1651,13208
116466,839,1385
116475,343,451
116484,670,926
116563,151,288
116712,141,275
116846,43,140
117052,4297,13737
117104,231,586
117113,1224,1979
117140,2344,5044
117168,188,457
117195,553,2474
117238,88,162
117247,2569,11387
117274,417,2074
117557,42,114
117575,20,81
117627,987,2048
117636,368,1267
117645,10935,24839
117672,0,424
117690,3352,9637
117706,6703,19872
117715,2548,6736
117724,5069,13662
117733,5924,18576
117751,346,1134
117788,6657,20302
117803,79,211
117867,3256,9657
117894,2316,8554
117928,863,1440
117946,1170,6084
117955,251,392
118116,7,135
118125,8,68
118134,60,123
118143,51,114
118161,79,206
118189,145,145
118198,531,812
118259,513,895
118277,720,1981
118286,469,1357
118347,1735,7058
118356,3420,4200
118541,406,1001
118684,1355,3788
118693,238,714
118718,4861,10269
118772,1366,6113
118888,438,937
118912,1769,14723
118921,858,1079
118930,2503,9879
118958,61,71
118967,574,1319
118976,6626,16984
118994,123,127
119058,8,22
119067,1304,10048
119137,2564,14605
119164,10826,28035
119173,1444,2458
119216,5163,14180
119234,90,160
119270,398,1288
119331,1677,6287
119340,368,552
119359,482,699
119368,216,279
119438,301,475
119456,725,881
119465,845,1052
119508,612,821
119544,299,500
119553,517,870
119605,2542,9482
119775,239,389
119845,164,315
119951,311,431
120069,398,467
120078,514,883
120087,298,346
120166,0,179
120184,497,1183
120254,445,2070
120272,55,121
120290,1697,10527
120342,4127,21088
120403,536,1105
120421,2493,7060
120537,457,916
120661,717,1899
120698,78,170
120768,239,374
120838,2,19
120865,687,1564
120883,1551,3867
120953,336,2927
120971,3867,24517
121017,44,194
121044,6419,22859
121150,724,3488
121257,175,1084
121275,192,413
121309,655,2415
121345,271,1607
121363,2061,3919
121381,556,659
121433,148,189
121619,3349,32353
121637,81,115
121691,862,3452
121707,2070,5344
121859,205,390
121868,154,210
121886,4717,16548
121901,5540,17218
121983,93,146
121992,72,231
122117,10,10
122180,6459,24381
122205,3044,21726
122250,0,6
122296,117,584
122339,5648,16797
122366,106,258
122375,4530,24302
122384,2225,11355
122409,10282,25990
122436,986,5457
122454,148,453
122506,62,186
122597,11211,26449
122612,1644,6262
122658,6904,17002
122685,1672,1894
122694,662,751
122728,470,991
122746,1956,9927
122755,9949,25157
122791,1496,9548
122834,425,600
122843,2021,2687
122852,148,219
122889,4219,19257
122931,729,5250
122977,7574,30254
123013,4141,22826
123165,125,945
123208,1360,2075
123217,4851,10947
123280,42,53
123299,3460,8471
123341,5740,18247
123350,108,265
123396,104,153
123457,581,1031
123484,939,2432
123493,1225,1376
123509,2163,9563
123527,3677,12031
123554,932,2853
123563,2462,9772
123572,2423,8164
123581,315,411
123633,44,130
123642,355,568
123651,743,1957
123679,1035,1625
123800,5020,18362
123952,130,265
123961,4227,18316
124113,953,5418
124292,132,370
124344,804,1018
124487,206,255
124681,6866,7229
124706,742,1627
124779,43,53
124937,585,1402
125028,3729,13030
125082,141,174
125091,4854,11947
125170,1098,5739
125231,4161,8669
125310,28,52
125462,903,2572
125471,3131,10678
125499,1590,10300
125532,1511,2120
125727,281,1343
125763,593,1670
125897,722,1488
126076,86,146
126119,3000,7224
126164,51,131
126182,1216,2418
126207,2119,4983
126289,4854,11806
126359,347,682
126401,324,435
126562,3639,13103
126580,2731,8477
126605,444,651
126614,4467,25940
126669,1325,3201
126678,197,2004
126687,589,1442
126702,1030,1972
126711,1367,5847
126748,275,1158
126775,729,4156
126784,136,297
126818,5977,23252
126827,668,1506
126854,82,102
126863,3161,8052
126872,465,581
126915,110,1019
126924,43,90
126942,5629,11901
126951,1323,2019
127024,347,455
127060,1001,5394
127158,529,3794
127185,1233,3883
127200,7558,20529
127219,29,67
127228,135,256
127316,210,420
127389,300,916
127556,3780,9392
127565,8865,23019
127617,552,1839
127653,190,402
127680,215,357
127699,193,269
127714,372,835
127732,616,1970
127741,3626,10318
127778,708,1456
127787,302,407
127820,6923,15175
127839,431,591
127884,6176,7432
127909,3087,9031
127918,1480,5688
127945,227,625
127954,4,16
128106,2220,5373
128151,264,1378
128179,662,686
128188,662,1042
128258,835,1691
128337,167,232
128391,662,2106
128425,0,20
128498,788,1356
128540,51,165
128577,634,1673
128586,0,48
128674,633,943
128683,617,1071
128726,58,161
128744,1306,2688
128771,3316,9942
128780,427,1644
128896,174,457
128902,250,1926
128957,117,239
129002,210,313
129020,3659,17528
129154,1802,3317
129181,716,1327
129215,1390,5258
129242,594,3879
129349,58,239
129367,2387,4425
129482,379,506
129525,1395,5284
129534,13,54
129543,2832,6077
129613,209,272
129686,32,79
129695,2879,7692
129729,2928,7419
129756,1844,2933
129774,290,858
129808,2139,4980
129923,559,853
129932,857,964
129941,1212,4693
129969,148,494
130004,2284,6810
130040,519,1423
130110,57,192
130129,409,826
130174,1631,2584
130183,2823,6546
130217,1017,2094
130226,919,6430
130253,614,4092
130314,393,1066
130396,3634,7976
130448,212,824
130493,2951,8525
130509,475,607
130590,265,2285
130606,1637,4734
130697,537,2924
130776,1583,5583
130794,688,5405
130837,26,52
130873,728,1370
130891,2217,4611
130907,1378,3106
130916,2345,7216
130934,1991,3955
130943,2084,17484
130989,199,632
131061,122,225
131098,832,1679
131113,2661,8133
131159,1142,7299
131283,455,3694
131308,110,386
131399,2388,4857
131450,532,1117
131469,1389,10240
131496,1001,7552
131520,2991,6656
131742,2098,3060
131803,536,995
131830,11,36
131876,1222,1885
132268,823,1352
132338,1353,2239
132374,366,2882
132408,336,534
132471,2393,4619
132602,2706,3486
132657,332,1657
132666,110,230
132675,93,270
132693,6300,17202
132709,21386,42662
132806,134,265
132842,202,322
132851,4585,8443
132879,197,374
132903,19234,51010
132976,157,276
133021,949,2244
133085,254,494
133155,181,881
133386,7454,15184
133465,624,892
133492,547,2337
133508,6284,15731
133526,730,868
133553,1407,4534
133650,6479,10053
133669,10122,25310
133702,11634,30053
133711,832,2847
133809,198,531
133845,530,1331
133854,517,1110
133863,456,1205
133872,926,2576
133881,719,2978
133942,48,111
133951,21768,37475
133960,381,1212
133979,1384,1542
133997,4521,5793
134024,139,224
134079,735,2232
134097,9700,31652
134112,4884,6301
134121,113,126
134130,10512,32776
134149,1718,2061
134228,28,31
134237,13571,21371
134291,392,1005
134307,419,1513
134343,2583,6030
134422,36,78
134495,11958,27754
134510,41,75
134529,305,305
134574,137,289
134608,7109,17816
134680,396,605
134714,291,432
134811,1945,3427
134909,421,623
134945,975,3319
135063,392,504
135081,9437,15842
135124,746,1023
135142,392,502
135160,1197,3073
135179,294,965
135188,1459,4682
135267,406,1320
135276,636,1287
135294,266,1437
135337,156,312
135364,286,512
135391,4985,10765
135407,686,1726
135416,815,991
135522,281,412
135610,0,278
135647,547,2045
135717,34424,66701
135726,1964,10590
135735,382,2154
135771,746,1080
135939,158,214
135957,469,592
136048,71,155
136066,624,851
136075,222,309
136109,115,234
136145,714,1269
136172,5010,14398
136206,198,586
136215,2539,5739
136233,2185,6938
136288,752,939
136303,299,1026
136330,956,2751
136358,14059,29974
136400,4603,10376
136473,4464,11862
136491,627,1378
136516,4920,11862
136659,125,823
136765,329,738
136774,409,1364
136783,21,49
136826,615,1324
136950,842,2662
137023,540,1298
137032,5745,12653
137078,13924,32612
137087,517,1424
137096,5885,15362
137120,178,1079
137148,85,129
137209,9283,19450
137245,672,2776
137272,18,71
137281,2563,6624
137315,1275,2800
137351,12846,31125
137476,581,1137
137537,136,227
137546,919,2516
137564,1023,2448
137591,234,446
137713,152,237
137759,6207,14237
137777,17,42
137801,631,841
137810,388,490
137847,1519,6143
137856,116,292
137865,364,650
137953,168,267
137962,120,212
138132,38,133
138187,19135,42916
138275,654,1008
138284,305,790
138293,295,655
138309,3976,5748
138354,4085,9958
138372,437,1029
138479,222,1741
138488,397,718
138497,283,593
138558,1490,3233
138600,397,885
138655,100,254
138664,7,13
138682,3185,3935
138691,3589,6396
138716,2749,3803
138761,167,292
138789,2921,6731
138813,2253,3367
138822,605,1004
138840,3730,4874
138868,877,1483
138901,2042,2871
138938,148,302
138947,1863,2632
138956,3017,4339
139010,2322,2939
139074,606,753
139092,68,95
139144,536,2041
139153,348,557
139199,897,1723
139205,311,680
139214,157,241
139250,1620,3156
139278,3803,6645
139287,96,121
139311,3936,6808
139357,2990,4267
139366,3203,7025
139384,4273,6036
139393,315,1065
139463,3090,5047
139506,232,287
139579,579,806
139621,2903,2947
139630,411,805
139658,1678,7656
139700,2852,5533
139719,2487,3250
139746,13,82
139755,2807,14527
139764,1312,2749
139861,1214,5568
139904,915,1470
139931,6753,17993
139940,12547,24656
139959,6196,26259
139968,2249,4171
139986,3738,5543
139995,180,212
140003,283,347
140012,3623,6682
140164,9480,22684
140234,377,834
140243,1810,3389
140252,403,838
140331,6235,11679
140340,282,436
140447,1814,4423
140553,1192,2375
140599,1312,1999
140678,1658,2369
140696,419,1053
140720,645,837
140818,660,1296
140827,10,90
140872,587,1224
140942,3109,4747
140951,2301,8845
140960,3264,4413
140988,681,1440
141006,1381,1901
141015,30,205
141060,1105,2145
141097,2234,5402
141158,1001,1632
141167,399,882
141185,477,800
141237,304,1339
141255,3060,4143
141264,4725,10290
141325,241,654
141334,4745,9963
141361,395,1029
141468,1217,1682
141486,626,2140
141565,1617,3568
141574,4523,14655
141608,92,151
141644,1585,6168
141680,1100,4582
141796,1638,8892
141802,556,1495
141811,2131,7960
141839,2038,4382
141848,117,158
141945,187,247
141981,700,1997
141990,1031,2741
142054,488,759
142090,123,198
142115,7233,19657
142179,508,702
142276,5636,11868
142285,3793,9517
142294,377,1042
142328,1888,4525
142337,243,342
142407,63,63
142416,33,35
142443,3202,6565
142461,552,1478
142489,55,79
142522,8948,23058
142559,3184,9266
142869,32,68
142878,80,86
142887,209,432
143048,642,2548
143084,492,2551
143118,1171,2994
143181,42,61
143215,4294,11938
143279,2179,6360
143288,280,531
143297,86,258
143303,12,22
143358,1308,4879
143376,262,582
143464,80,159
143473,95,135
143482,92,113
143491,148,180
143516,78,108
143534,54,124
143543,92,136
143552,73,149
143613,1191,2460
143695,30,39
144005,3174,4618
144050,797,5618
144157,3452,6235
144166,3229,6524
144175,2236,5001
144184,2858,11925
144193,2751,9410
144209,4621,8947
144218,4209,12469
144281,3915,10310
144351,661,1462
144467,812,1349
144485,1239,1549
144564,1407,4227
144573,43,94
144740,5689,16498
144795,165,321
144865,6440,26156
144883,538,776
144892,3521,8975
144944,4657,11554
144962,976,3052
144971,294,754
145099,232,409
145239,252,398
145309,49,65
145336,1854,3130
145354,51,75
145372,449,1224
145406,160,398
145424,48,125
145433,44,162
145460,222,493
145497,287,555
145521,912,2064
145600,8182,16678
145619,1357,3724
145637,6519,32281
145646,378,2013
145682,3321,11125
145691,322,970
145707,609,1477
145725,887,2801
145770,218,311
145813,4668,18257
145831,1396,3944
146010,374,491
146205,2568,7437
146278,1094,2172
146296,3858,15589
146339,445,1018
146348,1851,3913
146366,1695,5104
146393,806,1810
146418,1815,4921
146427,395,1430
146454,19,43
146472,3386,17577
146481,510,1552
146506,2192,6818
146533,106,339
146603,2720,8483
146612,1440,4579
146621,37,45
146667,348,675
146676,739,1232
146685,2375,7193
146700,1171,1478
146719,2907,9723
146755,80,232
146791,508,631
146807,44,63
146816,125,194
146825,364,625
147004,1670,6976
147013,849,2240
147129,249,528
147165,402,592
147244,879,2264
147341,550,1242
147369,828,3087
147378,4499,16650
147396,47,82
147411,2123,5088
147439,71,133
147536,653,1341
147590,38,125
147642,52,113
147660,658,2755
147679,814,2203
147703,7112,16552
147749,1181,1365
147767,1328,9376
147776,4408,9139
147800,2222,11402
147819,71,106
147828,1011,3195
147916,3058,8679
147970,193,281
148007,2343,5416
148016,0,496
148098,14,72
148131,529,1226
148140,53,206
148177,1482,2558
148256,1158,3815
148292,1346,3269
148335,2008,3230
148380,2958,8312
148399,398,537
148405,523,992
148487,1597,3795
148496,878,1995
148511,35,108
148575,135,402
148584,678,1856
148593,29,116
148627,1387,2843
148654,1123,3054
148672,954,2230
148821,814,2085
148849,53,112
148876,1296,1612
148937,874,2087
148955,108,125
148991,626,1883
149028,85,254
149204,42,72
149222,6113,14130
149231,4043,11341
149310,217,245
149329,35,74
149365,3652,6211
149499,23,33
149505,459,1346
149514,455,947
149532,3814,13938
149550,164,332
149639,56,139
149727,3293,11146
149763,64,354
149772,4390,10263
149781,526,2508
149842,3207,14706
150048,294,441
150066,683,2034
150075,3,13
150136,5766,16652
150145,931,1801
150163,689,3961
150172,374,921
150251,99,256
150303,162,285
150400,439,2336
150428,48,83
150437,30,90
150455,280,1087
150534,669,2612
150604,423,1053
150668,260,879
150677,527,1530
150695,75,115
150710,190,204
150756,391,1123
150765,47,120
150774,150,450
150853,101,235
150941,391,1130
150987,54970,100182
151102,4820,13117
151111,8150,22271
151166,3625,4547
151263,1588,4259
151290,3203,5132
151306,3069,9498
151324,4377,10076
151333,1144,3581
151342,2648,7860
151351,6270,32371
151360,1957,5636
151379,2133,6203
151388,1461,4052
151458,281,434
151467,255,399
151494,377,549
151500,264,387
151519,3810,5462
151537,35,40
151564,24,55
151607,41,117
151616,553,677
151625,311,389
151652,239,335
151661,1131,1826
151777,450,1257
151786,696,2241
151801,4334,11103
151810,510,655
151829,44,155
151874,68,113
151944,517,652
151962,49,62
152044,92,144
152080,998,8475
152099,295,2334
152150,34,71
152220,174,376
152248,2907,8912
152266,1663,5982
152275,197,333
152309,79,105
152318,390,2121
152327,39,60
152336,834,1978
152363,319,1079
152381,438,864
152390,298,1469
152415,353,668
152497,120,253
152530,414,2239
152567,462,1943
152600,756,2980
152628,38,135
152637,3899,17530
152673,217,906
152798,150,385
152822,329,905
152992,466,1030
153001,1141,2330
153074,113,191
153083,152,319
153092,16,18
153108,398,1486
153126,382,967
153144,386,1364
153162,407,1180
153171,29,51
153214,8886,23685
153241,36,106
153250,429,1381
153269,577,3365
153278,921,1676
153296,484,1100
153302,115,204
153311,3996,8474
153320,140,261
153339,38,45
153366,594,1495
153375,1005,2197
153384,351,1674
153409,204,241
153418,436,556
153427,179,218
153445,2218,5922
153463,31,43
153472,2795,4885
153524,2033,6216
153533,1025,3035
153542,1,20
153588,31,50
153597,131,239
153603,5782,25553
153621,328,651
153630,2928,7367
153658,4193,21999
153737,5862,16659
153746,89,153
153764,116,188
153773,103,133
153782,92,134
153825,362,1483
153834,477,2473
153861,234,356
153922,789,2005
153977,330,846
154004,437,1239
154013,514,1513
154022,41135,69380
154059,1339,3279
154095,2881,10655
154101,397,1232
154110,1748,5018
154129,421,1609
154165,48,100
154174,27,48
154208,65,196
154235,721,2794
154262,75,203
154332,39,73
154341,55,108
154350,548,1844
154378,1774,3112
154396,698,1666
154448,160,258
154457,38,90
154466,66,86
154493,2003,4645
154518,551,1106
154527,440,1747
154545,59,86
154572,2434,6425
154590,850,1708
154642,1272,2952
154688,768,1936
154697,810,5027
154712,438,2086
154721,240,614
154749,181,469
154767,371,561
154776,395,556
154794,116,130
154800,3630,9683
154837,0,32
154855,505,819
154907,802,2597
154925,649,1792
154934,401,1442
154952,2723,4345
154970,151,212
154998,655,1864
155007,279,441
155025,1475,3773
155052,455,751
155061,3176,11457
155070,151,250
155089,798,1769
155098,853,1903
155104,730,2188
155140,591,846
155159,60,112
155177,178,443
155186,876,3104
155195,2044,6112
155201,408,1166
155210,4175,20421
155283,618,1601
155292,3394,7479
155317,4248,19169
155335,537,2384
155353,40,65
155399,5015,19853
155414,272,711
155423,292,987
155441,31,96
155450,569,1937
155487,323,755
155496,130,357
155511,264,612
155520,567,1495
155566,796,2602
155593,399,815
155618,266,714
155627,328,571
155636,79,221
155681,2486,6166
155715,467,1527
155812,276,854
155830,152,432
155858,443,1973
155867,64,85
155900,470,1304
155937,266,618
155973,270,743
156082,2388,6389
156107,2141,2677
156125,4338,12066
156134,1670,2015
156189,355,608
156213,602,1545
156231,1805,3925
156277,89,111
156286,618,2730
156295,1375,1658
156310,311,607
156338,2013,5179
156356,426,851
156365,1186,3122
156392,6059,13218
156408,209,1344
156417,132,174
156426,172,395
156444,23,26
156471,880,1423
156541,827,1864
156620,5966,13947
156648,3719,7586
156745,383,1116
156754,67,104
156790,1851,3803
156842,129,326
156851,831,1963
156860,2369,3827
156903,101,150
156921,6653,14346
156949,13,37
156967,80,162
157021,1168,1351
157030,54,84
157058,1365,2296
157076,320,678
157085,5071,20436
157100,284,574
157216,1415,2217
157270,326,457
157289,4716,15724
157304,1485,4551
157331,2122,4634
157359,1225,2174
157377,736,1434
157386,3719,9722
157401,3132,8891
157438,2356,4648
157447,4382,13012
157456,38,42
157465,160,244
157483,2825,6988
157508,25,120
157535,772,1621
157553,2294,5151
157599,1672,1999
157614,97,153
157632,405,855
157650,222,296
157669,188,220
157678,215,278
157696,524,644
157711,4822,7878
157739,1897,5123
157748,0,519
157757,676,1429
157766,370,695
157793,2086,4149
157809,432,1654
157818,291,1074
157827,122,132
157863,453,781
157951,7121,18101
158088,813,2215
158158,87,101
158246,362,402
158325,30,56
158334,5,15
158343,40,81
158352,549,3859
158431,5595,7917
158440,186,212
158477,247,698
158538,30,52
158617,425,2326
158644,54,118
158662,12944,17803
158723,226,235
158778,50,75
158787,54,127
158802,1004,1307
158884,1490,2334
159009,3258,4435
159027,65,76
159197,285,580
159319,24,42
159328,48,77
159373,202,902
159382,995,2431
159391,4870,24626
159407,1311,3075
159416,1236,4124
159443,1553,3548
159513,130,353
159522,165,221
159531,28,67
159568,528,1163
159601,34,49
159647,1987,8958
159656,951,3200
159717,2855,7845
159939,2462,7689
159948,0,1088
159966,2364,6008
159993,2720,7298
160010,1424,2789
160038,3344,8312
160065,439,960
160074,584,1578
160117,53,69
160126,46,46
160135,44,44
160199,56,102
160320,960,1907
160409,24,104
160445,89,170
160472,39,61
160481,991,2502
160524,262,367
160579,1174,2767
160597,85,144
160612,4745,14231
160621,3539,5588
160630,1609,2565
160649,1802,2937
160658,5156,15144
160667,1111,3111
160755,1351,8357
160904,1449,2525
160913,593,2918
160940,678,936
160959,107,356
160977,195,1753
160995,587,772
161004,253,1839
161022,98,217
161077,1540,3004
161086,201,1863
161138,1173,2472
161165,669,2393
161192,1283,2470
161208,15,68
161217,2830,4990
161226,933,2028
161235,376,1169
161244,378,925
161253,3264,8778
161299,282,979
161341,532,1463
161457,601,2637
161484,551,1040
161493,371,517
161509,159,369
161518,477,1959
161527,157,438
161545,3693,7574
161554,2693,7407
161563,400,1201
161572,237,537
161581,303,435
161615,68,83
161651,55,92
161688,1670,3659
161767,4634,17650
161776,357,581
161800,232,290
161855,130,130
161864,2935,5474
161873,1461,3426
162007,2087,4283
162061,157,441
162104,825,2641
162122,2189,9210
162168,1014,2660
162210,659,1222
162283,1865,3127
162335,53,119
162371,672,696
162557,1370,6159
162584,1621,4631
162609,512,873
162654,356,1484
162681,596,802
162690,1895,5005
162706,2048,7226
162760,491,1434
162779,2526,10152
162830,55,91
162928,787,6023
162982,12,106
163028,742,1271
163046,554,3917
163107,41,44
163204,6759,28273
163259,146,728
163268,2952,10953
163286,5062,26538
163295,442,1820
163338,2069,3758
163347,932,1389
163408,167,234
163426,8450,27453
163453,4055,6591
163462,418,1842
163532,68,344
163541,661,808
163578,371,1227
163657,4998,13824
163736,489,1182
163754,44,144
163815,100,128
163851,1760,7969
163912,289,1901
163921,867,1225
163976,107,449
164058,264,712
164076,4493,17988
164100,294,296
164173,1183,3904
164216,217,1458
164270,496,1614
164313,1897,3739
164438,193,961
164447,750,1492
164465,363,1817
164492,379,1037
164535,32,45
164562,524,2281
164580,325,2015
164599,41,74
164614,44,88
164632,824,1558
164641,613,1192
164678,171,310
164720,710,1826
164739,659,4241
164748,840,4447
164775,1456,2503
164845,249,417
164872,201,455
164924,1328,9686
164933,103,526
164988,2722,18306
165015,639,3588
165024,2297,9684
165033,3843,9022
165060,150,346
165112,6839,13504
165167,421,1090
165194,1512,4201
165255,119,257
165264,271,727
165334,487,2352
165529,722,2826
165556,399,565
165574,386,1322
165608,49,84
165635,259,424
165644,652,1323
165662,630,3702
165671,514,2199
165699,413,2622
165750,104,184
165802,1172,2037
165820,1422,4163
165866,1270,4489
165884,306,474
165936,349,1577
165981,1246,2437
166009,46,103
166018,317,1461
166027,1073,10564
166045,2,7
166054,33,88
166063,46,69
166124,476,2926
166133,3700,7164
166276,187,246
166294,78,82
166319,62,84
166328,50,51
166391,528,1655
166407,106,319
166452,520,1984
166489,15,60
166498,106,174
166513,3672,12287
166586,34,49
166595,42,100
166601,79,174
166629,5510,21928
166638,4645,12124
166647,1643,5427
166656,1091,3626
166674,559,2179
166683,822,4503
166692,244,1312
166805,86,150
166823,3340,8209
166850,547,2453
166869,0,171
166887,3336,9664
166911,150,396
166939,472,2325
166948,537,1368
166957,2310,4731
166975,64,293
166984,142,520
167020,493,633
167039,30,51
167057,68,436
167224,7,81
167251,531,1053
167260,421,1202
167288,722,1600
167297,43,176
167312,3444,7912
167321,519,1052
167358,2370,16640
167376,3732,7312
167394,503,1268
167455,208,317
167525,1624,4495
167534,4014,8991
167543,141,329
167598,411,1149
167631,1439,2711
167677,0,39
167729,2585,7741
167738,891,1187
167783,461,1792
167792,115,377
167835,603,2664
167871,63,139
167899,497,2267
167905,3885,7011
167987,2783,7326
167996,375,2602
168005,1685,5770
168032,47,111
168148,595,5255
168218,477,2482
168227,1133,4015
168254,672,2686
168263,1401,5370
168281,351,1616
168290,313,903
168342,394,2070
168421,596,3952
168430,1438,5307
168528,770,1763
168546,327,1382
168555,34,83
168573,703,712
168591,447,1461
168607,1025,1963
168740,621,1968
168786,645,1922
168838,1970,2974
168847,3953,5512
168883,1238,2442
168892,108,122
169071,33,54
169080,914,3930
169187,150,279
169248,7265,20817
169275,5289,9968
169284,401,567
169327,308,618
169363,219,513
169442,502,1356
169479,4417,8373
169503,168,385
169521,4960,10763
169576,104,143
169655,552,759
169716,824,2868
169734,175,234
169761,152,220
169798,8460,18927
169910,5468,13261
169947,75,91
169974,595,1270
169983,435,1724
169992,573,1049
170000,272,429
170037,974,2238
170046,743,992
170055,7541,17448
170082,7743,21317
170091,139,183
170240,9583,17338
170301,682,3343
170417,295,411
170444,3542,6328
170514,51,138
