pwsid,wsname,yr,mo,population,urb_2013,urb_gpcd,res_2013,res_gpcd,hyd_reg
3610073,Hi-Desert Water District,2015,4,"23,760", 110 , 106 ,,75,10
2710011,"Soledad, City of",2015,4,"16,729", 140 , 128 ,,99,3
2110003,North Marin Water District,2015,4,"61,299", 131 , 121 ,,99,2
2110002,Marin Municipal Water District,2015,4,"188,200", 123 , 104 ,,78,2
1510019,"Shafter, City of",2015,4,"18,488", 355 , 274 ,,151,7
4910017,"Windsor, Town of",2015,4,"27,391", 117 , 96 ,,66,1
1510017,Indian Wells Valley Water District,2015,4,"31,120", 216 , 175 ,,144,9
3810011,San Francisco Public Utilities Commission,2015,4,"846,601", 87 , 76 ,,44,2
1310001,"Brawley, City of",2015,4,"27,743", 279 , 158 ,,126,10
3610034,"Ontario, City of",2015,4,"168,777", 184 , 172 ,,97,4
3010053,"Huntington Beach, City of",2015,4,"196,041", 138 , 125 ,,85,4
0510002,Calaveras County Water District,2015,4,"31,750", 135 , 103 ,,99,6
1210013,Humboldt Bay Municipal Water District,2015,4,422," 1,229 "," 1,227 ",,86,1
4210011,"Santa Maria, City of",2015,4,"102,087", 119 , 119 ,,84,3
5110002,"Yuba City, City of",2015,4,"65,416", 218 , 176 ,,123,5
3710006,"Escondido, City of",2015,4,"134,053", 116 , 139 ,,88,4
1910204,Los Angeles County Public Works Waterworks District 29,2015,4,"31,045", 267 , 268 ,,193,4
3110025,Placer County Water Agency,2015,4,"95,717", 227 , 212 ,,153,5
3310037,"Corona, City of",2015,4,"168,070", 187 , 162 ,,97,4
1910179,"Burbank, City of",2015,4,"106,084", 158 , 135 ,,98,4
5610019,"Camarillo, City of",2015,4,"46,736", 192 , 158 ,,91,4
3310003,"Blythe, City of",2015,4,"13,839", 214 , 196 ,,144,10
3110008,"Roseville, City of",2015,4,"122,946", 215 , 158 ,,79,5
3710027,Vista Irrigation District,2015,4,"124,746", 137 , 131 ,,90,4
3610004,West Valley Water District,2015,4,"73,189", 245 , 236 ,,163,4
2810003,"Napa, City of",2015,4,"85,679", 143 , 111 ,,72,2
3310008,Mission Springs Water District,2015,4,"34,766", 233 , 195 ,,127,10
1910005,Los Angeles County Public Works Waterworks District 40,2015,4,"206,616", 217 , 188 ,,134,9
2910004,Nevada Irrigation District,2015,4,"44,761", 170 , 132 ,,103,5
0110001,Alameda County Water District,2015,4,"340,000", 127 , 94 ,,68,2
1910047,"Hawthorne, City of",2015,4,"44,504", 85 , 80 ,,66,4
4010026,Nipomo Community Services District,2015,4,"12,512", 194 , 156 ,,131,3
3310038,Rancho California Water District,2015,4,"166,659", 362 , 359 ,,165,4
3710016,Rainbow Municipal Water District,2015,4,"19,611"," 1,098 "," 1,042 ",,250,4
3710014,"Oceanside, City of",2015,4,"171,183", 156 , 143 ,,84,4
3310049,Western Municipal Water District of Riverside,2015,4,"96,139", 234 , 216 ,,138,4
3110010,Tahoe City Public Utilities District,2015,4,"5,540", 99 , 83 ,,52,8
1310002,"Calexico, City of",2015,4,"41,033", 145 , 128 ,,89,10
4210006,"Lompoc, City of",2015,4,"39,846", 111 , 98 ,,58,3
1510003,California Water Service Company Bakersfield,2015,4,"277,992", 220 , 202 ,,152,7
0310003,Amador Water Agency,2015,4,"23,347", 139 , 97 ,,53,6
0410005,California Water Service Company Oroville,2015,4,"10,628", 259 , 156 ,,75,5
3710034,Otay Water District,2015,4,"217,600", 134 , 126 ,,86,4
3710020,"San Diego, City of",2015,4,"1,314,290", 127 , 123 ,,66,4
2910003,Truckee-Donner Public Utilities District,2015,4,"32,776", 110 , 74 ,,59,8
5010010,"Modesto, City of",2015,4,"220,916", 241 , 195 ,,140,6
3610025,Joshua Basin Water District,2015,4,"9,514", 164 , 131 ,,115,10
4210010,"Santa Barbara, City of",2015,4,"93,091", 143 , 103 ,,66,3
5510003,Tuolumne Utilities District,2015,4,"28,997", 130 , 106 ,,87,6
3410029,Sacramento County Water Agency,2015,4,"163,479", 214 , 155 ,,118,5
5610017,"San Buenaventura, City of",2015,4,"113,478", 136 , 119 ,,74,4
3410008,Elk Grove Water Service,2015,4,"44,202", 131 , 106 ,,85,5
1910096,Newhall County Water District,2015,4,"45,036", 203 , 173 ,,111,4
1910240,Valencia Water Company,2015,4,"118,224", 231 , 202 ,,107,4
1910048,Castaic Lake Water Agency Santa Clarita Water Division,2015,4,"119,650", 209 , 159 ,,121,4
1910036,California Water Service Company East Los Angeles,2015,4,"155,293", 93 , 85 ,,45,4
5410003,"Exeter, City of",2015,4,"10,572", 246 , 157 ,,127,7
4810004,"Rio Vista, City of",2015,4,"8,324", 251 , 232 ,,163,5
4910004,Sweetwater Springs Water District,2015,4,"7,711", 88 , 71 ,,60,1
5410016,California Water Service Company Visalia,2015,4,"137,912", 208 , 154 ,,110,7
1010024,California Water Service Company Selma,2015,4,"24,596", 228 , 158 ,,127,7
0410002,California Water Service Company Chico District,2015,4,"101,447", 226 , 167 ,,118,5
4410017,Soquel Creek Water District,2015,4,"37,720", 99 , 72 ,,53,3
3610064,East Valley Water District,2015,4,"101,733", 185 , 160 ,,124,4
4110006,California Water Service Company Bear Gulch,2015,4,"58,895", 214 , 164 ,,142,2
3010003,"Buena Park, City of",2015,4,"82,364", 167 , 147 ,,87,4
1910152,"South Gate, City of",2015,4,"96,057", 74 , 70 ,,63,4
4110016,Hillsborough Town of,2015,4,"10,850", 351 , 232 ,,204,2
4810002,"California Water Service Company Dixon, City of",2015,4,"9,823", 127 , 107 ,,94,5
3610037,"Redlands, City of",2015,4,"77,852", 317 , 265 ,,183,4
3410021,San Juan Water District,2015,4,"39,020", 289 , 195 ,,186,5
1910033,California Water Service Company Dominguez,2015,4,"142,215", 208 , 239 ,,74,4
0110006,"Hayward, City of",2015,4,"151,037", 89 , 88 ,,50,2
1910134,California Water Service Company Hermosa/Redondo,2015,4,"95,723", 116 , 103 ,,78,4
2710009,California Water Service Company King City,2015,4,"14,778", 112 , 87 ,,49,3
3610055,Yucaipa Valley Water District,2015,4,"44,023", 236 , 206 ,,204,4
3610039,"San Bernardino, City of",2015,4,"198,163", 191 , 173 ,,97,4
3410020,"Sacramento, City of",2015,4,"480,155", 196 , 151 ,,86,5
1510033,California Water Service Company Kern River Valley,2015,4,"5,587", 129 , 106 ,,95,7
4310001,California Water Service Company Los Altos/Suburban,2015,4,"68,103", 195 , 145 ,,109,2
1610003,"Hanford, City of",2015,4,"57,050", 214 , 161 ,,112,7
0110003,California Water Service Company Livermore,2015,4,"57,450", 179 , 98 ,,76,2
1510022,West Kern Water District,2015,4,"21,181", 772 , 463 ,,102,7
4010007,"Paso Robles, City of",2015,4,"30,450", 210 , 170 ,,104,3
5810001,California Water Service Company Marysville,2015,4,"12,136", 141 , 118 ,,81,5
2010002,"Madera, City of",2015,4,"63,008", 150 , 140 ,,119,6
3310016,"Hemet, City of",2015,4,"29,982", 137 , 126 ,,101,4
4110008,California Water Service Company Mid Peninsula,2015,4,"132,527", 92 , 88 ,,63,2
1910104,California Water Service Company Palos Verdes,2015,4,"69,879", 268 , 252 ,,206,4
3610014,"Colton, City of",2015,4,"47,612", 192 , 187 ,,101,4
4910018,California Water Service Company Redwood Valley,2015,4,"3,607", 105 , 66 ,,64,1
3010002,"Brea, City of",2015,4,"42,397", 264 , 231 ,,102,4
2710010,California Water Service Company Salinas District,2015,4,"120,955", 147 , 113 ,,56,3
1510021,"Wasco, City of",2015,4,"26,159", 139 , 124 ,,88,7
4110009,California Water Service Company South San Francisco,2015,4,"60,935", 121 , 105 ,,44,2
5410015,"Tulare, City of",2015,4,"62,363", 268 , 222 ,,111,7
3910001,California Water Service Company Stockton,2015,4,"170,209", 135 , 112 ,,65,6
1110003,California Water Service Company Willows,2015,4,"7,148", 186 , 125 ,,95,5
5610016,California Water Service Company Westlake,2015,4,"19,459", 369 , 339 ,,244,4
4110024,"East Palo Alto, City of",2015,4,"29,143", 41 , 33 ,,33,2
3310006,"Banning, City of",2015,4,"30,325", 248 , 206 ,,116,10
4810001,"Benicia, City of",2015,4,"28,086", 211 , 136 ,,73,2
4110027,Westborough Water District,2015,4,"14,050", 65 , 66 ,,54,2
5710006,"Woodland, City of",2015,4,"57,223", 195 , 130 ,,65,5
4310007,"Mountain View, City of",2015,4,"76,210", 147 , 107 ,,59,2
2610001,Mammoth Community Water District,2015,4,"16,739", 67 , 59 ,,35,9
0710001,"Antioch, City of",2015,4,"106,455", 150 , 123 ,,102,6
4110021,Estero Municipal Improvement District,2015,4,"37,165", 121 , 123 ,,74,2
3010068,East Orange County Water District,2015,4,"3,247", 277 , 232 ,,228,4
5610043,Triunfo Sanitation District / Oak Park Water Service,2015,4,"12,200", 183 , 167 ,,149,4
3710002,Vallecitos Water District,2015,4,"94,669", 167 , 147 ,,95,4
3310020,"Indio, City of",2015,4,"81,393", 235 , 224 ,,162,10
4310014,"Sunnyvale, City of",2015,4,"147,055", 133 , 98 ,,60,2
4410010,"Santa Cruz, City of",2015,4,"94,887", 93 , 72 ,,40,3
1210006,"Fortuna, City of",2015,4,"11,926", 104 , 79 ,,79,1
1010003,"Clovis, City of",2015,4,"108,227", 216 , 181 ,,136,7
1510006,East Niles Community Service District,2015,4,"26,000", 337 , 288 ,,225,7
3610013,"Loma Linda, City of",2015,4,"23,614", 204 , 194 ,,144,4
3310009,Eastern Municipal Water District,2015,4,"535,749", 143 , 145 ,,103,4
0710006,"Martinez, City of",2015,4,"35,375", 78 , 70 ,,32,2
2710017,Marina Coast Water District,2015,4,"31,405", 134 , 105 ,,72,3
4810008,"Vacaville, City of",2015,4,"86,893", 182 , 138 ,,128,5
0710008,"Pittsburg, City of",2015,4,"66,183", 130 , 115 ,,88,2
4110023,"San Bruno, City of",2015,4,"43,798", 84 , 57 ,,40,2
2810005,"American Canyon, City of",2015,4,"20,080", 154 , 138 ,,79,2
1510015,Oildale Mutual Water Company,2015,4,"33,163", 270 , 224 ,,172,7
0110011,"Livermore, City of",2015,4,"27,033", 217 , 147 ,,95,2
4310004,"Gilroy, City of",2015,4,"53,000", 154 , 118 ,,77,3
1910028,Crescenta Valley Water District,2015,4,"31,966", 125 , 109 ,,96,4
1910034,"Downey, City of",2015,4,"111,931", 138 , 119 ,,89,4
1910039,San Gabriel Valley Water Company,2015,4,"271,817", 119 , 108 ,,65,4
4310012,"Santa Clara, City of",2015,4,"118,459", 157 , 140 ,,69,2
0410007,Paradise Irrigation District,2015,4,"26,032", 186 , 137 ,,119,5
4410013,Scotts Valley Water District,2015,4,"10,509", 113 , 95 ,,69,3
3110004,"Lincoln, City of",2015,4,"45,206", 185 , 147 ,,106,5
1510029,Vaughn Water Company,2015,4,"30,455", 366 , 323 ,,310,7
1210016,McKinleyville Community Service District,2015,4,"16,900", 78 , 66 ,,52,1
4010014,Cambria Community Services District,2015,4,"6,032", 107 , 69 ,,45,3
1910091,Montebello Land and Water Company,2015,4,"32,219", 97 , 84 ,,67,4
1210009,Humboldt Community Service District,2015,4,"20,032", 93 , 91 ,,80,1
4910014,"Rohnert Park, City of",2015,4,"43,398", 110 , 81 ,,66,1
4910013,Valley of the Moon Water District,2015,4,"23,478", 122 , 85 ,,59,2
5610009,"Port Hueneme, City of",2015,4,"21,555", 85 , 78 ,,53,4
4910006,"Petaluma, City of",2015,4,"61,258", 136 , 112 ,,72,2
1210004,"Eureka, City of",2015,4,"27,052", 100 , 97 ,,58,1
0710007,Diablo Water District,2015,4,"38,194", 139 , 111 ,,90,6
3010079,El Toro Water District,2015,4,"48,628", 184 , 157 ,,98,4
0710004,"Brentwood, City of",2015,4,"56,493", 178 , 146 ,,118,6
3010069,"Fountain Valley, City of",2015,4,"56,916", 160 , 146 ,,88,4
3910011,"Tracy, City of",2015,4,"85,146", 171 , 153 ,,70,6
4110017,"Menlo Park, City of",2015,4,"16,066", 180 , 163 ,,69,2
5010017,"Patterson, City of",2015,4,"20,922", 176 , 142 ,,108,6
3010062,"Garden Grove, City of",2015,4,"177,020", 136 , 133 ,,123,4
2410009,"Merced, City of",2015,4,"83,400", 257 , 188 ,,135,6
3610041,San Gabriel Valley Fontana Water Company,2015,4,"209,035", 182 , 174 ,,114,4
3610024,"Hesperia Water District, City of",2015,4,"91,627", 142 , 128 ,,106,9
3010073,Moulton Niguel Water District,2015,4,"172,068", 154 , 143 ,,115,4
5610007,"Oxnard, City of",2015,4,"196,720", 124 , 109 ,,57,4
1510020,"Tehachapi, City of",2015,4,"8,839", 247 , 189 ,,87,7
3010018,"La Habra, City of Public Works",2015,4,"63,118", 145 , 118 ,,69,4
3610005,Lake Arrowhead Community Services District,2015,4,"22,675", 35 , 35 ,,30,9
3610044,"City of Big Bear Lake, Dept of Water & Power",2015,4,"25,598", 67 , 59 ,,43,4
1910019,"Cerritos, City of",2015,4,"49,041", 156 , 128 ,,112,4
1010007,"Fresno, City of",2015,4,"520,159", 232 , 188 ,,108,7
3510001,"Hollister, City of",2015,4,"23,021", 110 , 105 ,,76,3
3510003,Sunnyslope County Water District,2015,4,"19,189", 114 , 94 ,,87,3
3010017,Laguna Beach County Water District,2015,4,"19,121", 157 , 154 ,,94,4
1910186,California-American Water Company Los Angeles District,2015,4,"102,889", 193 , 164 ,,126,4
3710001,California-American Water Company San Diego District,2015,4,"95,358", 110 , 97 ,,65,4
5610040,California-American Water Ventura District,2015,4,"62,144", 235 , 222 ,,147,4
3910012,"Stockton, City of",2015,4,"177,808", 173 , 129 ,,92,6
1910063,Lincoln Avenue Water Company,2015,4,"16,126", 136 , 109 ,,95,4
1910173,"Whittier, City of",2015,4,"49,954", 194 , 152 ,,119,4
4010009,"San Luis Obispo, City of",2015,4,"45,473", 112 , 98 ,,59,3
1010018,"Kerman, City of",2015,4,"14,339", 219 , 191 ,,133,7
3010100,"La Palma, City of",2015,4,"15,896", 121 , 108 ,,81,4
3010101,Santa Margarita Water District,2015,4,"154,326", 163 , 160 ,,108,4
3010004,Mesa Water District,2015,4,"108,000", 152 , 140 ,,86,4
2710004,California-American Water Company Monterey District,2015,4,"109,817", 99 , 85 ,,56,3
4010001,"Arroyo Grande, City of",2015,4,"17,003", 170 , 133 ,,106,3
4810005,Suisun-Solano Water Authority,2015,4,"28,549", 126 , 100 ,,100,2
5710001,"Davis, City of",2015,4,"68,315", 148 , 117 ,,86,5
5810002,Linda County Water District,2015,4,"18,808", 163 , 139 ,,125,5
5010028,"Ceres, City of",2015,4,"46,463", 136 , 135 ,,108,6
3010023,"Newport Beach, City of",2015,4,"65,551", 224 , 216 ,,100,4
5610023,Ventura County Waterworks District No. 8,2015,4,"90,687", 212 , 185 ,,122,4
1210001,"Arcata, City of",2015,4,"18,464", 94 , 88 ,,47,1
0810001,"Crescent City, City of",2015,4,"18,290", 97 , 78 ,,49,1
3610015,Crestline Village Water District,2015,4,"7,468", 77 , 70 ,,48,9
3010042,South Coast Water District,2015,4,"34,992", 169 , 151 ,,100,4
1010001,Bakman Water Company,2015,4,"13,960", 231 , 183 ,,161,7
3010027,"Orange, City of",2015,4,"139,463", 199 , 184 ,,120,4
3410009,Fair Oaks Water District,2015,4,"36,226", 252 , 182 ,,136,5
3010046,"Tustin, City of",2015,4,"67,700", 163 , 144 ,,129,4
4210004,Goleta Water District,2015,4,"86,946", 147 , 135 ,,55,3
3610001,"Adelanto, City of",2015,4,"32,543", 118 , 114 ,,86,9
3010041,"Seal Beach, City of",2015,4,"24,168", 143 , 132 ,,58,4
3010036,"San Clemente, City of",2015,4,"50,960", 166 , 162 ,,99,4
1910007,"Azusa, City of",2015,4,"110,000", 170 , 143 ,,77,4
1910001,"Alhambra, City of",2015,4,"85,068", 118 , 98 ,,98,4
3610003,Apple Valley Ranchos Water Company,2015,4,"62,602", 184 , 159 ,,100,9
5610020,"Thousand Oaks, City of",2015,4,"51,609", 214 , 184 ,,120,4
1910156,"Beverly Hills, City of",2015,4,"42,157", 250 , 237 ,,178,4
3010047,Golden State Water Company Cowan Heights,2015,4,"7,254", 363 , 314 ,,306,4
3610052,Victorville Water District,2015,4,"116,179", 185 , 169 ,,127,9
1910126,"Pomona, City of",2015,4,"151,713", 130 , 120 ,,78,4
1910234,Walnut Valley Water District,2015,4,"113,236", 163 , 142 ,,119,4
3410013,California-American Water Company Sacramento District,2015,4,"201,418", 148 , 103 ,,80,5
4310022,Great Oaks Water Company Incorporated,2015,4,"99,199", 113 , 84 ,,65,2
3710005,Carlsbad Municipal Water District,2015,4,"84,838", 189 , 170 ,,111,4
3010035,Golden State Water Company Placentia,2015,4,"46,543", 144 , 128 ,,94,4
1910049,"Huntington Park, City of",2015,4,"64,219", 66 , 60 ,,60,4
3710010,Helix Water District,2015,4,"270,375", 112 , 103 ,,82,4
1910083,"Manhattan Beach, City of",2015,4,"36,051", 135 , 118 ,,83,4
3710013,Lakeside Water District,2015,4,"35,500", 109 , 93 ,,83,4
4210001,Carpinteria Valley Water District,2015,4,"14,616", 266 , 275 ,,80,3
1910239,"Lakewood, City of",2015,4,"59,081", 129 , 106 ,,78,4
1910079,"Lynwood, City of",2015,4,"71,297", 71 , 66 ,,66,4
1910225,Las Virgenes Municipal Water District,2015,4,"75,384", 260 , 228 ,,202,4
3610036,"Chino Hills, City of",2015,4,"76,131", 148 , 162 ,,126,4
3910004,"Lodi, City of Public Works Department",2015,4,"63,651", 202 , 165 ,,120,6
1910212,Golden State Water Company S Arcadia,2015,4,"26,827", 117 , 100 ,,89,4
1910073,"Lomita, City of",2015,4,"20,463", 109 , 90 ,,81,4
1910142,Golden State Water Company San Dimas,2015,4,"54,872", 198 , 176 ,,121,4
3710019,Ramona Municipal Water District,2015,4,"33,600", 131 , 121 ,,121,4
1910090,"Monrovia, City of",2015,4,"37,406", 184 , 150 ,,126,4
4110025,North Coast County Water District,2015,4,"39,000", 64 , 62 ,,51,2
3110001,North Tahoe Public Utility District,2015,4,"7,500", 117 , 92 ,,64,8
3710021,San Dieguito Water District,2015,4,"37,168", 204 , 155 ,,118,4
1910102,Palmdale Water District,2015,4,"116,183", 152 , 138 ,,110,9
5810003,Olivehurst Public Utility District,2015,4,"19,509", 175 , 133 ,,118,5
3610049,Twentynine Palms Water District,2015,4,"18,795", 162 , 118 ,,100,10
1910101,Orchard Dale Water District,2015,4,"25,605", 71 , 72 ,,65,4
4710011,"Yreka, City of",2015,4,"7,840", 213 , 184 ,,77,1
3310044,Rubidoux Community Service District,2015,4,"29,900", 163 , 155 ,,118,4
1910130,Quartz Hill Water District,2015,4,"20,352", 197 , 257 ,,252,9
1910042,"Pico Rivera, City of",2015,4,"39,002", 102 , 108 ,,72,4
3710018,Rincon Del Diablo Municipal Water District,2015,4,"29,955", 210 , 186 ,,136,4
1910143,"San Fernando, City of",2015,4,"23,645", 127 , 106 ,,89,4
3610057,Riverside Highland Water Company,2015,4,"14,730", 240 , 198 ,,160,4
1910140,Rubio Canyon Land and Water Association,2015,4,"9,600", 201 , 174 ,,139,4
1910245,"Santa Fe Springs, City of",2015,4,"18,199", 329 , 289 ,,78,4
3610121,San Bernardino County Service Area 64,2015,4,"12,514", 222 , 184 ,,149,9
1910009,Valley County Water District,2015,4,"71,003", 101 , 86 ,,60,4
3310032,"San Jacinto, City of",2015,4,"15,582", 165 , 149 ,,119,4
1910144,San Gabriel County Water District,2015,4,"45,000", 128 , 110 ,,82,4
3010038,"Santa Ana, City of",2015,4,"332,005", 106 , 97 ,,65,4
3010030,"San Juan Capistrano, City of",2015,4,"39,047", 200 , 174 ,,101,4
3010082,Serrano Water District,2015,4,"6,641", 442 , 375 ,,345,4
1910157,Sunny Slope Water Company,2015,4,"30,611", 120 , 98 ,,83,4
4910012,"Sonoma, City of",2015,4,"11,579", 185 , 163 ,,121,2
3710025,Sweetwater Authority,2015,4,"189,970", 101 , 90 ,,64,4
1910205,Suburban Water Systems San Jose Hills,2015,4,"178,500", 144 , 127 ,,92,4
1910003,"Arcadia, City of",2015,4,"57,639", 259 , 221 ,,137,4
1910059,Suburban Water Systems Whittier/La Mirada,2015,4,"115,000", 178 , 161 ,,109,4
1910004,Golden State Water Company Artesia,2015,4,"47,978", 105 , 98 ,,68,4
1910024,Golden State Water Company Claremont,2015,4,"37,160", 267 , 234 ,,152,4
1910011,Golden State Water Company Bell-Bell Gardens,2015,4,"57,934", 81 , 73 ,,56,4
1910077,Golden State Water Company Florence Graham,2015,4,"65,492", 71 , 65 ,,52,4
3610043,Golden State Water Company Barstow,2015,4,"31,209", 186 , 159 ,,90,9
1910098,Golden State Water Company Norwalk,2015,4,"44,466", 99 , 89 ,,64,4
3610050,"Upland, City of",2015,4,"75,670", 243 , 217 ,,158,4
5610014,Golden State Water Company Ojai,2015,4,"7,188", 260 , 224 ,,196,4
5610059,Golden State Water Company Simi Valley,2015,4,"43,351", 150 , 118 ,,88,4
1910155,Golden State Water Company Southwest,2015,4,"271,677", 99 , 92 ,,67,4
3010022,Golden State Water Company West Orange,2015,4,"111,904", 133 , 115 ,,86,4
3310007,"Coachella, City of",2015,4,"45,591", 147 , 143 ,,100,10
1910026,"Compton, City of",2015,4,"81,963", 79 , 79 ,,57,4
1910166,Valley Water Company,2015,4,"9,900", 320 , 282 ,,245,4
3610018,Cucamonga Valley Water District,2015,4,"195,598", 237 , 215 ,,123,4
3310005,Desert Water Agency,2015,4,"120,346", 234 , 217 ,,143,10
1910062,"La Verne, City of",2015,4,"32,228", 229 , 202 ,,144,4
3010010,"Fullerton, City of",2015,4,"138,000", 192 , 175 ,,106,4
0910013,Georgetown Divide Public Utilities District,2015,4,"9,863", 145 , 110 ,,68,5
1910191,"Norwalk, City of",2015,4,"18,361", 100 , 121 ,,109,4
1910044,"Glendora, City of",2015,4,"50,073", 215 , 158 ,,134,4
3710023,Santa Fe Irrigation District,2015,4,"19,839", 466 , 508 ,,427,4
1510018,Rosamond Community Service District,2015,4,"17,700", 140 , 130 ,,105,9
1910211,Park Water Company,2015,4,"125,784", 87 , 71 ,,49,4
3710015,"Poway, City of",2015,4,"48,774", 227 , 198 ,,145,4
3410018,Rio Linda - Elverta Community Water District,2015,4,"11,013", 202 , 153 ,,141,5
3710037,Padre Dam Municipal Water District,2015,4,"89,171", 118 , 105 ,,82,4
4110018,"Millbrae, City of",2015,4,"21,532", 85 , 85 ,,61,2
5510009,Groveland Community Services District,2015,4,"3,140", 116 , 89 ,,83,6
1910105,"Paramount, City of",2015,4,"55,051", 100 , 102 ,,64,4
1910124,"Pasadena, City of",2015,4,"165,740", 177 , 150 ,,99,4
1910125,Pico Water District,2015,4,"25,284", 117 , 104 ,,93,4
1510032,"California City, City of",2015,4,"14,120", 262 , 235 ,,130,9
4310009,"Palo Alto, City of",2015,4,"64,403", 209 , 157 ,,82,2
3610038,"Rialto, City of",2015,4,"54,036", 173 , 144 ,,103,4
5610011,"Santa Paula, City of",2015,4,"30,009", 149 , 122 ,,100,4
1910154,"South Pasadena, City of",2015,4,"25,899", 157 , 123 ,,97,4
5710003,"West Sacramento, City of",2015,4,"50,836", 231 , 179 ,,100,5
3710008,Fallbrook Public Utility District,2015,4,"34,894", 350 , 324 ,,123,4
4310006,"Morgan Hill, City of",2015,4,"40,807", 199 , 121 ,,85,3
3710026,Valley Center Municipal Water District,2015,4,"25,378"," 1,036 ", 948 ,,179,4
3310002,Beaumont-Cherry Valley Water District,2015,4,"43,111", 257 , 232 ,,128,4
4110022,"Redwood City, City of",2015,4,"87,696", 123 , 86 ,,58,2
1610005,"Lemoore, City of",2015,4,"25,281", 278 , 241 ,,138,7
1010027,"Reedley, City of",2015,4,"24,194", 205 , 145 ,,68,7
3410015,Golden State Water Company Cordova,2015,4,"43,767", 293 , 235 ,,123,5
0710002,Golden State Water Company Bay Point,2015,4,"22,258", 78 , 67 ,,56,2
1910043,"Glendale, City of",2015,4,"193,300", 124 , 112 ,,90,4
3410023,Fruitridge Vista Water Company,2015,4,"21,441", 169 , 102 ,,101,5
1910030,Golden State Water Company Culver City,2015,4,"36,215", 144 , 128 ,,71,4
1910223,Golden State Water Company S San Gabriel,2015,4,"27,656", 88 , 78 ,,61,4
3410011,"Galt, City of",2015,4,"24,289", 198 , 131 ,,105,6
4210016,Golden State Water Company Orcutt,2015,4,"31,872", 237 , 178 ,,149,3
1910051,"Inglewood, City of",2015,4,"86,418", 108 , 92 ,,62,4
1810001,"Susanville, City of",2015,4,"8,978", 264 , 117 ,,88,8
