SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016
040,4,8,08,Colorado,5029196,5029324,5048644,5118360,5189867,5267603,5349648,5448819,5540545,19320,69716,71507,77736,82045,99171,91726,16793,65911,64733,64738,65713,66427,67453,7855,32009,32714,33597,33943,36381,37121,8938,33902,32019,31141,31770,30046,30332,2031,8238,10445,9364,10391,11505,10557,7797,25703,28485,36296,39052,56122,50216,9828,33941,38930,45660,49443,67627,60773,554,1873,558,935,832,1498,621,12.965668156,12.559482829,12.381197364,12.378533765,12.303042645,12.276051644,6.2966435343,6.3471632901,6.4254547228,6.393933797,6.7381786692,6.7558049765,6.6690246212,6.2123195386,5.9557426414,5.9845999685,5.5648639756,5.5202466676,1.620536394,2.0265366682,1.7908729358,1.9573804933,2.130858019,1.9213122798,5.0561601038,5.5266536137,6.9416407601,7.356329807,10.394438396,9.1390184182,6.6766964978,7.5531902819,8.732513696,9.3137103003,12.525296415,11.060330698
040,1,1,09,Connecticut,3574097,3574114,3579899,3589893,3593795,3596003,3591873,3584730,3576452,5785,9994,3902,2208,-4130,-7143,-8278,9495,37644,36847,36138,36155,36150,35848,6833,29324,29093,29789,29681,30025,30638,2662,8320,7754,6349,6474,6125,5210,3549,16004,15316,14804,16740,17439,17058,-265,-13242,-19031,-17204,-27123,-28939,-29880,3284,2762,-3715,-2400,-10383,-11500,-12822,-161,-1088,-137,-1741,-221,-1768,-666,10.500723034,10.258519023,10.052577277,10.05999547,10.074404283,10.011755043,8.1798746742,8.0997392983,8.2864636809,8.2586288356,8.3674685642,8.5566879881,2.3208483593,2.1587797243,1.766113596,1.8013666346,1.7069357188,1.4550670546,4.4642857143,4.2641050112,4.1180572806,4.6578432906,4.8599595101,4.7640180071,-3.693831007,-5.298392692,-4.785669917,-7.546874765,-8.064818411,-8.344991092,0.7704547078,-1.034287681,-0.667612637,-2.889031475,-3.204858901,-3.580973085
040,3,5,10,Delaware,897934,897936,899816,907924,916993,925395,934948,944076,952065,1880,8108,9069,8402,9553,9128,7989,2845,11303,11157,10889,10979,10882,10922,1843,7873,7694,8094,8078,8569,8945,1002,3430,3463,2795,2901,2313,1977,561,2175,2424,2239,2522,2658,2556,273,2632,3261,3417,3887,3989,3027,834,4807,5685,5656,6409,6647,5583,44,-129,-79,-49,243,168,429,12.505116886,12.227405411,11.820528575,11.803199733,11.582608844,11.52024032,8.7103233872,8.4321643121,8.7864228382,8.6844200236,9.1206924446,9.4349523585,3.7947934991,3.7952410986,3.0341057367,3.1187797089,2.4619163992,2.0852879612,2.4063194928,2.656559175,2.4305412324,2.7113279648,2.8291283134,2.6960020378,2.9119231748,3.5738611674,3.7093163872,4.1787992859,4.2458212349,3.1928005354,5.3182426676,6.2304203424,6.1398576196,6.8901272507,7.0749495483,5.8888025732
040,3,5,11,District of Columbia,601723,601766,605183,620477,635327,649165,659005,670377,681170,3417,15294,14850,13838,9840,11372,10793,2246,9196,9232,9446,9337,9657,9779,1180,4671,4543,4809,4649,5166,5455,1066,4525,4689,4637,4688,4491,4324,788,3299,3692,3643,4019,4237,4116,1428,7069,6305,6022,691,2885,2276,2216,10368,9997,9665,4710,7122,6392,135,401,164,-464,442,-241,77,15.005792797,14.702931349,14.707759955,14.274903109,14.528555374,14.470824914,7.6220158935,7.2352054939,7.4877850543,7.1076389154,7.7720324181,8.0722313024,7.3837769039,7.4677258553,7.2199749006,7.1672641935,6.7565229558,6.3985936116,5.3832221007,5.8798984555,5.6722813377,6.1444613468,6.3743905063,6.0907981742,11.535009709,10.041375883,9.3764694525,1.056437619,4.3403626648,3.3679923821,16.91823181,15.921274339,15.04875079,7.2008989657,10.714753171,9.4587905563
040,3,5,12,Florida,18801310,18804592,18849098,19096952,19344156,19582022,19888741,20244914,20612439,44506,247854,247204,237866,306719,356173,367525,50876,213209,214037,212992,218344,221011,222793,41790,174530,173775,181652,181074,195790,201485,9086,38679,40262,31340,37270,25221,21308,23566,105659,107214,103303,116098,121235,118831,11864,101716,98825,97999,141388,207537,207155,35430,207375,206039,201302,257486,328772,325986,-10,1800,903,5224,11963,2180,20231,11.237480581,11.135839269,10.943381084,11.063581416,11.013748935,10.905894956,9.1988494191,9.0411025614,9.3331536428,9.1750949937,9.7568985431,9.8628513697,2.0386311619,2.0947367074,1.6102274413,1.8884864222,1.2568503915,1.0430435863,5.5689063816,5.5780910373,5.3076364189,5.8827340125,6.0415628729,5.8168721797,5.3610850141,5.1416311934,5.0351205813,7.1641888453,10.342292522,10.14040239,10.929991396,10.719722231,10.342757,13.046922858,16.383855395,15.957274569
040,3,5,13,Georgia,9687653,9688680,9713521,9811610,9914668,9984938,10087231,10199398,10310371,24841,98089,103058,70270,102293,112167,110973,32491,132623,131876,128652,129544,131318,130862,17202,71119,70427,74854,74855,78843,81525,15289,61504,61449,53798,54689,52475,49337,5488,21072,24082,21159,23558,25469,23831,3603,11328,16868,-5905,22868,33156,36781,9091,32400,40950,15254,46426,58625,60612,461,4185,659,1218,1178,1067,1024,13.584851236,13.370591249,12.930105249,12.907822767,12.946261303,12.760943334,7.2848678967,7.1404245646,7.5231640265,7.4585860651,7.7729030289,7.9498701326,6.2999833394,6.2301666843,5.4069412229,5.4492367018,5.1733582746,4.8110732013,2.1584490265,2.4416162035,2.1265747674,2.3473297779,2.510914948,2.3238682015,1.1603507295,1.710206051,-0.593479087,2.2785778657,3.2687540153,3.5866810592,3.3187997561,4.1518222546,1.5330956804,4.6259076436,5.7796689632,5.9105492607
040,4,9,15,Hawaii,1360301,1360301,1363945,1377864,1391820,1406481,1416349,1425157,1428557,3644,13919,13956,14661,9868,8808,3400,4645,19157,18895,19037,18954,18307,18507,2531,10073,10244,10342,10754,11864,12237,2114,9084,8651,8695,8200,6443,6270,1963,6443,8998,7434,7677,8596,7438,-420,-941,-3556,-1443,-5359,-6759,-10021,1543,5502,5442,5991,2318,1837,-2583,-13,-667,-137,-25,-650,528,-287,13.973985788,13.644155795,13.606113138,13.429076494,12.885420619,12.970465856,7.3477036511,7.3972337639,7.3916279914,7.6193040318,8.3505014594,8.5761922884,6.6262821371,6.2469220315,6.2144851465,5.8097724624,4.5349191591,4.3942735677,4.6998167998,6.4974921327,5.3132239884,5.4392223407,6.0503127567,5.2128559484,-0.686408134,-2.567801959,-1.031340088,-3.796898857,-4.757336427,-7.023128456,4.0134086656,3.929690174,4.2818839003,1.6423234839,1.2929763302,-1.810272508
040,4,8,16,Idaho,1567582,1567650,1571010,1584143,1595911,1612011,1633532,1652828,1683140,3360,13133,11768,16100,21521,19296,30312,5973,22957,22366,22705,22430,23001,22792,2567,11885,11902,12301,12546,12348,12496,3406,11072,10464,10404,9884,10653,10296,372,1313,1600,1458,1669,1848,1726,-371,152,-307,4786,8916,6748,17143,1,1465,1293,6244,10585,8596,18869,-47,596,11,-548,1052,47,1147,14.552067681,14.066427803,14.15558109,13.822032245,13.997857812,13.664399659,7.5337075571,7.4854074805,7.6691390875,7.7312178578,7.5146971117,7.4916785773,7.0183601239,6.5810203223,6.486442002,6.0908143876,6.4831607006,6.1727210813,0.8322892741,1.0062722205,0.9089996577,1.0284873748,1.1246485473,1.0347821082,0.0963503196,-0.193078482,2.983863074,5.4943040348,4.1066712107,10.277676524,0.9286395937,0.8131937382,3.8928627317,6.5227914096,5.231319758,11.312458633
040,2,3,17,Illinois,12830632,12831574,12841578,12860012,12870798,12879505,12867544,12839047,12801539,10004,18434,10786,8707,-11961,-28497,-37508,41842,162419,160143,157488,157517,157493,155238,24054,101617,101298,104312,102715,107022,108040,17788,60802,58845,53176,54802,50471,47198,5864,26317,26875,26501,30024,32005,30934,-13461,-67239,-74709,-68697,-96297,-105619,-114144,-7597,-40922,-47834,-42196,-66273,-73614,-83210,-187,-1446,-225,-2273,-490,-5354,-1496,12.63882896,12.447567721,12.231933737,12.235732336,12.253122166,12.108771617,7.9074485275,7.8736736232,8.1018075787,7.9787784612,8.3264249235,8.4272644939,4.7313804321,4.5738940982,4.1301261581,4.2569538746,3.9266972427,3.6815071231,2.047888866,2.0889354047,2.058305877,2.332228443,2.4900228895,2.4128933715,-5.232283295,-5.806968378,-5.335626536,-7.48023589,-8.217270038,-8.903384657,-3.184394429,-3.718032973,-3.277320659,-5.148007447,-5.727247148,-6.490491286
040,2,3,18,Indiana,6483802,6484136,6490528,6516480,6537743,6569102,6595233,6612768,6633053,6392,25952,21263,31359,26131,17535,20285,20958,83463,83073,83364,83532,83662,83267,13865,57897,58632,60721,59872,60852,60909,7093,25566,24441,22643,23660,22810,22358,2255,9263,9599,9519,10725,11258,11052,-2976,-8511,-12698,-247,-6723,-15870,-12135,-721,752,-3099,9272,4002,-4612,-1083,20,-366,-79,-556,-1531,-663,-990,12.833543271,12.727375655,12.720681445,12.690652433,12.668381839,12.572569114,8.9024316738,8.9828402656,9.2655402578,9.0960918269,9.2144148081,9.196711929,3.9311115977,3.744535389,3.4551411877,3.5945606064,3.453967031,3.3758571854,1.4243091109,1.4706352113,1.4525234715,1.6294024727,1.7047242804,1.6687527334,-1.308679137,-1.945424098,-0.03769023,-1.021396067,-2.403088855,-1.832276006,0.1156299742,-0.474788886,1.4148332417,0.6080064052,-0.698364575,-0.163523273
040,2,4,19,Iowa,3046355,3046869,3050738,3065223,3076310,3091930,3108030,3121997,3134693,3869,14485,11087,15620,16100,13967,12696,9966,37851,38469,38805,39458,39563,39349,6868,28208,28048,29141,28926,28486,28739,3098,9643,10421,9664,10532,11077,10610,1009,4811,4984,5580,6165,6441,6336,-145,237,-4316,617,5,-3689,-3392,864,5048,668,6197,6170,2752,2944,-93,-206,-2,-241,-602,138,-858,12.377776771,12.5274911,12.582195245,12.728469216,12.700747525,12.578216277,9.2243884485,9.133875858,9.4487244335,9.3310279421,9.1447436745,9.1866466135,3.1533883228,3.3936152423,3.1334708118,3.3974412738,3.5560038504,3.3915696638,1.5732605228,1.6230475355,1.8092681219,1.9887225079,2.0677277964,2.0253520632,0.0775021293,-1.405512272,0.2000570665,0.0016129136,-1.18426453,-1.084279387,1.650762652,0.2175352636,2.0093251884,1.9903354215,0.8834632659,0.9410726758
040,2,4,20,Kansas,2853118,2853129,2858850,2869503,2885262,2892821,2899360,2906721,2907289,5721,10653,15759,7559,6539,7361,568,9987,40115,39579,39724,39292,38717,38702,5988,25183,24965,25593,25505,25018,25128,3999,14932,14614,14131,13787,13699,13574,1320,4703,6358,5356,5864,6415,5851,511,-9071,-5234,-12072,-13027,-13011,-18595,1831,-4368,1124,-6716,-7163,-6596,-12744,-109,89,21,144,-85,258,-262,14.005770943,13.755209813,13.74988902,13.567255581,13.336706808,13.313358594,8.792405077,8.6762882585,8.8586474095,8.8066999287,8.61786117,8.6439479808,5.2133658662,5.0789215546,4.8912416108,4.7605556525,4.7188456379,4.6694106133,1.6420077464,2.2096471359,1.8539020641,2.0247986035,2.2097521547,2.0127244363,-3.167053427,-1.81901433,-4.178548491,-4.498132914,-4.481852733,-6.396617825,-1.525045681,0.390632806,-2.324646427,-2.473334311,-2.272100579,-4.383893389
040,3,6,21,Kentucky,4339367,4339344,4348662,4369354,4384799,4400477,4413057,4424611,4436974,9318,20692,15445,15678,12580,11554,12363,13693,55309,55286,56049,55747,55686,55198,10535,42424,42795,44425,43684,44681,44883,3158,12885,12491,11624,12063,11005,10315,1393,5104,6726,6215,6711,7168,6734,4721,2955,-3858,-2217,-5171,-6917,-3429,6114,8059,2868,3998,1540,251,3305,46,-252,86,56,-1023,298,-1257,12.688437369,12.630805059,12.759758487,12.650317115,12.601966944,12.457816519,9.732489594,9.7770738071,10.113512655,9.9129361729,10.11149095,10.129790551,2.9559477753,2.8537312519,2.6462458322,2.7373809416,2.4904759943,2.3280259683,1.1709086104,1.5366420943,1.4148673303,1.5228851446,1.622147381,1.5198184072,0.6779065329,-0.881410229,-0.504708105,-1.173422602,-1.565345066,-0.773902186,1.8488151433,0.6552318654,0.9101592255,0.3494625425,0.0568023148,0.7459162215
040,3,7,22,Louisiana,4533372,4533479,4544996,4575404,4603429,4626402,4647880,4668960,4681666,11517,30408,28025,22973,21478,21080,12706,14576,62303,62265,62531,64213,63995,63570,9178,40758,40744,43787,43576,44002,45030,5398,21545,21521,18744,20637,19993,18540,1818,6641,7278,6513,7175,7660,7223,4142,2206,-1040,-2451,-5726,-7238,-12243,5960,8847,6238,4062,1449,422,-5020,159,16,266,167,-608,665,-814,13.662339371,13.567084182,13.549760554,13.847540974,13.737490394,13.596950621,8.9377658875,8.8778170384,9.4881477245,9.397169506,9.4456918869,9.6314407185,4.7245734836,4.6892671432,4.0616128291,4.4503714681,4.2917985068,3.9655099028,1.4562957765,1.5858225114,1.4112934462,1.5472895907,1.6443343451,1.5449233025,0.4837507127,-0.226608328,-0.531103982,-1.234812571,-1.553745691,-2.618648206,1.9400464892,1.3592141833,0.8801894639,0.3124770198,0.0905886545,-1.073724904
040,1,1,23,Maine,1328361,1328364,1327730,1328231,1328895,1329076,1330719,1329453,1331479,-634,501,664,181,1643,-1266,2026,3441,12626,12802,12868,12703,12602,12542,3099,13031,12750,13407,13353,13656,13842,342,-405,52,-539,-650,-1054,-1300,256,1245,1305,1565,1736,1823,1785,-1245,33,-586,-1269,674,-1738,2169,-989,1278,719,296,2410,85,3954,13,-372,-107,424,-117,-297,-628,9.5076697286,9.6359751099,9.6825736624,9.5518639594,9.4745753282,9.4267722738,9.8126440863,9.5968350767,10.088146184,10.040623432,10.267005291,10.40387353,-0.304974358,0.0391400333,-0.405572521,-0.488759472,-0.792429963,-0.977101256,0.9375137662,0.9822642961,1.1775899737,1.3053637592,1.3705880672,1.3416351865,0.0248497625,-0.441078067,-0.954863691,0.5068059756,-1.306682425,1.6302558652,0.9623635287,0.541186229,0.2227262826,1.8121697349,0.0639056422,2.9718910517
