Crime Rate, Median Home Value
5.66637, 18.4
9.96654, 15.4
12.8023, 10.8
10.6718, 11.8
6.28807, 14.9
9.92485, 12.6
9.32909, 14.1
7.52601, 13
6.71772, 13.4
5.44114, 15.2
5.09017, 16.1
8.24809, 17.8
9.51363, 14.9
4.75237, 14.1
4.66883, 12.7
8.20058, 13.5
7.75223, 14.9
6.80117, 20
4.81213, 16.4
3.69311, 17.7
6.65492, 19.5
5.82115, 20.2
7.83932, 21.4
3.1636, 19.9
3.77498, 19
4.42228, 19.1
15.5757, 19.1
13.0751, 20.1
4.34879, 19.9
4.03841, 19.6
3.56868, 23.2
4.64689, 29.8
8.05579, 13.8
6.39312, 13.3
4.87141, 16.7
15.0234, 12
10.233, 14.6
14.3337, 21.4
5.82401, 23
5.70818, 23.7
5.73116, 25
2.81838, 21.8
2.37857, 20.6
3.67367, 21.2
5.69175, 19.1
4.83567, 20.6
0.15086, 15.2
0.18337, 7
0.20746, 8.1
0.10574, 13.6
0.11132, 20.1
0.17331, 21.8
0.27957, 24.5
0.17899, 23.1
0.2896, 19.7
0.26838, 18.3
0.23912, 21.2
0.17783, 17.5
0.22438, 16.8
0.06263, 22.4
0.04527, 20.6
0.06076, 23.9
0.10959, 22
0.04741, 11.9
