PlayerName,Salary
Alexis Ajinca,981084
Cole Aldrich,981084
Wesley Johnson,981084
Luke Babbitt,981084
Garrett Temple,981084
Jeff Adrien,981084
Ekpe Udoh,981084
Greg Stiemsma,981084
Ish Smith,981084
Jon Leuer,967500
Lavoy Allen,948163
Donald Sloan,948163
Joey Dorsey,948163
Chris Johnson,948163
E'Twaun Moore,948163
Greg Smith,948163
Jimmer Fredette,948163
Chris Douglas-Roberts,948163
Lance Thomas,948163
Draymond Green,915243
Khris Middleton,915243
Jae Crowder,915243
Patrick Beverley,915243
Henry Sims,915243
Quincy Acy,915243
Kyle O'Quinn,915243
Will Barton,915243
Jerome Jordan,915243
Kendall Marshall,915243
Robert Sacre,915243
Bernard James,915243
Jeffery Taylor,915243
Malcolm Lee,915243
Jerami Grant,884879
Joe Harris,884879
Devyn Marble,884879
Robbie Hummel,880000
Allen Crabbe,862000
Dante Cunningham,831942
Hollis Thompson,816482
Matthew Dellavedova,816482
Mike Muscala,816482
Dewayne Dedmon,816482
Justin Hamilton,816482
Isaiah Canaan,816482
Ray McCallum,816482
Justin Holiday,816482
Nick Calathes,816482
Phil Pressey,816482
Jeff Withey,816482
Ognjen Kuzmic,816482
Ian Clark,816482
Troy Daniels,816482
Brandon Davies,816482
Glen Rice,816482
Gal Mekel,816482
Nate Wolters,816482
Ricky Ledo,816482
Grant Jerrett,816481
Michael Beasley,777778
Hassan Whiteside,769881
Jarnell Stokes,725000
Darius Morris,702756
Spencer Dinwiddie,700000
Malcolm Thomas,635827
Dahntay Jones,613478
Johnny O'Bryant,600000
Tarik Black,507336
Jordan Clarkson,507336
Joe Ingles,507336
James Ennis,507336
Cory Jefferson,507336
K.J. McDaniels,507336
Dwight Powell,507336
JaKarr Sampson,507336
Markel Brown,507336
Shayne Whittington,507336
Glenn Robinson III,507336
Will Cherry,507336
Erick Green,507336
Alex Kirk,507336
Kalin Lucas,507336
Eric Moreland,507336
Cameron Bairstow,507336
Drew Gordon,507336
Nick Johnson,507336
Russ Smith,507336
Travis Wear,507336
Larry Drew,507336
Cleanthony Early,507336
Kenyon Martin,414551
Darius Miller,400000
Jared Cunningham,398400
Patrick Christopher,379010
Reggie Williams,344036
John Lucas III,336966
Miroslav Raduljica,300000
Lorenzo Brown,268959
Earl Barron,262057
Elijah Millsap,241731
Langston Galloway,235762
Tyler Johnson,199950
Henry Walker,196217
Quincy Miller,183049
James McAdoo,167122
Jamaal Franklin,163296
Jordan Hamilton,150591
Toney Douglas,143870
JaMychal Green,134295
Seth Curry,100000
Bryce Cotton,92514
Jack Cooley,65000
A.J. Price,62552
Earl Clark,62552
Dwight Buycks,62437
Lester Hudson,57726
Elliot Williams,57711
Jerel McNeal,53838
Tim Frazier,50734
Jorge Gutierrez,48028
Jabari Brown,44765
Arinze Onuaku,43226
Sean Kilpatrick,35000
Jerrelle Benimon,35000
Sim Bhullar,29843
David Stockton,29843
David Wear,29843
Andre Dawkins,29843
Vander Blue,14409
