Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Brandon Knight,23,TOT,63,244,330,90,10,189,1070
Kemba Walker,24,CHO,62,220,318,89,31,100,1075
Luis Scola,34,IND,81,526,105,47,18,94,763
Matt Barnes,34,LAC,76,302,114,67,50,87,764
David West,34,IND,66,449,223,48,48,120,769
Marvin Williams,28,CHO,78,386,100,69,36,60,577
Devin Harris,31,DAL,76,135,237,78,14,85,665
Roy Hibbert,28,IND,76,540,84,18,125,107,802
Zaza Pachulia,30,MIL,73,500,178,80,21,133,606
Steven Adams,21,OKC,70,523,66,38,86,99,537
Tony Allen,33,MEM,63,280,86,129,30,86,539
Jared Dudley,29,MIL,72,220,130,72,11,62,518
Mike Dunleavy,34,CHI,63,248,114,39,21,60,595
James Johnson,27,TOR,70,257,95,54,70,79,554
Joe Johnson,33,BRK,80,384,292,59,14,137,1154
Tony Parker,32,SAS,68,129,335,44,2,146,976
Bismack Biyombo,22,CHO,64,407,16,18,99,52,304
Robert Covington,24,PHI,70,316,105,97,31,128,943
DeMar DeRozan,25,TOR,60,277,210,73,11,137,1204
Ersan Ilyasova,27,MIL,58,277,56,36,19,45,669
Marcus Morris,25,PHO,81,385,133,63,16,73,845
Nerlens Noel,20,PHI,75,611,128,133,142,146,744
Marreese Speights,27,GSW,76,325,72,20,34,82,791
Tiago Splitter,30,SAS,52,252,78,35,37,60,428
Rodney Stuckey,28,IND,71,248,219,56,10,118,896
Jared Sullinger,22,BOS,58,441,134,44,42,78,770
C.J. Watson,30,IND,57,163,208,57,9,100,570
Aron Baynes,28,SAS,70,318,35,16,22,65,461
Jae Crowder,24,TOT,82,293,94,72,25,49,628
Danilo Gallinari,26,DEN,59,218,83,47,20,57,734
Darren Collison,27,SAC,45,143,252,67,14,112,725
Kris Humphries,29,WAS,64,416,57,34,25,46,509
Michael Kidd-Gilchrist,21,CHO,55,416,77,30,38,63,598
Cody Zeller,22,CHO,62,362,100,34,49,62,472
Bradley Beal,21,WAS,63,241,194,76,18,123,962
Manu Ginobili,37,SAS,70,211,293,67,20,154,738
J.R. Smith,29,TOT,70,218,195,82,22,97,847
Chris Andersen,36,MIA,60,299,43,26,61,40,320
Trevor Booker,27,UTA,79,397,83,43,41,88,567
Chris Bosh,30,MIA,44,310,95,41,25,95,928
Wilson Chandler,27,DEN,78,475,134,58,29,110,1085
Jamal Crawford,34,LAC,64,124,158,59,14,92,1010
Boris Diaw,32,SAS,81,348,233,36,23,126,708
Monta Ellis,29,DAL,80,190,329,148,25,198,1513
Gerald Henderson,27,CHO,80,273,206,51,22,110,969
John Henson,24,MIL,67,312,59,28,135,87,470
Dwight Howard,29,HOU,41,431,50,28,53,115,646
C.J. Miles,27,IND,70,214,75,60,26,73,942
Kelly Olynyk,23,BOS,64,303,109,64,39,98,656
Amar'e Stoudemire,32,TOT,59,329,45,29,38,78,680
Jason Terry,37,HOU,77,121,147,66,19,74,541
Beno Udrih,32,MEM,79,143,220,46,8,89,605
Deron Williams,30,BRK,68,237,448,64,17,154,884
Ryan Anderson,26,NOP,61,295,55,33,20,62,833
Patrick Beverley,26,HOU,56,237,192,59,23,83,568
Solomon Hill,23,IND,82,314,184,66,18,115,729
Jonas Jerebko,27,TOT,75,282,71,46,18,44,448
Victor Oladipo,22,ORL,72,302,295,120,19,204,1292
Dwyane Wade,33,MIA,62,219,299,73,21,209,1331
D.J. Augustin,27,TOT,82,161,353,49,3,145,777
Tyler Hansbrough,29,TOR,74,265,21,30,15,20,270
Jrue Holiday,24,NOP,40,135,274,63,23,91,592
Alex Len,21,PHO,69,454,32,34,105,74,432
Al-Farouq Aminu,24,DAL,74,342,59,70,62,55,412
Aaron Brooks,30,CHI,82,166,261,54,15,157,954
Brandon Jennings,25,DET,41,104,272,44,4,90,632
Chris Kaman,32,POR,74,484,65,18,54,108,638
Kosta Koufos,25,MEM,81,426,37,29,63,69,419
Shaun Livingston,29,GSW,78,183,259,49,20,102,461
Alexis Ajinca,26,NOP,68,315,47,21,51,69,443
David Lee,31,GSW,49,257,85,31,26,49,388
Tarik Black,23,TOT,63,368,42,19,24,48,379
Corey Brewer,28,TOT,80,297,173,114,19,131,917
Jodie Meeks,27,DET,60,104,79,59,6,57,663
Thaddeus Young,26,TOT,76,411,173,124,25,117,1071
Nene Hilario,32,WAS,67,345,123,66,22,124,737
Terrence Jones,23,HOU,33,220,36,18,59,37,386
Carmelo Anthony,30,NYK,40,264,122,40,17,89,966
Marco Belinelli,28,SAS,62,157,94,31,3,61,568
Eric Gordon,26,NOP,61,159,229,50,14,122,818
Quincy Pondexter,26,TOT,75,195,94,19,24,51,538
Marcus Smart,20,BOS,67,222,208,99,18,90,523
Lavoy Allen,25,IND,63,323,73,15,42,40,315
Leandro Barbosa,32,GSW,66,91,99,41,8,44,467
Kentavious Caldwell-Pope,21,DET,82,255,109,93,18,94,1043
Mario Chalmers,28,MIA,80,206,307,122,10,173,813
Carl Landry,31,SAC,70,268,26,15,17,54,503
Meyers Leonard,22,POR,55,250,32,10,14,39,327
O.J. Mayo,27,MIL,71,187,197,57,18,128,806
Greivis Vasquez,28,TOR,82,216,302,46,10,119,775
Alan Anderson,32,BRK,74,204,83,56,5,60,545
J.J. Barea,30,DAL,77,134,263,33,1,70,580
Omri Casspi,26,SAC,67,260,102,31,9,88,593
Jeremy Lin,26,LAL,74,196,339,82,32,166,832
Otto Porter,21,WAS,74,221,65,44,30,52,445
Mike Scott,26,ATL,68,199,75,25,3,39,529
Anthony Tolliver,29,TOT,76,236,59,24,16,51,482
Arron Afflalo,29,TOT,78,247,129,41,7,116,1035
Rasual Butler,35,WAS,75,197,63,29,22,48,580
Jarrett Jack,31,BRK,80,245,373,75,13,191,957
Miles Plumlee,26,TOT,73,320,34,41,66,51,294
Hollis Thompson,23,PHI,71,198,85,57,26,66,626
Avery Bradley,24,BOS,77,241,135,82,15,109,1071
Ben McLemore,21,SAC,82,241,140,77,19,138,996
Tayshaun Prince,34,TOT,58,210,93,29,16,35,434
Dennis Schroder,21,ATL,77,164,317,49,4,150,768
Thabo Sefolosha,30,ATL,52,223,75,53,21,38,278
Evan Turner,26,BOS,82,417,449,83,19,198,779
Jerryd Bayless,26,MIL,77,211,233,59,12,133,598
Bojan Bogdanovic,25,BRK,78,213,68,34,9,78,700
Trey Burke,22,UTA,76,204,328,65,15,124,973
Caron Butler,34,DET,78,196,79,43,4,49,460
Jordan Clarkson,22,LAL,59,191,206,51,12,96,703
Terrence Ross,23,TOR,82,226,86,53,25,69,807
Tony Snell,23,CHI,72,176,62,32,11,48,435
Jason Thompson,28,SAC,81,530,85,33,57,84,491
Richard Jefferson,34,DAL,74,183,61,32,11,52,432
Elfrid Payton,20,ORL,82,349,533,142,20,203,731
Pablo Prigioni,37,TOT,67,119,171,79,1,62,274
Josh Smith,29,TOT,83,530,277,87,116,206,1027
Cole Aldrich,26,NYK,61,338,75,37,65,59,338
Carlos Boozer,33,LAL,71,482,95,41,12,92,836
Nick Collison,34,OKC,66,250,90,35,25,45,273
Jordan Hill,27,LAL,70,556,103,34,52,106,841
Rodney Hood,22,UTA,50,117,83,30,12,45,433
Joe Ingles,27,UTA,79,175,182,72,10,98,396
Andre Miller,38,TOT,81,153,284,32,6,104,355
Alexey Shved,26,TOT,42,99,106,30,6,48,434
Steve Blake,34,POR,81,137,288,41,5,104,350
Matt Bonner,34,SAS,72,115,47,10,12,11,264
Evan Fournier,22,ORL,58,153,120,40,2,82,698
Channing Frye,31,ORL,75,293,94,47,39,78,549
Ian Mahinmi,28,IND,61,356,33,30,46,59,265
Andre Roberson,23,OKC,67,255,70,53,29,46,228
Henry Sims,24,PHI,73,359,79,39,30,99,586
Andrew Wiggins,19,MIN,82,374,170,86,50,177,1387
Derrick Williams,23,SAC,74,202,50,34,4,56,617
Mo Williams,32,TOT,68,174,424,46,14,172,964
Shabazz Muhammad,22,MIN,38,154,44,18,7,35,512
Kyle Singler,26,TOT,80,194,85,47,21,55,480
Donald Sloan,27,IND,53,143,190,23,0,65,391
Matthew Dellavedova,24,CLE,67,126,204,24,2,61,319
Joey Dorsey,31,HOU,69,279,25,40,25,41,184
James Ennis,24,MIA,62,176,48,25,17,39,312
Kevin Garnett,38,TOT,47,311,77,46,17,46,323
Gerald Green,29,PHO,74,186,91,42,12,104,884
Kevin Martin,31,MIN,39,142,89,33,1,76,779
Mike Muscala,23,ATL,40,119,25,16,19,21,197
Anderson Varejao,32,CLE,26,170,35,19,16,35,255
Shawne Williams,28,TOT,63,166,44,25,21,30,341
J.J. Hickson,26,DEN,73,452,57,36,35,96,552
C.J. McCollum,23,POR,62,91,64,43,8,48,424
Brian Roberts,29,CHO,72,109,162,33,6,57,480
Quincy Acy,24,NYK,68,301,68,27,22,60,398
Alec Burks,23,UTA,27,114,82,17,5,52,374
Dewayne Dedmon,25,ORL,59,295,9,16,50,51,216
Festus Ezeli,25,GSW,46,155,9,7,42,32,201
Drew Gooden,33,WAS,51,223,49,21,9,28,277
Wesley Johnson,27,LAL,76,319,124,59,45,87,753
Shane Larkin,22,NYK,76,176,226,93,9,83,470
Shawn Marion,36,CLE,57,202,51,27,27,33,276
Kevin Seraphin,25,WAS,79,288,59,10,59,98,520
Luke Babbitt,25,NOP,63,111,24,17,11,26,256
Kent Bazemore,25,ATL,75,222,78,52,33,73,390
Dante Cunningham,27,NOP,66,256,50,46,37,35,340
Joel Freeland,27,POR,48,191,16,9,23,23,169
Jeremy Lamb,22,OKC,47,107,44,21,6,27,295
Jusuf Nurkic,20,DEN,62,382,50,52,68,86,426
Kyle O'Quinn,24,ORL,51,199,59,31,39,55,294
Rajon Rondo,28,TOT,68,373,538,91,7,210,608
Larry Sanders,26,MIL,27,166,23,26,39,28,196
Dorell Wright,29,POR,48,111,41,20,11,18,219
Pero Antic,32,ATL,63,189,49,18,14,49,356
Justin Hamilton,24,TOT,41,134,36,27,30,26,219
James Jones,34,CLE,57,62,24,13,8,13,250
Austin Rivers,22,TOT,76,152,155,48,14,65,530
Thomas Robinson,23,TOT,54,303,33,32,20,59,308
Iman Shumpert,24,TOT,62,224,135,81,16,91,496
Garrett Temple,28,WAS,52,90,56,42,9,34,204
Furkan Aldemir,23,PHI,41,176,28,17,16,17,93
Isaiah Canaan,23,TOT,47,87,98,29,3,62,432
Norris Cole,26,TOT,75,159,255,57,15,99,573
Glen Davis,29,LAC,74,169,39,41,21,39,294
Udonis Haslem,34,MIA,62,258,46,21,13,41,261
Jason Maxiell,31,CHO,61,203,19,18,44,29,203
Ray McCallum,23,SAC,68,180,188,45,11,85,503
Patrick Mills,26,SAS,51,75,87,28,2,35,351
Jameer Nelson,32,TOT,63,146,253,47,6,109,523
Charlie Villanueva,30,DAL,64,149,19,15,22,28,403
Will Barton,24,TOT,58,162,81,48,19,61,397
Chase Budinger,26,MIN,67,198,64,44,10,49,457
Allen Crabbe,22,POR,51,73,39,19,15,15,168
Jeremy Evans,27,UTA,38,71,13,11,12,5,90
Langston Galloway,23,NYK,45,190,150,52,12,61,533
Justin Holiday,25,GSW,59,73,48,40,12,29,254
Jon Leuer,25,MEM,63,207,46,17,9,35,286
Shelvin Mack,24,ATL,55,79,155,30,2,49,299
Mitch McGary,22,OKC,32,165,14,16,16,31,201
Jabari Parker,19,MIL,25,138,42,31,5,47,308
Damjan Rudez,28,IND,68,47,53,16,5,47,323
Joel Anthony,32,DET,49,93,5,12,49,12,87
Jeff Ayres,27,SAS,51,117,14,8,8,26,137
Wayne Ellington,27,LAL,65,210,105,33,2,50,650
Reggie Evans,34,SAC,47,299,32,22,5,45,176
Alonzo Gee,27,TOT,54,94,25,35,7,33,241
Spencer Hawes,26,LAC,73,258,88,24,53,61,425
Jerome Jordan,28,BRK,44,105,13,8,15,22,138
Nikola Pekovic,29,MIN,31,234,27,19,12,42,386
Derrick Rose,26,CHI,51,161,251,36,16,161,904
Jason Smith,28,NYK,82,324,140,32,44,104,656
Marcus Thornton,27,TOT,48,86,36,27,7,27,380
Hedo Turkoglu,35,LAC,62,99,37,19,7,29,232
Nick Young,29,LAL,42,96,41,23,11,44,563
Nick Calathes,25,MEM,58,106,146,63,5,61,243
Luc Mbah a Moute,28,PHI,67,328,106,81,21,99,660
Ramon Sessions,28,TOT,64,144,182,29,0,86,402
Dion Waiters,23,TOT,80,192,163,90,21,113,940
T.J. Warren,21,PHO,40,85,25,18,9,27,245
Vince Carter,38,MEM,66,133,79,43,14,43,384
Randy Foye,31,DEN,50,85,119,34,11,60,435
Aaron Gordon,19,ORL,47,169,33,21,22,38,243
Kirk Hinrich,34,CHI,66,121,148,46,14,73,377
Ryan Hollins,30,SAC,46,103,14,6,19,25,137
Darrell Arthur,26,DEN,58,171,57,48,26,47,382
Andrea Bargnani,29,NYK,29,127,46,2,27,42,430
Jose Calderon,33,NYK,42,124,198,31,0,75,382
John Jenkins,23,ATL,24,39,13,10,0,8,135
Michael Carter-Williams,23,TOT,66,353,442,111,30,253,966
Tim Hardaway,22,NYK,70,156,127,20,14,82,804
Robbie Hummel,25,MIN,45,134,27,16,9,18,198
Cory Jefferson,24,BRK,50,145,16,10,21,20,183
Chris Johnson,24,TOT,29,55,15,26,7,15,166
Tyler Johnson,22,MIA,32,81,42,33,9,30,190
Kendall Marshall,23,MIL,28,28,86,21,0,35,118
E'Twaun Moore,25,CHI,56,46,33,20,6,14,149
Phil Pressey,23,BOS,50,80,117,30,6,41,177
Robert Sacre,25,LAL,67,233,55,28,43,36,307
Greg Smith,24,DAL,42,79,9,7,11,11,80
Jeff Withey,24,NOP,37,64,11,4,18,12,98
Elton Brand,35,ATL,36,100,22,17,25,18,96
Sergey Karasev,21,BRK,33,66,46,23,1,24,153
Ryan Kelly,23,LAL,52,146,92,30,24,37,332
Ronnie Price,31,LAL,43,69,165,67,4,52,221
Jordan Farmar,28,LAC,36,42,67,20,5,32,167
Danny Granger,31,MIA,30,80,17,13,6,24,188
K.J. McDaniels,21,TOT,62,200,72,44,70,105,487
Gary Neal,30,TOT,54,129,100,23,1,65,543
Dwight Powell,23,TOT,29,50,9,9,6,11,90
Luke Ridnour,33,ORL,47,68,96,20,4,38,188
JaKarr Sampson,21,PHI,74,163,77,38,26,76,386
Markel Brown,23,BRK,47,107,39,31,12,27,216
Jerami Grant,20,PHI,65,198,79,40,68,85,411
Chuck Hayes,31,TOR,29,51,20,10,4,8,50
Bernard James,29,DAL,16,39,4,2,15,6,44
James McAdoo,22,GSW,15,37,2,5,9,6,62
Shabazz Napier,23,MIA,51,113,130,40,4,81,261
Kostas Papanikolaou,24,HOU,43,118,85,29,13,55,182
Ricky Rubio,24,MIN,22,125,193,38,1,64,226
Nik Stauskas,21,SAC,73,88,67,20,17,40,319
Jarnell Stokes,21,MEM,19,34,4,5,5,7,57
Mirza Teletovic,29,BRK,40,194,46,14,16,53,339
Noah Vonleh,19,CHO,25,86,4,4,9,11,83
Henry Walker,27,MIA,24,82,29,24,9,24,175
Jordan Adams,20,MEM,30,28,16,16,7,14,94
Jeff Adrien,28,MIN,17,77,15,4,9,9,60
Jabari Brown,22,LAL,19,36,40,12,2,32,227
Luigi Datome,27,TOT,21,29,9,2,7,9,105
JaMychal Green,24,TOT,24,45,4,5,5,14,62
JaVale McGee,27,TOT,23,61,3,2,20,18,106
Josh McRoberts,27,MIA,17,45,33,12,3,22,72
Mike Miller,34,CLE,52,91,46,14,4,23,109
Elijah Millsap,27,UTA,47,150,58,56,16,67,248
Jason Richardson,34,PHI,19,66,38,13,3,16,172
Sebastian Telfair,29,OKC,16,30,45,10,0,18,134
Shayne Whittington,23,IND,20,29,6,5,2,5,57
Lou Amundson,32,TOT,53,268,70,22,52,62,259
Kyle Anderson,21,SAS,33,72,28,15,7,10,74
Anthony Bennett,21,MIN,57,216,48,27,16,36,298
Lorenzo Brown,24,MIN,29,70,90,28,6,30,122
Samuel Dalembert,33,NYK,32,168,29,14,41,39,128
Landry Fields,26,TOR,26,26,15,11,0,8,46
Ben Gordon,31,ORL,56,63,50,14,1,55,349
Jorge Gutierrez,26,TOT,20,25,22,6,0,12,53
P.J. Hairston,22,CHO,45,92,21,21,13,22,254
Maurice Harkless,21,ORL,45,106,25,32,9,27,158
Ognjen Kuzmic,24,GSW,16,17,6,2,1,5,20
John Lucas III,32,DET,21,16,60,8,0,16,98
Steve Novak,31,TOT,35,22,11,0,2,5,63
Arinze Onuaku,27,MIN,6,21,4,1,3,2,27
A.J. Price,28,TOT,26,32,46,7,0,14,133
Nate Robinson,30,TOT,42,50,97,20,3,30,238
Jeffery Taylor,25,CHO,29,53,22,12,1,19,127
Ekpe Udoh,27,LAC,33,26,8,8,7,7,29
Tony Wroten,21,PHI,30,86,157,48,8,113,507
James Young,19,BOS,31,42,13,8,2,5,105
Kobe Bryant,36,LAL,35,199,197,47,7,128,782
Ian Clark,23,TOT,30,16,12,9,3,9,57
Jack Cooley,23,UTA,16,25,1,6,3,3,27
Bryce Cotton,22,UTA,15,18,15,4,0,12,80
Troy Daniels,23,TOT,47,33,22,6,1,20,176
Brandon Davies,23,TOT,27,83,30,18,7,29,142
Toney Douglas,28,NOP,12,22,24,11,4,10,51
Raymond Felton,30,DAL,29,26,41,11,4,18,108
Jimmer Fredette,25,NOP,50,40,58,15,2,33,178
Archie Goodwin,20,PHO,41,74,44,18,9,48,231
Joe Harris,23,CLE,51,41,26,7,2,27,136
Lester Hudson,30,LAC,5,8,5,6,1,3,18
Perry Jones,23,OKC,43,76,18,17,8,24,184
Kenyon Martin,37,MIL,11,19,5,5,6,3,20
Jannero Pargo,35,CHO,9,3,8,0,0,3,41
Reggie Williams,28,SAS,20,17,10,1,0,2,37
DeJuan Blair,25,WAS,29,56,3,7,1,13,56
Reggie Bullock,23,TOT,36,50,8,10,4,8,69
Dwight Buycks,25,LAL,6,12,14,3,0,12,52
Victor Claver,26,POR,10,20,1,1,1,4,24
Spencer Dinwiddie,21,DET,34,48,104,19,6,33,145
Jordan Hamilton,24,LAC,14,16,7,2,0,4,38
Sean Kilpatrick,25,MIN,4,6,4,3,0,2,22
Joffrey Lauvergne,23,DEN,24,77,13,8,10,22,93
Nazr Mohammed,37,CHI,23,38,3,4,5,7,27
Andrew Nicholson,25,ORL,40,82,22,6,12,24,194
Kendrick Perkins,30,TOT,68,320,51,16,42,95,246
Glenn Robinson III,21,TOT,35,39,11,6,1,11,73
John Salmons,35,NOP,21,21,13,9,4,5,42
Greg Stiemsma,29,TOR,17,15,3,2,0,7,14
Malcolm Thomas,26,PHI,17,56,7,3,1,13,45
Tyrus Thomas,28,MEM,2,0,1,0,0,0,4
Gerald Wallace,32,BOS,32,57,11,15,4,18,35
Elliot Williams,25,TOT,13,8,12,4,0,4,37
Earl Barron,33,PHO,16,28,5,4,2,5,32
Jerrelle Benimon,23,UTA,2,3,0,0,0,1,0
Sim Bhullar,22,SAC,3,1,1,0,1,0,2
Shannon Brown,29,MIA,5,1,3,4,0,4,20
Clint Capela,20,HOU,12,36,2,1,9,5,32
Will Cherry,23,CLE,8,5,8,6,1,4,15
Jared Cunningham,23,LAC,19,9,10,3,0,7,35
Seth Curry,24,PHO,2,2,1,0,0,0,0
Austin Daye,26,TOT,34,75,17,12,5,23,129
Chris Douglas-Roberts,28,LAC,12,12,4,1,0,0,19
Jamaal Franklin,23,DEN,3,2,3,0,1,3,3
Paul George,24,IND,6,22,6,5,1,12,53
Erick Green,23,DEN,43,31,39,12,0,14,146
Brendan Haywood,35,CLE,22,29,2,2,10,10,35
Dahntay Jones,34,LAC,33,11,2,3,0,1,21
Andrei Kirilenko,33,BRK,7,8,1,1,0,1,3
Alex Kirk,23,CLE,5,1,1,0,0,0,4
Malcolm Lee,24,PHI,1,0,0,0,0,0,0
Kalin Lucas,25,MEM,1,0,0,1,0,0,0
Doug McDermott,23,CHI,36,43,6,4,1,17,109
Eric Moreland,23,SAC,3,1,0,0,0,0,2
Lucas Nogueira,22,TOR,6,11,1,2,0,2,6
Miroslav Raduljica,27,MIN,5,5,0,1,0,2,8
Shavlik Randolph,31,TOT,21,38,4,5,3,3,24
David Stockton,23,SAC,3,2,9,2,0,4,8
Ronny Turiaf,32,MIN,2,1,2,0,0,0,0
David Wear,24,SAC,2,2,1,0,0,0,0
Martell Webster,28,WAS,32,46,17,7,1,22,106
C.J. Wilcox,24,LAC,21,7,8,3,1,10,41
Cameron Bairstow,24,CHI,18,8,1,2,1,3,10
Michael Beasley,26,MIA,24,89,32,15,13,37,212
Bruno Caboclo,19,TOR,8,2,0,0,1,4,10
Patrick Christopher,26,UTA,4,6,0,1,0,1,6
Earl Clark,27,BRK,10,23,3,3,4,6,27
Chris Copeland,30,IND,50,111,51,11,11,59,309
Andre Dawkins,23,MIA,4,2,1,0,0,1,3
Zoran Dragic,25,TOT,16,8,5,2,0,5,28
Dante Exum,19,UTA,82,131,198,41,14,118,393
Tim Frazier,24,TOT,11,28,60,8,0,25,57
Drew Gordon,24,PHI,9,18,2,1,0,8,17
Willie Green,33,ORL,52,79,68,26,5,48,306
Xavier Henry,23,LAL,9,4,3,3,0,3,20
Grant Jerrett,21,TOT,8,9,3,2,2,3,16
Nick Johnson,22,HOU,28,39,11,7,3,19,74
Devyn Marble,22,ORL,16,31,17,9,2,9,37
Jerel McNeal,27,PHO,6,3,2,3,1,5,9
Darius Miller,24,NOP,5,1,2,1,0,1,2
Quincy Miller,22,TOT,10,20,8,7,5,5,29
Toure' Murry,25,TOT,5,1,1,1,0,4,6
Julius Randle,20,LAL,1,0,0,0,0,1,2
Glen Rice,24,WAS,5,4,2,0,0,2,11
Ish Smith,26,TOT,55,100,180,36,6,78,338
Russ Smith,23,TOT,12,6,8,3,0,12,30
Vander Blue,22,LAL,2,9,8,3,0,6,22
Will Bynum,32,WAS,7,6,18,1,1,8,22
Francisco Garcia,33,HOU,14,17,15,9,5,10,45
Cartier Martin,30,DET,23,20,11,3,1,5,36
Gal Mekel,26,NOP,4,1,13,2,0,2,6
Nate Wolters,23,TOT,21,34,21,8,2,13,42
Tyler Ennis,20,TOT,33,35,73,18,5,42,121
Brandon Rush,29,GSW,33,41,12,5,12,11,30
Travis Wear,24,NYK,51,106,40,15,11,35,199
Larry Drew,24,PHI,12,15,45,6,0,25,46
Cleanthony Early,23,NYK,39,97,36,24,12,40,210
Darius Morris,24,BRK,38,27,48,9,0,21,83
Lance Thomas,26,TOT,62,195,69,37,8,74,443
Johnny O'Bryant,21,MIL,34,64,17,5,4,25,100
Adreian Payne,23,TOT,32,162,30,19,9,44,213
Ricky Ledo,22,TOT,17,36,19,6,1,26,90
Gary Harris,20,DEN,55,64,29,39,7,38,188
