Stem,Word
hur,hur
cherch,cherche
opposit,opposite
queen,queen
pave,paved
lee,lee
sanctuari,sanctuary
radio,radio
earth,earth
bail,baile
sagt,sagt
toast,toast
och,och
wirst,wirst
politician,politicians
quieren,quieren
just,just
spite,spite
blut,blut
ment,mente
explain,explain
releas,release
bust,bust
sugar,sugar
bush,bush
busi,business
bliss,bliss
deepest,deepest
rich,rich
mend,mend
gangsta,gangsta
do,do
waltz,waltz
dj,dj
klein,kleine
di,di
nasti,nasty
de,de
watch,watch
13,13
da,da
pocket,pocket
geen,geen
doigt,doigts
du,du
dr,dr.
bat,bat
bar,bar
bas,bas
busco,busco
ner,ner
sacrific,sacrifice
probabl,probably
brazo,brazos
disco,disco
twice,twice
bad,bad
coke,coke
olhar,olhar
sentido,sentido
steal,steal
steam,steam
bah,bah
fait,fait
blew,blew
vampir,vampire
beso,besos
fair,faire
cerca,cerca
guerra,guerra
liquor,liquor
nur,nur
parol,parole
light,light
resist,resist
bled,bled
goodnight,goodnight
num,num
structur,structure
nuh,nuh
respons,responsible
fail,fail
cambiar,cambiar
foss,fosse
hammer,hammer
best,best
subject,subject
awar,aware
said,said
onto,onto
bij,bij
away,away
sail,sail
muy,muy
insiem,insieme
mud,mud
bien,bien
score,score
cómo,cómo
finger,fingers
awak,awake
drawn,drawn
mun,mun
approach,approach
alguien,alguien
debo,debo
warrior,warrior
we,we
men,men
drivin,drivin'
wa,wa
wo,won't
debe,debes
sera,sera
weak,weak
boss,boss
posit,position
lazi,lazy
devour,devour
wear,wear
unfold,unfold
intox,intoxicated
news,news
debt,debt
roller,roller
weari,weary
bras,bras
cop,cops
cos,'cos
cor,cor
ell,elle
cow,cow
herz,herz
fault,fault
ill,ill
questo,questo
ahora,ahora
against,against
kommen,kommen
piti,pity
una,una
kommer,kommer
und,und
une,une
lookin,lookin'
logic,logic
countri,country
com,com
col,col
con,con
compromis,compromise
skill,skills
assur,assured
tough,tough
alleluia,alleluia!
pose,pose
demain,demain
vain,vain
jugar,jugar
height,heights
femm,femme
creat,create
lick,lick
felicidad,felicidad
darlin,darlin'
paradis,paradise
trumpet,trumpet
trust,trust
assum,assume
aquella,aquella
speak,speak
hijo,hijos
fra,fra
reveng,revenge
sam,sam
beef,beef
hay,hay
union,union
fri,fry
sal,sal
three,three
been,been
shoulda,shoulda
beep,beep
beer,beer
much,much
entonc,entonces
interest,interest
pro,pro
tini,tiny
threw,threw
funer,funeral
life,life
ano,ano
deeper,deeper
spit,spit
café,café
pueden,pueden
alegr,alegre
prison,prison
anywher,anywhere
fest,fest
lift,lift
alley,alley
child,child
catch,catch
erst,erst
suav,suave
chill,chill
ugli,ugly
save,save
tank,tank
servic,service
gasolin,gasoline
lullabi,lullaby
air,air
aim,aim
encontrar,encontrar
near,near
ain,ain?
neat,neat
aid,aids
possess,possess
vagu,vague
anchor,anchor
della,della
spawn,spawn
histori,history
stink,stink
dizzi,dizzy
mexico,mexico
is,is
ir,ir
it,it
sting,sting
ii,ii
shame,shame
ik,ik
brake,brakes
il,il
jest,jest
in,in
amour,amour
id,id
disappear,disappear
if,if
grown,grown
walkin,walkin'
bello,bello
quand,quand
harmoni,harmony
credit,credit
perform,perform
make,make
mayb,maybe
wound,wounds
bella,bella
busca,busca
complex,complex
descend,descend
jungl,jungle
success,success
puttin,puttin'
superman,superman
jama,jamas
wheel,wheel
ello,ellos
fuss,fuss
evid,evidence
buscando,buscando
ingent,ingenting
ella,ella
social,social
rail,rail
rain,rain
hand,hand
delight,delight
fuse,fuse
vieux,vieux
jealous,jealous
burnin,burnin'
tide,tide
blister,blisters
tune,tune
kid,kids
butter,butter
groovi,groovy
dado,dado
kept,kept
soak,soaked
bewar,beware
placer,placer
itself,itself
taint,tainted
deixa,deixa
ocean,ocean
contact,contact
mamma,mamma
greatest,greatest
thi,thy
mother,mother
everyth,everything
hacen,hacen
rout,route
tha,tha
bonni,bonnie
letra,letra
background,background
givin,givin'
yea,yea
photo,photo
enjoy,enjoy
forsaken,forsaken
tão,tão
monkey,monkey
kalt,kalt
farther,farther
human,human
yes,yes
yer,yer
sleepi,sleepy
yet,yet
languag,language
sí,sí
hai,hai
sé,sé
han,han
så,så
sä,sä
hab,hab
ela,ela
had,had
ideal,ideal
voglio,voglio
ele,ele
sensat,sensation
ooooh,ooooh
shout,shout
spread,spread
board,board
endur,endure
els,else
har,har
has,has
hat,hat
wissen,wissen
só,só
gave,gave
egal,egal
lake,lake
unter,unter
assim,assim
escuchar,escuchar
seel,seele
vaniti,vanity
there’,there’s
yeh,yeh
birth,birth
linda,linda
dreamt,dreamt
shadow,shadows
burnt,burnt
rumor,rumors
apart,apart
shoulder,shoulder
measur,measure
gift,gift
hunt,hunt
negat,negative
50,50
deus,deus
remind,remind
pavement,pavement
pasion,pasion
confid,confidence
night,night
hung,hung
amor,amor
soar,soar
jean,jeans
right,right
old,old
ole,ole
deal,deal
oli,oli
fold,fold
crown,crown
somehow,somehow
dead,dead
tenemo,tenemos
revel,revelation
intern,international
dear,dear
bore,bored
bord,bord
creer,creer
creep,creep
decirt,decirte
ici,ici
ich,ich
for,for
bottom,bottom
drove,drove
ice,ice
foe,foe
fog,fog
uma,uma
overcom,overcome
convict,conviction
strada,strada
creatur,creature
leak,leak
vielleicht,vielleicht
bold,bold
peel,peel
suelo,suelo
quedo,quedo
insecur,insecure
coro,coro
buri,bury
corp,corps
pensando,pensando
corr,corre
keeper,keeper
post,post
â,Â
super,super
describ,describe
zur,zur
silhouett,silhouette
difícil,difícil
coast,coast
cowboy,cowboy
conceal,conceal
year,years
choke,choke
surround,surround
dinner,dinner
despair,despair
plus,plus
algo,algo
horizon,horizon
cherish,cherish
mismo,mismo
commit,commit
esperar,esperar
coraz,coraz?
produc,produced
zum,zum
lieb,liebe
telephon,telephone
aber,aber
cuor,cuore
soi,sois
sock,sock
ahh,ahh
float,floating
som,som
bound,bound
son,son
down,down
loin,loin
sou,sou
sow,sow
vuelv,vuelve
wrap,wrapped
chime,chime
encor,encore
stall,stall
mass,mass
glaub,glaub
east,east
veneno,veneno
crowd,crowd
wah,wah
avait,avait
frustrat,frustration
support,support
transform,transform
sunlight,sunlight
happi,happy
stuck,stuck
reli,rely
fought,fought
gib,gib
way,way
wax,wax
jane,jane
call,call
wat,wat
was,was
war,war
wrote,wrote
everlast,everlasting
head,head
form,form
offer,offer
forc,force
deaf,deaf
heal,heal
daß,daß
forg,forged
aqui,aqui
fore,'fore
jive,jive
heat,heat
seguir,seguir
hear,hear
sparkl,sparkle
fors,forse
mirada,mirada
true,true
fort,fort
viva,viva
electr,electric
duel,duele
vive,vive
born,born
vorrei,vorrei
layin,layin'
daddi,daddy
vivo,vivo
until,until
whiskey,whiskey
vivr,vivre
absenc,absence
freund,freunde
trist,triste
retir,retire
lili,lily
labio,labios
pude,pude
proud,proud
weit,weit
lleva,lleva
petit,petit
nobodi,nobody
unholi,unholy
sale,sale
salir,salir
miro,miro
exist,exist
cocain,cocaine
glanc,glance
prayer,prayer
furi,fury
desir,desire
ship,ship
20,20
mold,mold
trip,trip
inde,indeed
gracia,gracias
leer,leer
depoi,depois
floor,floor
na,na
stake,stake
when,when
ne,ne
actor,actor
til,'til
flood,flood
tin,tin
role,role
communic,communication
jone,jones
tumbl,tumble
test,test
tie,tied
hangin,hangin'
smell,smell
roll,roll
realiti,reality
tame,tame
donât,donât
fou,fou
dies,diese
felt,felt
dieu,dieu
fell,fell
intent,intentions
reign,reign
consid,consider
mirando,mirando
siento,siento
balloon,balloon
billion,billion
grief,grief
younger,younger
receiv,receive
rabbit,rabbit
longer,longer
bullet,bullet
glass,glass
salt,salt
essenc,essence
licht,licht
jacket,jacket
rough,rough
ignor,ignore
time,time
push,push
serious,serious
backward,backwards
daili,daily
gown,gown
sentimiento,sentimiento
chain,chain
caricia,caricias
skip,skip
rob,rob
celebr,celebrate
focus,focus
invent,invented
mile,miles
selbst,selbst
skin,skin
amar,amar
chair,chair
rot,rot
milk,milk
row,row
macht,macht
decid,decide
middl,middle
ver,ver
ves,ves
zone,zone
muito,muito
flash,flash
father,father
puoi,puoi
dá,dá
hurtin,hurtin'
decir,decir
decis,decision
rhythm,rhythm
ven,ven
veo,veo
vem,vem
retreat,retreat
preciso,preciso
shoot,shoot
sourc,source
string,string
jerk,jerk
olvidar,olvidar
nooit,nooit
guarda,guarda
distant,distant
mourn,mourning
escucha,escucha
condit,condition
cook,cook
join,join
blast,blast
exact,exactly
rapper,rappers
cool,cool
dim,dim
din,din
dio,dios
captiv,captive
hour,hour
knockin,knockin'
level,level
tear,tears
die,die
dig,dig
dia,dia
foi,fois
p,p
statu,statue
querer,querer
larm,larmes
diz,diz
gut,gut
quick,quick
tongu,tongue
guy,guy
dip,dip
round,round
dir,dir
dis,dis
shave,shave
cose,cose
brave,brave
regret,regret
cosa,cosa
core,core
trend,trend
sigh,sigh
boca,boca
sigo,sigo
sign,sign
everytim,everytime
cost,cost
sigu,sigue
worn,worn
hace,hace
patient,patiently
helpless,helpless
bake,bake
port,porte
corazon,corazon
malo,malo
vengo,vengo
mister,mister
queda,queda
mall,mall
melt,melt
uniform,uniform
current,current
stadt,stadt
ancient,ancient
nella,nella
indiffer,indifference
order,order
corn,corn
burn,burn
hart,hart
frío,frío
drinkin,drinkin'
nen,n'en
ridin,ridin'
french,french
bi,bi
water,water
juro,juro
melhor,melhor
witch,witch
deceit,deceit
along,along
teacher,teacher
wait,waiting
box,box
boy,boy
insan,insane
fenc,fence
shove,shove
invit,invitation
bop,bop
shift,shift
runnin,runnin'
culpa,culpa
mutta,mutta
screamin,screamin'
bow,bow
dêtre,d'être
trial,trial
patienc,patience
bom,bom
bon,bon
boo,boo
dusti,dusty
colleg,college
bob,bob
deg,deg
guilti,guilty
pillow,pillow
ourselv,ourselves
love,love
savoir,savoir
extra,extra
ilusión,ilusión
rattl,rattle
prefer,prefer
gesicht,gesicht
pasión,pasión
tête,tête
fake,fake
fool,fool
tuesday,tuesday
peep,peep
market,market
bloodi,bloody
ando,ando
wealth,wealth
memori,memories
sake,sake
saddl,saddle
univers,universe
visit,visit
impos,imposible
everybodi,everybody
live,live
vivir,vivir
prey,prey
everywher,everywhere
ahhh,ahhh
tape,tape
angri,angry
thru,thru
today,today
vous,vous
capit,capital
jah,jah
riot,riot
club,club
peopl,people
ooo,ooo
claus,claus
lamor,l'amore
ooh,ooh
refrain,refrain
clue,clue
downtown,downtown
espero,espero
drown,drown
savior,savior
cuanto,cuanto
summertim,summertime
aun,aun
suffoc,suffocate
car,car
prepar,prepared
pretend,pretend
judg,judge
soul,soul
cat,cat
fli,fly
dyin,dyin'
sous,sous
sour,sour
whatev,whatever
cabeza,cabeza
purpos,purpose
laughter,laughter
materi,material
cae,cae
heart,heart
favourit,favourite
stream,stream
corazón,corazón
noch,noch
livet,livet
chip,chips
alleen,alleen
perder,perder
heard,heard
stroke,stroke
chin,chin
o,o
phrase,phrase
chemic,chemical
feelin,feelin'
juli,july
stole,stole
tar,tar
pink,pink
winter,winter
soleil,soleil
lifeless,lifeless
mehr,mehr
foul,foul
hippi,hippie
aquel,aquel
nyt,nyt
write,write
alway,always
sunday,sunday
anyon,anyone
actual,actually
pure,pure
swore,swore
llego,llego
puro,puro
amanec,amanecer
afternoon,afternoon
map,map
mas,mas
mar,mar
misma,misma
may,may
kopf,kopf
dive,dive
fed,fed
spot,spot
louder,louder
niemand,niemand
pattern,patterns
mad,mad
mag,mag
mai,mais
such,such
suck,suck
dove,dove
grow,grow
leve,leve
man,man
stress,stress
rêve,rêve
neck,neck
liquid,liquid
conscious,conscious
confus,confused
goal,goal
secur,security
favorit,favorite
avant,avant
su,su
st,st.
tale,tale
inform,information
switch,switch
etc,etc.
jail,jail
jaim,j'aime
unleash,unleash
tall,tall
sa,sa
ordinari,ordinary
talk,talk
drunken,drunken
cute,cute
manera,manera
shield,shield
anticip,anticipating
footstep,footsteps
etwa,etwas
midnight,midnight
agoni,agony
immer,immer
brain,brain
yearn,yearning
aha,aha
lyric,lyrics
hacia,hacia
cold,cold
still,still
skeleton,skeleton
worship,worship
tore,tore
già,già
forma,forma
group,group
thumb,thumb
willow,willow
thang,thang
torn,torn
jij,jij
shakin,shakin'
lyin,lyin'
civil,civil
window,window
whole,whole
kaiken,kaiken
maim,m'aimes
mail,mail
main,main
bounc,bounce
insect,insects
augen,augen
nom,nom
non,non
ahi,ahi
recal,recall
noi,noi
smash,smash
javai,j'avais
bein,bein'
nog,nog
shatter,shattered
dimmi,dimmi
sooner,sooner
sol,sol
underneath,underneath
lunch,lunch
sorriso,sorriso
loneli,loneliness
conquer,conquer
tax,tax
disappoint,disappointed
not,don't
qu,qu'
now,now
twilight,twilight
hall,hall
nor,nor
nos,nos
wont,wont
term,terms
name,name
servant,servant
mellow,mellow
frank,frank
drop,drop
vaan,vaan
flown,flown
separ,separate
magazin,magazine
savag,savage
careless,careless
rock,rock
nois,noise
caminar,caminar
collaps,collapse
terr,terre
keiner,keiner
em,'em
el,el
en,en
ei,ei
eh,eh
replac,replace
eg,eg
torch,torch
står,står
yeah,yeah
bodi,body
mulher,mulher
ey,ey
begun,begun
ez,ez
eu,eu
et,et
girl,girl
summon,summon
mommi,mommy
es,es
er,er
album,album
shown,shown
ambit,ambition
jackson,jackson
stitch,stitch
space,space
profit,profit
dort,dort
astray,astray
flesh,flesh
poco,poco
johnni,johnny
fazer,fazer
bli,bli
olvido,olvido
stell,stelle
uncl,uncle
bless,blessed
bla,bla
correct,correct
romanc,romance
screw,screw
diseas,disease
monster,monster
glimps,glimpse
tienen,tienen
sogno,sogno
septemb,september
million,million
seventh,seventh
argu,argue
auch,auch
g,g
cari,cari
california,california
rebel,rebel
plea,plea
romant,romantic
allá,allá
cara,cara
grab,grab
card,cards
care,care
imagin,imagine
funki,funky
gusta,gusta
sabor,sabor
luego,luego
don`t,don`t
punk,punk
refus,refuse
honest,honest
motion,motion
turn,turn
può,può
place,place
aboard,aboard
swing,swing
preach,preach
think,think
first,first
oper,operator
mucha,muchas
carri,carry
onc,once
mitä,mitä
vient,vient
ond,onde
yourself,yourself
arriv,arrive
fast,fast
spanish,spanish
vote,vote
ring,ring
dreamin,dreamin'
open,open
tomorrow,tomorrow
ont,ont
size,size
sheep,sheep
given,given
chanson,chanson
sheet,sheets
christma,christmas
teenag,teenage
llegar,llegar
caught,caught
breed,breed
plastic,plastic
citi,city
silenc,silence
2,2
tragic,tragic
breez,breeze
circl,circle
white,white
las,las
perdida,perdida
friend,friend
altro,altro
suert,suerte
hug,hug
sento,sento
that,that
season,season
hun,hun
huh,huh
lhe,lhe
eagl,eagle
spinnin,spinnin'
short,short
decemb,december
bajo,bajo
gin,gin
x2,(x2)
x3,(x3)
than,than
x4,(x4)
boyfriend,boyfriend
serv,serve
wide,wide
gehn,gehn
12,12
15,15
plein,plein
i’ll,i’ll
16,16
jealousi,jealousy
gotta,gotta
r,r
remors,remorse
balanc,balance
werd,werde
were,were
geht,geht
futuro,futuro
and,and
sai,sais
não,não
pra,pra
ana,ana
angel,angel
slay,slay
saa,saa
dass,dass
sag,sag
ani,any
slap,slap
sad,sad
sull,sulle
woah,woah
say,say
slam,slam
rent,rent
deliv,deliver
anger,anger
allen,allen
breakfast,breakfast
saw,saw
sogni,sogni
sat,sat
nott,notte
hör,hör
engin,engine
squar,square
advic,advice
notr,notre
mitt,mitt
jahr,jahre
kan,kan
weiß,weiß
zoo,zoo
note,note
soñar,soñar
satellit,satellite
squad,squad
loca,loca
take,take
deux,deux
fingertip,fingertips
destroy,destroy
concern,concerned
blunt,blunt
noth,nothing
channel,channel
surf,surf
miei,miei
begin,begin
sure,sure
pain,pain
trace,trace
normal,normal
track,track
ust,usted
price,price
knew,knew
wird,wird
paid,paid
butterfli,butterfly
champagn,champagne
cualquier,cualquier
pair,pair
knee,knees
america,america
bluebird,bluebird
på,på
anch,anche
lawn,lawn
pathet,pathetic
rescu,rescue
angst,angst
egg,egg
alguna,alguna
later,later
drive,drive
tooth,tooth
sunset,sunset
greed,greed
axe,axe
voodoo,voodoo
steadi,steady
hungri,hungry
shop,shop
perch,perche'
troi,trois
shot,shot
show,show
cheat,cheat
need,need
olho,olhos
cheap,cheap
estoy,estoy
bright,bright
shoe,shoes
corner,corner
trop,trop
takin,takin'
estou,estou
inn,inn
ground,ground
aint,aint
righteous,righteous
onli,only
slow,slow
unkind,unkind
stair,stairs
lua,lua
dich,dich
pen,pen
himmel,himmel
joka,joka
behind,behind
crime,crime
joli,jolie
lumièr,lumière
wood,wood
black,black
aina,aina
stormi,stormy
när,när
stain,stained
deseo,deseo
vuela,vuela
predict,predict
american,american
stay,stay
get,get
ventana,ventana
toca,toca
mission,mission
cannot,cannot
georg,george
gee,gee
lui,lui
cryin,cryin'
geh,geh
gen,gens
stroll,stroll
truli,truly
prime,prime
reveal,reveal
pistol,pistol
prima,prima
pimp,pimp
artist,artist
leather,leather
schwer,schwer
borrow,borrow
tension,tension
priest,priest
leur,leur
sehn,sehn
silencio,silencio
dough,dough
where,where
husband,husband
figur,figure
dice,dice
burst,burst
station,station
conscienc,conscience
seat,seat
asleep,asleep
honesti,honesty
seam,seams
contar,contar
sport,sport
sait,sait
wonder,wonder
infinit,infinite
appear,appear
televis,television
crystal,crystal
label,label
cd,cd
3,3
estar,estar
between,between
llorar,llorar
import,important
yesterday,yesterday
ormai,ormai
across,across
fight,fight
vie,vie
parent,parents
dinero,dinero
screen,screen
tus,tus
tut,tut
obscen,obscene
punto,punto
guitar,guitar
cycl,cycle
jo,jo
comm,comme
como,como
tuo,tuo
je,je
spark,spark
comb,comb
come,come
tue,tue
vrai,vrai
blame,blame
mond,monde
superstar,superstar
canta,canta
useless,useless
tuck,tuck
quier,quieres
quiet,quiet
empezar,empezar
s,s
tous,tous
tout,tout
aura,aura
igen,igen
quien,quien
mani,many
canción,canción
mann,mann
mano,mano
among,among
você,você
spoil,spoil
cancer,cancer
distancia,distancia
color,color
hypnot,hypnotized
pot,pot
inspir,inspiration
cuando,cuando
insist,insist
messin,messin'
pon,pon
jaw,jaw
pole,pole
featur,features
besoin,besoin
poi,poi
constant,constant
comprehend,comprehend
boat,boat
damag,damage
mare,mare
ultim,ultimate
seiz,seize
sest,s'est
coupl,couple
stretch,stretch
west,west
oder,oder
suicid,suicide
ja,ja
breath,breath
toss,toss
pourtant,pourtant
qué,qué
venir,venir
carv,carved
buscar,buscar
graveyard,graveyard
reaction,reaction
hurrican,hurricane
thousand,thousand
valor,valor
rubi,ruby
lamour,l'amour
ceux,ceux
tiger,tiger
wake,wake
rememb,remember
instant,instant
amant,amante
spirit,spirit
those,those
sound,sound
myself,myself
casa,casa
these,these
slumber,slumber
caso,caso
pobr,pobre
casi,casi
cash,cash
cree,crees
trick,trick
cast,cast
céu,céu
scum,scum
vaikka,vaikka
fim,fim
spotlight,spotlight
buen,buen
pushin,pushin'
ive,ive
anytim,anytime
conmigo,conmigo
seein,seein'
muerto,muerto
soil,soil
convinc,convince
worri,worry
destin,destination
strain,strain
sudden,suddenly
eras,erase
soir,soir
absurd,absurd
everyday,everyday
viento,viento
par,par
pas,pas
medio,medio
pay,pay
thinkin,thinkin'
medic,medication
bowl,bowl
tour,tour
same,same
check,check
gentlemen,gentlemen
food,food
extraño,extraño
heartbreak,heartbreak
blanket,blanket
hecho,hecho
sucker,sucker
admir,admire
eventu,eventually
pal,pal
pan,pan
week,week
phantom,phantom
för,för
oil,oil
kuinka,kuinka
see,see
ni,ni
sotto,sotto
itâ,itâs
nest,n'est
driver,driver
someon,someone
weed,weed
driven,driven
dabei,dabei
disguis,disguise
weer,weer
defi,defy
weep,weep
tenho,tenho
handsom,handsome
drain,drain
cherri,cherry
no,no
nothin,nothin'
justifi,justify
hustl,hustle
lento,lento
machen,machen
relief,relief
temptat,temptation
conoc,conoce
ces,ces
model,model
reward,reward
sinner,sinner
taxi,taxi
summer,summer
violenc,violence
execut,execution
vamo,vamos
visto,visto
neon,neon
rest,rest
violent,violent
quién,quién
kill,kill
scrape,scrape
file,file
touch,touch
flavor,flavor
habrá,habrá
speed,speed
halfway,halfway
blow,blow
quella,quella
death,death
