Date,Home Team,Away Team,Home Points,Away Points,Outcome,Spread
11/3/2014,Brooklyn,Oklahoma City ,116,85,-31,-7.0
2/4/2015,New Orleans,Oklahoma City ,91,102,11,-4.0
1/31/2015,Atlanta,Philadelphia ,91,85,-6,-16.0
3/1/2015,Indiana,Philadelphia ,94,74,-20,-11.0
1/19/2015,Washington,Philadelphia ,111,76,-35,-14.0
12/13/2014,Indiana,Portland ,85,95,10,5.0
3/21/2015,Memphis,Portland ,97,86,-11,-3.0
1/7/2015,Chicago,Utah ,77,97,20,-11.0
11/9/2014,Detroit,Utah ,96,97,1,-3.5
1/27/2015,L.A. Lakers,Washington ,92,98,6,8.0
3/14/2015,Indiana,Boston ,89,93,4,-8.5
1/2/2015,Orlando,Brooklyn ,98,100,2,2.5
4/12/2015,Detroit,Charlotte ,116,77,-39,-8.0
11/5/2014,Milwaukee,Chicago ,86,95,9,5.0
11/24/2014,Utah,Chicago ,95,97,2,3.5
10/31/2014,Chicago,Cleveland ,108,114,6,-4.0
2/4/2015,Indiana,Detroit ,114,109,-5,-4.5
3/29/2015,Miami,Detroit ,109,102,-7,-2.0
4/15/2015,New York,Detroit ,90,112,22,8.5
12/26/2014,Memphis,Houston ,111,117,6,-2.0
11/1/2014,Atlanta,Indiana ,102,92,-10,-10.5
1/16/2015,Orlando,Memphis ,96,106,10,5.0
2/22/2015,Portland,Memphis ,92,98,6,-1.5
3/29/2015,San Antonio,Memphis ,103,89,-14,-8.0
11/14/2014,Atlanta,Miami ,114,103,-11,-5.0
3/6/2015,Washington,Miami ,99,97,-2,-6.0
3/20/2015,Brooklyn,Milwaukee ,129,127,-2,-2.0
10/29/2014,Charlotte,Milwaukee ,108,106,-2,-8.0
11/4/2014,Indiana,Milwaukee ,81,87,6,-4.0
1/19/2015,Charlotte,Minnesota ,105,80,-25,-6.0
1/30/2015,Philadelphia,Minnesota ,103,94,-9,4.5
4/4/2015,Portland,New Orleans ,99,90,-9,-5.5
11/18/2014,Milwaukee,New York ,117,113,-4,-1.5
11/17/2014,Detroit,Orlando ,93,107,14,-4.5
2/9/2015,Washington,Orlando ,96,80,-16,-10.5
12/12/2014,Brooklyn,Philadelphia ,88,70,-18,-6.5
4/15/2015,New Orleans,San Antonio ,108,103,-5,5.5
3/4/2015,Boston,Utah ,85,84,-1,-1.0
12/22/2014,Memphis,Utah ,91,97,6,-8.0
12/19/2014,Orlando,Utah ,94,101,7,-4.0
1/26/2015,Utah,Boston ,90,99,9,-7.0
10/29/2014,Boston,Brooklyn ,121,105,-16,-1.0
2/9/2015,Milwaukee,Brooklyn ,103,97,-6,-5.0
2/25/2015,New Orleans,Brooklyn ,102,96,-6,2.5
12/2/2014,New York,Brooklyn ,93,98,5,1.0
1/23/2015,Cleveland,Charlotte ,129,90,-39,-10.0
4/3/2015,Indiana,Charlotte ,93,74,-19,-4.5
11/30/2014,Brooklyn,Chicago ,84,102,18,2.5
2/20/2015,Detroit,Chicago ,100,91,-9,6.0
12/29/2014,Indiana,Chicago ,90,92,2,4.5
2/7/2015,New Orleans,Chicago ,72,107,35,2.0
11/1/2014,Oklahoma City,Denver ,102,91,-11,4.5
2/3/2015,Philadelphia,Denver ,105,98,-7,7.5
1/12/2015,Brooklyn,Houston ,99,113,14,7.0
12/4/2014,Portland,Indiana ,88,82,-6,-8.5
11/30/2014,Sacramento,Memphis ,85,97,12,4.0
2/27/2015,Chicago,Minnesota ,96,89,-7,-5.0
1/19/2015,New York,New Orleans ,99,92,-7,7.5
2/23/2015,Miami,Philadelphia ,119,108,-11,-11.0
12/21/2014,Orlando,Philadelphia ,88,96,8,-9.0
4/15/2015,Houston,Utah ,117,91,-26,-11.5
12/14/2014,Washington,Utah ,93,84,-9,-11.0
12/25/2014,New York,Washington ,91,102,11,4.5
2/27/2015,Philadelphia,Washington ,89,81,-8,7.5
11/7/2014,Charlotte,Atlanta ,122,119,-3,-1.5
12/8/2014,Indiana,Atlanta ,92,108,16,-1.0
3/7/2015,Philadelphia,Atlanta ,92,84,-8,7.5
4/12/2015,Washington,Atlanta ,108,99,-9,-9.0
11/8/2014,Chicago,Boston ,101,106,5,-9.5
3/27/2015,New York,Boston ,92,96,4,10.5
11/22/2014,San Antonio,Brooklyn ,99,87,-12,-10.0
4/15/2015,Toronto,Charlotte ,92,87,-5,-10.5
4/5/2015,Cleveland,Chicago ,99,94,-5,-8.0
12/14/2014,Miami,Chicago ,75,93,18,7.0
2/27/2015,Indiana,Cleveland ,93,86,-7,-2.5
3/25/2015,Memphis,Cleveland ,89,111,22,1.0
3/16/2015,Memphis,Denver ,92,81,-11,-12.5
12/26/2014,Detroit,Indiana ,119,109,-10,2.5
11/28/2014,Portland,Memphis ,99,112,13,-3.5
1/10/2015,Chicago,Milwaukee ,95,87,-8,-6.0
11/14/2014,Orlando,Milwaukee ,101,85,-16,-2.5
12/7/2014,Detroit,Oklahoma City ,94,96,2,10.0
4/4/2015,Milwaukee,Orlando ,90,97,7,-9.0
4/10/2015,New Orleans,Phoenix ,90,75,-15,-9.0
11/26/2014,Houston,Sacramento ,102,89,-13,-4.5
12/9/2014,Utah,San Antonio ,100,96,-4,9.0
2/27/2015,Denver,Utah ,82,104,22,4.5
2/3/2015,Portland,Utah ,103,102,-1,-8.5
1/11/2015,Atlanta,Washington ,120,89,-31,-4.5
11/22/2014,Milwaukee,Washington ,100,111,11,3.0
12/13/2014,Orlando,Atlanta ,100,99,-1,3.0
1/2/2015,Utah,Atlanta ,92,98,6,4.5
1/10/2015,Detroit,Brooklyn ,98,93,-5,-5.5
2/20/2015,L.A. Lakers,Brooklyn ,105,114,9,3.0
4/1/2015,New York,Brooklyn ,98,100,2,9.5
3/4/2015,Brooklyn,Charlotte ,91,115,24,-5.5
1/31/2015,Denver,Charlotte ,86,104,18,-4.5
3/18/2015,Philadelphia,Detroit ,94,83,-11,-1.0
2/28/2015,Washington,Detroit ,99,95,-4,-4.5
1/8/2015,New York,Houston ,96,120,24,12.5
1/2/2015,Milwaukee,Indiana ,91,94,3,-1.5
3/30/2015,Atlanta,Milwaukee ,101,88,-13,-9.0
4/3/2015,Boston,Milwaukee ,101,110,9,-5.0
11/7/2014,Detroit,Milwaukee ,98,95,-3,-4.5
12/23/2014,Indiana,New Orleans ,96,84,-12,1.5
2/21/2015,Miami,New Orleans ,91,105,14,-2.0
11/8/2014,Atlanta,New York ,103,96,-7,-6.5
3/22/2015,Toronto,New York ,106,89,-17,-12.0
11/15/2014,Washington,Orlando ,98,93,-5,-9.0
12/6/2014,Detroit,Philadelphia ,101,108,7,-9.5
3/22/2015,L.A. Lakers,Philadelphia ,101,87,-14,-4.5
11/28/2014,San Antonio,Sacramento ,112,104,-8,-10.5
2/7/2015,Utah,Sacramento ,102,90,-12,-5.5
2/11/2015,Detroit,San Antonio ,87,104,17,6.5
3/31/2015,Miami,San Antonio ,81,95,14,8.0
3/17/2015,New York,San Antonio ,104,100,-4,14.5
12/1/2014,Philadelphia,San Antonio ,103,109,6,11.0
12/15/2014,Portland,San Antonio ,108,95,-13,-8.5
3/6/2015,Charlotte,Toronto ,103,94,-9,-1.0
1/27/2015,Indiana,Toronto ,91,104,13,3.0
12/20/2014,Charlotte,Utah ,104,86,-18,-3.5
1/3/2015,San Antonio,Washington ,101,92,-9,-5.5
2/22/2015,Milwaukee,Atlanta ,86,97,11,5.0
3/21/2015,Indiana,Brooklyn ,111,123,12,-8.5
1/4/2015,Miami,Brooklyn ,88,84,-4,2.5
2/27/2015,Boston,Charlotte ,106,98,-8,-1.5
11/21/2014,Portland,Chicago ,105,87,-18,-8.0
4/1/2015,Utah,Denver ,98,84,-14,-5.0
12/13/2014,Sacramento,Detroit ,90,95,5,-5.0
11/29/2014,Cleveland,Indiana ,109,97,-12,-10.0
12/21/2014,Minnesota,Indiana ,96,100,4,3.5
12/9/2014,New Orleans,New York ,104,93,-11,-6.0
1/10/2015,Portland,Orlando ,103,92,-11,-14.0
4/11/2015,Chicago,Philadelphia ,114,107,-7,-15.5
1/17/2015,Detroit,Philadelphia ,107,89,-18,-13.0
12/30/2014,Memphis,San Antonio ,95,87,-8,-1.0
2/25/2015,Portland,San Antonio ,111,95,-16,-2.5
2/23/2015,New Orleans,Toronto ,100,97,-3,7.5
1/23/2015,Philadelphia,Toronto ,86,91,5,13.0
2/22/2015,Detroit,Washington ,106,89,-17,2.0
1/24/2015,Portland,Washington ,103,96,-7,3.5
1/29/2015,L.A. Lakers,Chicago ,123,118,-5,9.5
11/20/2014,Sacramento,Chicago ,103,88,-15,-3.0
1/9/2015,Washington,Chicago ,102,86,-16,-1.0
2/6/2015,Indiana,Cleveland ,103,99,-4,6.0
1/24/2015,Milwaukee,Detroit ,101,86,-15,2.5
3/4/2015,New Orleans,Detroit ,88,85,-3,-5.0
1/2/2015,New York,Detroit ,81,97,16,4.5
3/13/2015,Portland,Detroit ,118,99,-19,-8.0
3/27/2015,Atlanta,Miami ,99,86,-13,-8.0
12/5/2014,Milwaukee,Miami ,109,85,-24,1.5
11/1/2014,Philadelphia,Miami ,96,114,18,9.0
1/7/2015,Philadelphia,Milwaukee ,77,97,20,7.0
1/13/2015,Indiana,Minnesota ,101,110,9,-11.0
11/8/2014,San Antonio,New Orleans ,99,100,1,-7.5
2/27/2015,Atlanta,Orlando ,95,88,-7,-11.0
12/12/2014,Atlanta,Orlando ,87,81,-6,-9.0
3/13/2015,Boston,Orlando ,95,88,-7,-5.0
11/5/2014,Philadelphia,Orlando ,89,91,2,2.5
3/16/2015,Boston,Philadelphia ,108,89,-19,-8.5
2/2/2015,Cleveland,Philadelphia ,97,84,-13,-17.0
12/7/2014,New York,Portland ,99,103,4,6.5
1/13/2015,Washington,San Antonio ,101,93,-8,1.0
11/1/2014,Orlando,Toronto ,95,108,13,6.0
1/10/2015,Houston,Utah ,97,82,-15,-11.0
1/18/2015,San Antonio,Utah ,89,69,-20,-12.0
12/10/2014,Orlando,Washington ,89,91,2,5.5
11/7/2014,Toronto,Washington ,103,84,-19,-4.0
2/2/2015,New Orleans,Atlanta ,115,100,-15,3.0
1/13/2015,Philadelphia,Atlanta ,87,105,18,10.0
3/30/2015,Charlotte,Boston ,104,116,12,-3.0
11/1/2014,Detroit,Brooklyn ,90,102,12,-2.5
12/15/2014,Atlanta,Chicago ,93,86,-7,-2.5
11/13/2014,Toronto,Chicago ,93,100,7,-2.5
12/25/2014,Miami,Cleveland ,101,91,-10,6.0
3/22/2015,Milwaukee,Cleveland ,90,108,18,7.5
12/26/2014,Orlando,Cleveland ,89,98,9,3.5
1/19/2015,Houston,Indiana ,110,98,-12,-10.0
12/12/2014,Toronto,Indiana ,106,94,-12,-9.0
3/3/2015,Charlotte,L.A. Lakers ,104,103,-1,-8.5
2/11/2015,Portland,L.A. Lakers ,102,86,-16,-13.5
1/16/2015,Utah,L.A. Lakers ,94,85,-9,-8.0
3/20/2015,Dallas,Memphis ,101,112,11,-3.0
3/4/2015,Houston,Memphis ,100,102,2,-3.0
11/17/2014,Brooklyn,Miami ,83,95,12,-8.0
2/27/2015,New Orleans,Miami ,104,102,-2,2.0
1/8/2015,Portland,Miami ,99,83,-16,-8.5
4/13/2015,Philadelphia,Milwaukee ,97,107,10,3.5
4/13/2015,Atlanta,New York ,108,112,4,-14.0
2/6/2015,Brooklyn,New York ,92,88,-4,-6.5
3/15/2015,Phoenix,New York ,102,89,-13,-11.5
1/28/2015,New York,Oklahoma City ,100,92,-8,8.0
12/6/2014,Sacramento,Orlando ,96,105,9,-6.0
11/17/2014,San Antonio,Philadelphia ,100,75,-25,-16.5
11/22/2014,Indiana,Phoenix ,83,106,23,2.0
1/22/2015,Chicago,San Antonio ,104,81,-23,5.5
11/15/2014,Sacramento,San Antonio ,94,91,-3,1.5
2/4/2015,Atlanta,Washington ,105,96,-9,-5.5
1/14/2015,Chicago,Washington ,99,105,6,-5.5
2/11/2015,Toronto,Washington ,95,93,-2,-5.0
12/30/2014,Chicago,Brooklyn ,82,96,14,-10.0
12/8/2014,Brooklyn,Cleveland ,88,110,22,8.0
3/22/2015,Boston,Detroit ,97,105,8,-5.5
4/1/2015,Charlotte,Detroit ,102,78,-24,-5.5
4/3/2015,Chicago,Detroit ,88,82,-6,-9.5
12/2/2014,Phoenix,Indiana ,116,99,-17,-5.0
3/6/2015,Memphis,L.A. Lakers ,97,90,-7,-11.0
12/21/2014,Cleveland,Memphis ,105,91,-14,-4.5
4/13/2015,Golden State,Memphis ,111,107,-4,-8.0
4/2/2015,Cleveland,Miami ,114,88,-26,-9.5
3/3/2015,Denver,Milwaukee ,106,95,-11,5.5
3/19/2015,New York,Minnesota ,92,95,3,-2.0
4/1/2015,L.A. Lakers,New Orleans ,92,113,21,9.5
1/23/2015,Minnesota,New Orleans ,84,92,8,6.5
12/21/2014,Toronto,New York ,118,108,-10,-12.5
12/25/2014,San Antonio,Oklahoma City ,106,114,8,-6.0
2/10/2015,Chicago,Sacramento ,104,86,-18,-11.0
11/6/2014,Houston,San Antonio ,98,81,-17,-6.5
4/1/2015,Orlando,San Antonio ,91,103,12,10.0
1/21/2015,Cleveland,Utah ,106,92,-14,-9.5
2/8/2015,Memphis,Atlanta ,94,88,-6,-2.5
2/28/2015,Miami,Atlanta ,91,93,2,2.0
1/9/2015,Indiana,Boston ,107,103,-4,-6.0
3/14/2015,Philadelphia,Brooklyn ,87,94,7,6.5
1/21/2015,Sacramento,Brooklyn ,100,103,3,-5.5
12/15/2014,Cleveland,Charlotte ,97,88,-9,-10.5
2/22/2015,Dallas,Charlotte ,92,81,-11,-9.5
12/31/2014,Houston,Charlotte ,102,83,-19,-11.5
12/23/2014,Milwaukee,Charlotte ,101,108,7,-5.5
