congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age,,
104,house,M000212,Frank,,Mascara,,1/19/1930,PA,D,No,1/4/1995,65,,
104,house,T000316,Esteban,Edward,Torres,,1/27/1930,CA,D,Yes,1/4/1995,64.9,,
104,house,H000448,Willie,Gathrel,Hefner,,4/11/1930,NC,D,Yes,1/4/1995,64.7,,
104,house,G000121,George,W.,Gekas,,4/14/1930,PA,R,Yes,1/4/1995,64.7,,
104,house,R000053,Charles,B.,Rangel,,6/11/1930,NY,D,Yes,1/4/1995,64.6,,
104,house,B000463,Michael,,Bilirakis,,7/16/1930,FL,R,Yes,1/4/1995,64.5,,
104,house,S000675,Gerald,Brooks Hunt,Solomon,,8/14/1930,NY,R,Yes,1/4/1995,64.4,,
104,house,P000326,Owen,B.,Pickett,,8/31/1930,VA,D,Yes,1/4/1995,64.3,,
104,house,J000174,Sam,Robert,Johnson,,10/11/1930,TX,R,Yes,1/4/1995,64.2,,
104,house,C000873,Philip,M.,Crane,,11/3/1930,IL,R,Yes,1/4/1995,64.2,,
104,house,Y000031,C.,W. Bill,Young,,12/16/1930,FL,R,Yes,1/4/1995,64.1,,
104,house,P000005,Ron,,Packard,,1/19/1931,CA,R,Yes,1/4/1995,64,,
104,house,M000941,Constance,,Morella,,2/12/1931,MD,R,Yes,1/4/1995,63.9,,
104,house,C000556,Howard,,Coble,,3/18/1931,NC,R,Yes,1/4/1995,63.8,,
104,house,V000112,Harold,Lee,Volkmer,,4/4/1931,MO,D,Yes,1/4/1995,63.8,,
104,house,H000114,Lee,Herbert,Hamilton,,4/20/1931,IN,D,Yes,1/4/1995,63.7,,
104,house,C000488,William,Lacy,Clay,Sr.,4/30/1931,MO,D,Yes,1/4/1995,63.7,,
104,house,H000789,Stephen,,Horn,,5/31/1931,CA,R,Yes,1/4/1995,63.6,,
104,house,L000263,Sander,M.,Levin,,9/6/1931,MI,D,Yes,1/4/1995,63.3,,
104,house,C000634,Cardiss,,Collins,,9/24/1931,IL,D,Yes,1/4/1995,63.3,,
104,house,M000399,Joseph,Michael,McDade,,9/29/1931,PA,R,Yes,1/4/1995,63.3,,
104,house,B001066,Jim,,Bunning,,10/23/1931,KY,R,Yes,1/4/1995,63.2,,
104,house,S000810,Fortney,H.,Stark,,11/11/1931,CA,D,Yes,1/4/1995,63.1,,
104,house,M000794,Norman,Yoshio,Mineta,,11/12/1931,CA,D,Yes,1/4/1995,63.1,,
104,house,J000187,Harry,A.,Johnston,II,12/2/1931,FL,D,Yes,1/4/1995,63.1,,
104,house,S000465,Ike,,Skelton,,12/20/1931,MO,D,Yes,1/4/1995,63,,
104,house,S000394,Elmer,Greinert,Shuster,,1/23/1932,PA,R,Yes,1/4/1995,62.9,,
104,house,B000556,Tom,,Bliley,,1/28/1932,VA,R,Yes,1/4/1995,62.9,,
104,house,J000033,Andrew,,Jacobs,Jr.,2/24/1932,IN,D,Yes,1/4/1995,62.9,,
104,house,C000737,Wes,,Cooley,,3/28/1932,OR,R,No,1/4/1995,62.8,,
104,house,M001120,John,P.,Murtha,,6/17/1932,PA,D,Yes,1/4/1995,62.5,,
104,house,H000172,James,V.,Hansen,,8/14/1932,UT,R,Yes,1/4/1995,62.4,,
104,house,C000052,H.,L.,Callahan,,9/11/1932,AL,R,Yes,1/4/1995,62.3,,
104,house,B000318,Anthony,Charles,Beilenson,,10/26/1932,CA,D,Yes,1/4/1995,62.2,,
104,house,M000117,Thomas,J.,Manton,,11/3/1932,NY,D,Yes,1/4/1995,62.2,,
104,house,D000435,Robert,Kenneth,Dornan,,4/3/1933,CA,R,Yes,1/4/1995,61.8,,
104,house,W000570,Charles,,Wilson,,6/1/1933,TX,D,Yes,1/4/1995,61.6,,
104,house,Y000033,Don,E.,Young,,6/9/1933,AK,R,Yes,1/4/1995,61.6,,
104,house,K000288,Joseph,K.,Knollenberg,,11/28/1933,MI,R,Yes,1/4/1995,61.1,,
104,house,D000046,Pat,,Danner,,1/13/1934,MO,D,Yes,1/4/1995,61,,
104,house,E000092,Vernon,J.,Ehlers,,2/6/1934,MI,R,Yes,1/4/1995,60.9,,
104,house,P000149,Donald,M.,Payne,,7/16/1934,NJ,D,Yes,1/4/1995,60.5,,
104,house,T000326,Edolphus,,Towns,,7/21/1934,NY,D,Yes,1/4/1995,60.5,,
104,house,D000373,Julian,C.,Dixon,,8/8/1934,CA,D,Yes,1/4/1995,60.4,,
104,house,O000006,James,L.,Oberstar,,9/10/1934,MN,D,Yes,1/4/1995,60.3,,
104,house,C000494,Eva,,Clayton,,9/16/1934,NC,D,Yes,1/4/1995,60.3,,
104,house,L000274,Jerry,,Lewis,,10/21/1934,CA,R,Yes,1/4/1995,60.2,,
104,house,S000597,Nick,,Smith,,11/5/1934,MI,R,Yes,1/4/1995,60.2,,
104,house,J000163,Nancy,Lee,Johnson,,1/5/1935,CT,R,Yes,1/4/1995,60,,
104,house,B000622,Sonny,,Bono,,2/16/1935,CA,R,No,1/4/1995,59.9,,
104,house,H000444,Joel,,Hefley,,4/18/1935,CO,R,Yes,1/4/1995,59.7,,
104,house,P000444,John,Edward,Porter,,6/1/1935,IL,R,Yes,1/4/1995,59.6,,
104,house,P000259,Douglas,Brian,Peterson,,6/26/1935,FL,D,Yes,1/4/1995,59.5,,
104,house,E000282,Thomas,W.,Ewing,,9/19/1935,IL,R,Yes,1/4/1995,59.3,,
104,house,D000222,Ronald,Vernie,Dellums,,11/24/1935,CA,D,Yes,1/4/1995,59.1,,
104,house,J000126,Eddie,Bernice,Johnson,,12/3/1935,TX,D,Yes,1/4/1995,59.1,,
104,house,S000109,Daniel,,Schaefer,,1/25/1936,CO,R,Yes,1/4/1995,58.9,,
104,house,R000307,Pat,,Roberts,,4/20/1936,KS,R,Yes,1/4/1995,58.7,,
104,house,Z000004,William,H.,Zeliff,Jr.,6/12/1936,NH,R,Yes,1/4/1995,58.6,,
104,house,O000159,Major,R.,Owens,,6/28/1936,NY,D,Yes,1/4/1995,58.5,,
104,house,K000118,Barbara,Bailey,Kennelly,,7/10/1936,CT,D,Yes,1/4/1995,58.5,,
104,house,C000846,William,J.,Coyne,,8/24/1936,PA,D,Yes,1/4/1995,58.4,,
104,house,O000085,John,W.,Olver,,9/3/1936,MA,D,Yes,1/4/1995,58.3,,
104,house,H000324,Alcee,L.,Hastings,,9/5/1936,FL,D,Yes,1/4/1995,58.3,,
104,house,K000078,Sue,W.,Kelly,,9/26/1936,NY,R,No,1/4/1995,58.3,,
104,house,B000586,Sherwood,L.,Boehlert,,9/28/1936,NY,R,Yes,1/4/1995,58.3,,
104,house,F000434,Elizabeth,,Furse,,10/13/1936,OR,D,Yes,1/4/1995,58.2,,
104,house,H000666,David,Lee,Hobson,,10/17/1936,OH,R,Yes,1/4/1995,58.2,,
104,house,M000404,Jim,A.,McDermott,,12/28/1936,WA,D,Yes,1/4/1995,58,,
104,house,E000268,Terry,,Everett,,2/15/1937,AL,R,Yes,1/4/1995,57.9,,
104,house,K000008,Paul,E.,Kanjorski,,4/2/1937,PA,D,Yes,1/4/1995,57.8,,
104,house,S001040,Gerry,Eastman,Studds,,5/12/1937,MA,D,Yes,1/4/1995,57.6,,
104,house,O000107,Solomon,P.,Ortiz,,6/3/1937,TX,D,Yes,1/4/1995,57.6,,
104,house,L000480,Nita,M.,Lowey,,7/5/1937,NY,D,Yes,1/4/1995,57.5,,
104,house,W000520,John,Patrick,Williams,,10/30/1937,MT,D,Yes,1/4/1995,57.2,,
104,house,W000738,Lynn,C.,Woolsey,,11/3/1937,CA,D,Yes,1/4/1995,57.2,,
104,house,L000342,William,O.,Lipinski,,12/22/1937,IL,D,Yes,1/4/1995,57,,
104,house,R000395,Harold,,Rogers,,12/31/1937,KY,R,Yes,1/4/1995,57,,
104,house,E000174,Norvell,William,Emerson,,1/1/1938,MO,R,Yes,1/4/1995,57,,
104,house,C000345,Helen,,Chenoweth-Hage,,1/27/1938,ID,R,No,1/4/1995,56.9,,
104,house,S000005,Martin,Olav,Sabo,,2/28/1938,MN,D,Yes,1/4/1995,56.8,,
104,house,B001149,Dan,L.,Burton,,6/21/1938,IN,R,Yes,1/4/1995,56.5,,
104,house,A000014,Neil,,Abercrombie,,6/26/1938,HI,D,Yes,1/4/1995,56.5,,
104,house,W000187,Maxine,,Waters,,8/15/1938,CA,D,Yes,1/4/1995,56.4,,
104,house,M000714,Juanita,,Millender-McDonald,,9/7/1938,CA,D,No,1/4/1995,56.3,,
104,house,M000508,Howard,P.,McKeon,,9/9/1938,CA,R,Yes,1/4/1995,56.3,,
104,house,L000305,James,Ross,Lightfoot,,9/27/1938,IA,R,Yes,1/4/1995,56.3,,
104,house,O000007,David,Ross,Obey,,10/3/1938,WI,D,Yes,1/4/1995,56.3,,
104,house,R000459,Toby,A.,Roth,,10/10/1938,WI,R,Yes,1/4/1995,56.2,,
104,house,S000851,Charles,W.,Stenholm,,10/26/1938,TX,D,Yes,1/4/1995,56.2,,
104,house,H000627,Maurice,D.,Hinchey,,10/27/1938,NY,D,Yes,1/4/1995,56.2,,
104,house,G000336,Porter,J.,Goss,,11/26/1938,FL,R,Yes,1/4/1995,56.1,,
104,house,W000672,Frank,R.,Wolf,,1/30/1939,VA,R,Yes,1/4/1995,55.9,,
104,house,G000210,Paul,E.,Gillmor,,2/1/1939,OH,R,Yes,1/4/1995,55.9,,
104,house,K000181,Jay,,Kim,,3/27/1939,CA,R,Yes,1/4/1995,55.8,,
104,house,C000633,Barbara-Rose,,Collins,,4/13/1939,MI,D,Yes,1/4/1995,55.7,,
104,house,S000303,E.,Clay,Shaw,Jr.,4/19/1939,FL,R,Yes,1/4/1995,55.7,,
104,house,H000874,Steny,H.,Hoyer,,6/14/1939,MD,D,Yes,1/4/1995,55.6,,
104,house,C000243,Michael,N.,Castle,,7/2/1939,DE,R,Yes,1/4/1995,55.5,,
104,house,R000436,Charles,Grandison,Rose,III,8/10/1939,NC,D,Yes,1/4/1995,55.4,,
104,house,W000215,Henry,A.,Waxman,,9/12/1939,CA,D,Yes,1/4/1995,55.3,,
104,house,B000403,Douglas,K.,Bereuter,,10/6/1939,NE,R,Yes,1/4/1995,55.2,,
104,house,L000556,John,J.,LaFalce,,10/6/1939,NY,D,Yes,1/4/1995,55.2,,
104,house,D000312,Jay,,Dickey,,12/14/1939,AR,R,Yes,1/4/1995,55.1,,
104,house,L000287,John,R.,Lewis,,2/21/1940,GA,D,Yes,1/4/1995,54.9,,
104,house,P000197,Nancy,,Pelosi,,3/26/1940,CA,D,Yes,1/4/1995,54.8,,
104,house,F000339,Barney,,Frank,,3/31/1940,MA,D,Yes,1/4/1995,54.8,,
104,house,P000265,Thomas,E.,Petri,,5/28/1940,WI,R,Yes,1/4/1995,54.6,,
104,house,B000078,William,P.,Baker,,6/14/1940,CA,R,Yes,1/4/1995,54.6,,
104,house,A000217,Richard,K.,Armey,,7/7/1940,TX,R,Yes,1/4/1995,54.5,,
104,house,C000537,James,E.,Clyburn,,7/21/1940,SC,D,Yes,1/4/1995,54.5,,
104,house,S000142,Patricia,Scott,Schroeder,,7/30/1940,CO,D,Yes,1/4/1995,54.4,,
104,house,V000087,Bruce,F.,Vento,,10/7/1940,MN,D,Yes,1/4/1995,54.2,,
104,house,D000327,Norman,D.,Dicks,,12/16/1940,WA,D,Yes,1/4/1995,54.1,,
104,house,T000067,Charles,H.,Taylor,,1/23/1941,NC,R,Yes,1/4/1995,53.9,,
104,house,G000132,Richard,Andrew,Gephardt,,1/31/1941,MO,D,Yes,1/4/1995,53.9,,
104,house,H000329,Doc,,Hastings,,2/7/1941,WA,R,No,1/4/1995,53.9,,
104,house,B000410,Howard,L.,Berman,,4/15/1941,CA,D,Yes,1/4/1995,53.7,,
104,house,S000822,Clifford,B.,Stearns,,4/16/1941,FL,R,Yes,1/4/1995,53.7,,
104,house,T000350,James,A.,Traficant,Jr.,5/8/1941,OH,D,Yes,1/4/1995,53.7,,
104,house,R000486,Lucille,,Roybal-Allard,,6/12/1941,CA,D,Yes,1/4/1995,53.6,,
104,house,F000030,Sam,,Farr,,7/4/1941,CA,D,Yes,1/4/1995,53.5,,
104,house,B000028,Henry,Scott,Baesler,,7/9/1941,KY,D,Yes,1/4/1995,53.5,,
104,house,N000159,Charles,W.,Norwood,Jr.,7/27/1941,GA,R,No,1/4/1995,53.4,,
104,house,D000549,Jennifer,B.,Dunn,,7/29/1941,WA,R,Yes,1/4/1995,53.4,,
104,house,M001134,Sue,W.,Myrick,,8/1/1941,NC,R,No,1/4/1995,53.4,,
104,house,S000213,Andrea,,Seastrand,,8/5/1941,CA,R,No,1/4/1995,53.4,,
104,house,S000033,Bernard,,Sanders,,9/8/1941,VT,I,Yes,1/4/1995,53.3,,
104,house,M000249,Robert,T.,Matsui,,9/17/1941,CA,D,Yes,1/4/1995,53.3,,
104,house,B000817,William,K.,Brewster,,11/8/1941,OK,D,Yes,1/4/1995,53.2,,
104,house,C000621,Ronald,D'Emory,Coleman,,11/29/1941,TX,D,Yes,1/4/1995,53.1,,
104,house,T000188,William,M.,Thomas,,12/6/1941,CA,R,Yes,1/4/1995,53.1,,
104,house,C000994,Randall,H.,Cunningham,,12/8/1941,CA,R,Yes,1/4/1995,53.1,,
104,house,F000392,Jonas,,Frost,III,1/1/1942,TX,D,Yes,1/4/1995,53,,
104,house,H000323,J.,Dennis,Hastert,,1/2/1942,IL,R,Yes,1/4/1995,53,,
104,house,H000074,Tony,P.,Hall,,1/16/1942,OH,D,Yes,1/4/1995,53,,
104,house,L000119,Gregory,H.,Laughlin,,1/21/1942,TX,D,Yes,1/4/1995,53,,
104,house,M000795,David,,Minge,,3/19/1942,MN,D,Yes,1/4/1995,52.8,,
104,house,H000621,Earl,F.,Hilliard,,4/9/1942,AL,D,Yes,1/4/1995,52.7,,
104,house,C000385,Dick,,Chrysler,,4/29/1942,MI,R,No,1/4/1995,52.7,,
104,house,M000720,Dan,,Miller,,5/30/1942,FL,R,Yes,1/4/1995,52.6,,
104,house,K000306,James,T.,Kolbe,,6/28/1942,AZ,R,Yes,1/4/1995,52.5,,
104,house,D000168,Nathan,,Deal,,8/25/1942,GA,R,Yes,1/4/1995,52.4,,
104,house,F000116,Bob,,Filner,,9/4/1942,CA,D,Yes,1/4/1995,52.3,,
104,house,L000321,John,,Linder,,9/9/1942,GA,R,Yes,1/4/1995,52.3,,
104,house,F000053,Victor,Herbert,Fazio,Jr.,10/11/1942,CA,D,Yes,1/4/1995,52.2,,
104,house,L000169,James,A.,Leach,,10/15/1942,IA,R,Yes,1/4/1995,52.2,,
104,house,S000749,John,McKee,Spratt,Jr.,11/1/1942,SC,D,Yes,1/4/1995,52.2,,
104,house,A000022,Gary,L.,Ackerman,,11/19/1942,NY,D,Yes,1/4/1995,52.1,,
104,house,E000215,Anna,G.,Eshoo,,12/13/1942,CA,D,Yes,1/4/1995,52.1,,
104,house,F000328,Tillie,K.,Fowler,,12/23/1942,FL,R,Yes,1/4/1995,52,,
104,house,W000068,Robert,Smith,Walker,,12/23/1942,PA,R,Yes,1/4/1995,52,,
104,house,B000897,John,Glen,Browder,,1/15/1943,AL,D,Yes,1/4/1995,52,,
104,house,S000097,H.,James,Saxton,,1/22/1943,NJ,R,Yes,1/4/1995,52,,
104,house,M000689,John,L.,Mica,,1/27/1943,FL,R,Yes,1/4/1995,51.9,,
104,house,J000255,Walter,B.,Jones,Jr.,2/10/1943,NC,R,No,1/4/1995,51.9,,
104,house,S000462,David,Evans,Skaggs,,2/22/1943,CO,D,Yes,1/4/1995,51.9,,
104,house,D000216,Rosa,L.,DeLauro,,3/2/1943,CT,D,Yes,1/4/1995,51.8,,
104,house,C000903,Frank,,Cremeans,,4/5/1943,OH,R,No,1/4/1995,51.8,,
104,house,L000371,Robert,Linligthgow,Livingston,Jr.,4/30/1943,LA,R,Yes,1/4/1995,51.7,,
104,house,M000844,Alan,B.,Mollohan,,5/14/1943,WV,D,Yes,1/4/1995,51.6,,
104,house,W000413,Ed,,Whitfield,,5/25/1943,KY,R,No,1/4/1995,51.6,,
104,house,T000058,William,J.,Tauzin,,6/14/1943,LA,R,Yes,1/4/1995,51.6,,
104,house,S000244,F.,James,Sensenbrenner,Jr.,6/14/1943,WI,R,Yes,1/4/1995,51.6,,
104,house,G000225,Newton,Leroy,Gingrich,,6/17/1943,GA,R,Yes,1/4/1995,51.6,,
104,house,P000099,Ed,,Pastor,,6/28/1943,AZ,D,Yes,1/4/1995,51.5,,
104,house,C000503,Robert,,Clement,,9/23/1943,TN,D,Yes,1/4/1995,51.3,,
104,house,C000141,Benjamin,L.,Cardin,,10/5/1943,MD,D,Yes,1/4/1995,51.2,,
104,house,S000248,José,E.,Serrano,,10/24/1943,NY,D,Yes,1/4/1995,51.2,,
104,house,C000286,Saxby,,Chambliss,,11/10/1943,GA,R,No,1/4/1995,51.2,,
104,house,K000259,Gerald,D.,Kleczka,,11/26/1943,WI,D,Yes,1/4/1995,51.1,,
104,house,A000109,Wayne,A.,Allard,,12/2/1943,CO,R,Yes,1/4/1995,51.1,,
104,house,O000163,Michael,G.,Oxley,,2/11/1944,OH,R,Yes,1/4/1995,50.9,,
104,house,G000021,Elton,W.,Gallegly,,3/7/1944,CA,R,Yes,1/4/1995,50.8,,
104,house,M001138,Donald,A.,Manzullo,,3/24/1944,IL,R,Yes,1/4/1995,50.8,,
104,house,K000210,Peter,T.,King,,4/5/1944,NY,R,Yes,1/4/1995,50.7,,
104,house,F000426,David,,Funderburk,,4/28/1944,NC,R,No,1/4/1995,50.7,,
104,house,P000258,Collin,Clark,Peterson,,6/29/1944,MN,D,Yes,1/4/1995,50.5,,
104,house,M000350,Bill,,McCollum,,7/12/1944,FL,R,Yes,1/4/1995,50.5,,
104,house,Z000008,Richard,,Zimmer,,8/16/1944,NJ,R,Yes,1/4/1995,50.4,,
104,house,T000038,John,S.,Tanner,,9/22/1944,TN,D,Yes,1/4/1995,50.3,,
104,house,N000051,George,R.,Nethercutt,Jr.,10/7/1944,WA,R,No,1/4/1995,50.2,,
104,house,C000640,Michael,Allen,Collins,,10/15/1944,GA,R,Yes,1/4/1995,50.2,,
104,house,D000563,Richard,J.,Durbin,,11/21/1944,IL,D,Yes,1/4/1995,50.1,,
104,house,F000184,Floyd,Harold,Flake,,1/30/1945,NY,D,Yes,1/4/1995,49.9,,
104,house,C000312,Jim,,Chapman,,3/8/1945,TX,D,Yes,1/4/1995,49.8,,
104,house,C000653,Larry,,Combest,,3/20/1945,TX,R,Yes,1/4/1995,49.8,,
104,house,M000933,James,P.,Moran,Jr.,5/16/1945,VA,D,Yes,1/4/1995,49.6,,
104,house,M000725,George,,Miller,,5/17/1945,CA,D,Yes,1/4/1995,49.6,,
104,house,H000528,Walter,,Herger,,5/20/1945,CA,R,Yes,1/4/1995,49.6,,
104,house,F000261,Harold,Eugene,Ford,,5/20/1945,TN,D,Yes,1/4/1995,49.6,,
104,house,B000619,David,E.,Bonior,,6/6/1945,MI,D,Yes,1/4/1995,49.6,,
104,house,L000521,William,,Luther,,6/27/1945,MN,D,No,1/4/1995,49.5,,
104,house,H000213,Jane,,Harman,,6/28/1945,CA,D,Yes,1/4/1995,49.5,,
104,house,P000152,Lewis,Franklin,Payne,Jr.,7/9/1945,VA,D,Yes,1/4/1995,49.5,,
104,house,S000094,Thomas,C.,Sawyer,,8/15/1945,OH,D,Yes,1/4/1995,49.4,,
104,house,W000207,Melvin,L.,Watt,,8/26/1945,NC,D,Yes,1/4/1995,49.4,,
104,house,T000113,Frank,Mariano,Tejeda,,10/2/1945,TX,D,Yes,1/4/1995,49.3,,
104,house,S001144,Christopher,H.,Shays,,10/18/1945,CT,R,Yes,1/4/1995,49.2,,
104,house,P000452,Glenn,,Poshard,,10/30/1945,IL,D,Yes,1/4/1995,49.2,,
104,house,L000552,Ray,H.,LaHood,,12/6/1945,IL,R,No,1/4/1995,49.1,,
104,house,M000087,Carolyn,B.,Maloney,,2/19/1946,NY,D,Yes,1/4/1995,48.9,,
104,house,G000180,Wayne,T.,Gilchrest,,4/15/1946,MD,R,Yes,1/4/1995,48.7,,
104,house,F000372,Rodney,P.,Frelinghuysen,,4/29/1946,NJ,R,No,1/4/1995,48.7,,
104,house,R000033,James,M.,Ramstad,,5/6/1946,MN,R,Yes,1/4/1995,48.7,,
104,house,L000554,Frank,A.,LoBiondo,,5/12/1946,NJ,R,No,1/4/1995,48.6,,
104,house,K000009,Marcy,,Kaptur,,6/17/1946,OH,D,Yes,1/4/1995,48.6,,
104,house,M000133,Edward,J.,Markey,,7/11/1946,MA,D,Yes,1/4/1995,48.5,,
104,house,B000657,Frederick,C.,Boucher,,8/1/1946,VA,D,Yes,1/4/1995,48.4,,
104,house,L000293,Ron,,Lewis,,9/14/1946,KY,R,Yes,1/4/1995,48.3,,
104,house,D000399,Lloyd,A.,Doggett,,10/6/1946,TX,D,No,1/4/1995,48.2,,
104,house,B000911,Corrine,,Brown,,11/11/1946,FL,D,Yes,1/4/1995,48.1,,
104,house,R000515,Bobby,L.,Rush,,11/23/1946,IL,D,Yes,1/4/1995,48.1,,
104,house,C000962,Barbara,L.,Cubin,,11/30/1946,WY,R,No,1/4/1995,48.1,,
104,house,H000390,James,Allison,Hayes,,12/21/1946,LA,D,Yes,1/4/1995,48,,
104,house,J000177,Tim,P.,Johnson,,12/28/1946,SD,D,Yes,1/4/1995,48,,
104,house,B000490,Sanford,D.,Bishop,Jr.,2/4/1947,GA,D,Yes,1/4/1995,47.9,,
104,house,M000207,William,J.,Martini,,2/10/1947,NJ,R,No,1/4/1995,47.9,,
104,house,E000179,Eliot,L.,Engel,,2/18/1947,NY,D,Yes,1/4/1995,47.9,,
104,house,B000997,John,Wiley,Bryant,,2/22/1947,TX,D,Yes,1/4/1995,47.9,,
104,house,J000070,William,J.,Jefferson,,3/14/1947,LA,D,Yes,1/4/1995,47.8,,
104,house,M000316,Karen,,McCarthy,,3/18/1947,MO,D,No,1/4/1995,47.8,,
104,house,S000125,Steven,Harvey,Schiff,,3/18/1947,NM,R,Yes,1/4/1995,47.8,,
104,house,D000217,Thomas,Dale,DeLay,,4/8/1947,TX,R,Yes,1/4/1995,47.7,,
104,house,F000332,Jon,D.,Fox,,4/22/1947,PA,R,No,1/4/1995,47.7,,
104,house,R000566,Jim,R.,Ryun,,4/29/1947,KS,R,No,1/4/1995,47.7,,
104,house,S000185,Robert,C.,Scott,,4/30/1947,VA,D,Yes,1/4/1995,47.7,,
104,house,D000191,Peter,A.,DeFazio,,5/27/1947,OR,D,Yes,1/4/1995,47.6,,
104,house,N000002,Jerrold,L.,Nadler,,6/13/1947,NY,D,Yes,1/4/1995,47.6,,
104,house,W000099,James,T.,Walsh,,6/19/1947,NY,R,Yes,1/4/1995,47.5,,
104,house,R000409,Dana,T.,Rohrabacher,,6/21/1947,CA,R,Yes,1/4/1995,47.5,,
104,house,D000533,John,J.,Duncan,Jr.,7/21/1947,TN,R,Yes,1/4/1995,47.5,,
104,house,W000268,W.,Curtis,Weldon,,7/22/1947,PA,R,Yes,1/4/1995,47.5,,
104,house,C000868,Robert,E.,Cramer,Jr.,8/22/1947,AL,D,Yes,1/4/1995,47.4,,
